osm_id,jurisd_base_id,jurisd_local_id,name,parent_abbrev,abbrev,wikidata_id,lexlabel,isolabel_ext,ddd,info
5605539,484,1002,Asientos,AGU,,8206694,asientos,MX-AGU-Asientos,,"{""area_sr"": 0.04806, ""area_km2"": 549, ""fat_deg_m"": 0.0000094, ""side_estim_km"": 23.4, ""side_estim_deg"": 0.2192, ""elongation_factor"": 3.02}"
5605609,484,1003,Calvillo,AGU,,2656541,calvillo,MX-AGU-Calvillo,,"{""area_sr"": 0.08152, ""area_km2"": 933, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 30.5, ""side_estim_deg"": 0.2855, ""elongation_factor"": 1.84}"
5605705,484,1004,Cosío,AGU,,4288373,cosio,MX-AGU-Cosio,,"{""area_sr"": 0.01137, ""area_km2"": 130, ""fat_deg_m"": 0.0000094, ""side_estim_km"": 11.4, ""side_estim_deg"": 0.1066, ""elongation_factor"": 2.33}"
5605765,484,1010,"El Llano",AGU,,2474668,el.llano,MX-AGU-ElLlano,,"{""area_sr"": 0.04451, ""area_km2"": 509, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 22.6, ""side_estim_deg"": 0.211, ""elongation_factor"": 2.33}"
5605921,484,1005,"Jesús María",AGU,,931879,jesus.maria,MX-AGU-JesusMaria,,"{""area_sr"": 0.04363, ""area_km2"": 499, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 22.3, ""side_estim_deg"": 0.2089, ""elongation_factor"": 2.45}"
5605470,484,1001,"Municipio de Aguascalientes",AGU,,391149,municipio.aguascalientes,MX-AGU-MunicipioAguascalientes,,"{""area_sr"": 0.1029, ""area_km2"": 1178, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 34.3, ""side_estim_deg"": 0.3208, ""elongation_factor"": 2.71}"
5606129,484,1006,"Pabellón de Arteaga",AGU,,2656546,pabellon.arteaga,MX-AGU-PabellonArteaga,,"{""area_sr"": 0.01731, ""area_km2"": 198, ""fat_deg_m"": 0.0000094, ""side_estim_km"": 14.1, ""side_estim_deg"": 0.1316, ""elongation_factor"": 2.73}"
5606188,484,1007,"Rincón de Romos",AGU,,4288377,rincon.romos,MX-AGU-RinconRomos,,"{""area_sr"": 0.03296, ""area_km2"": 376, ""fat_deg_m"": 0.0000094, ""side_estim_km"": 19.4, ""side_estim_deg"": 0.1816, ""elongation_factor"": 3.01}"
5606235,484,1011,"San Francisco de los Romo",AGU,,2652349,san.francisco.romo,MX-AGU-SanFranciscoRomo,,"{""area_sr"": 0.01269, ""area_km2"": 145, ""fat_deg_m"": 0.0000094, ""side_estim_km"": 12, ""side_estim_deg"": 0.1127, ""elongation_factor"": 2.83}"
5606245,484,1008,"San José de Gracia",AGU,,3850526,san.jose.gracia,MX-AGU-SanJoseGracia,,"{""area_sr"": 0.07587, ""area_km2"": 867, ""fat_deg_m"": 0.0000094, ""side_estim_km"": 29.4, ""side_estim_deg"": 0.2755, ""elongation_factor"": 2.09}"
5606482,484,1009,Tepezalá,AGU,,3850537,tepezala,MX-AGU-Tepezala,,"{""area_sr"": 0.02033, ""area_km2"": 232, ""fat_deg_m"": 0.0000094, ""side_estim_km"": 15.2, ""side_estim_deg"": 0.1426, ""elongation_factor"": 2.04}"
