osm_id,jurisd_base_id,jurisd_local_id,name,parent_abbrev,abbrev,wikidata_id,lexlabel,isolabel_ext,ddd,info
5605481,484,8001,Ahumada,CHH,,2990979,ahumada,MX-CHH-Ahumada,,"{""area_sr"": 1.58813, ""area_km2"": 16910, ""fat_deg_m"": 0.0000097, ""side_estim_km"": 130, ""side_estim_deg"": 1.2602, ""elongation_factor"": 2.12}"
5605488,484,8002,Aldama,CHH,,2997114,aldama,MX-CHH-Aldama,,"{""area_sr"": 0.85399, ""area_km2"": 9216, ""fat_deg_m"": 0.0000096, ""side_estim_km"": 96, ""side_estim_deg"": 0.9241, ""elongation_factor"": 2.24}"
5605492,484,8003,Allende,CHH,,2606327,allende,MX-CHH-Allende,,"{""area_sr"": 0.19412, ""area_km2"": 2133, ""fat_deg_m"": 0.0000095, ""side_estim_km"": 46.2, ""side_estim_deg"": 0.4406, ""elongation_factor"": 2.72}"
5605525,484,8004,"Aquiles Serdán",CHH,,2991354,aquiles.serdan,MX-CHH-AquilesSerdan,,"{""area_sr"": 0.04569, ""area_km2"": 495, ""fat_deg_m"": 0.0000096, ""side_estim_km"": 22.3, ""side_estim_deg"": 0.2138, ""elongation_factor"": 1.95}"
5605538,484,8005,Ascensión,CHH,,2990967,ascension,MX-CHH-Ascension,,"{""area_sr"": 1.2187, ""area_km2"": 12860, ""fat_deg_m"": 0.0000097, ""side_estim_km"": 113.4, ""side_estim_deg"": 1.1039, ""elongation_factor"": 1.57}"
5605576,484,8006,Bachíniva,CHH,,4838929,bachiniva,MX-CHH-Bachiniva,,"{""area_sr"": 0.0881, ""area_km2"": 953, ""fat_deg_m"": 0.0000096, ""side_estim_km"": 30.9, ""side_estim_deg"": 0.2968, ""elongation_factor"": 2.03}"
5605581,484,8007,Balleza,CHH,,2606280,balleza,MX-CHH-Balleza,,"{""area_sr"": 0.49062, ""area_km2"": 5407, ""fat_deg_m"": 0.0000095, ""side_estim_km"": 73.5, ""side_estim_deg"": 0.7004, ""elongation_factor"": 2.04}"
5605583,484,8008,Batopilas,CHH,,2466612,batopilas,MX-CHH-Batopilas,,"{""area_sr"": 0.19422, ""area_km2"": 2137, ""fat_deg_m"": 0.0000095, ""side_estim_km"": 46.2, ""side_estim_deg"": 0.4407, ""elongation_factor"": 2.73}"
5605591,484,8009,Bocoyna,CHH,,2643269,bocoyna,MX-CHH-Bocoyna,,"{""area_sr"": 0.24782, ""area_km2"": 2706, ""fat_deg_m"": 0.0000096, ""side_estim_km"": 52, ""side_estim_deg"": 0.4978, ""elongation_factor"": 2.21}"
5605594,484,8010,Buenaventura,CHH,,2656434,buenaventura,MX-CHH-Buenaventura,,"{""area_sr"": 0.74017, ""area_km2"": 7912, ""fat_deg_m"": 0.0000097, ""side_estim_km"": 88.9, ""side_estim_deg"": 0.8603, ""elongation_factor"": 2.67}"
5605611,484,8011,Camargo,CHH,,2652276,camargo,MX-CHH-Camargo,,"{""area_sr"": 1.26156, ""area_km2"": 13747, ""fat_deg_m"": 0.0000096, ""side_estim_km"": 117.2, ""side_estim_deg"": 1.1232, ""elongation_factor"": 2.41}"
5605619,484,8012,Carichí,CHH,,15043366,carichi,MX-CHH-Carichi,,"{""area_sr"": 0.23726, ""area_km2"": 2591, ""fat_deg_m"": 0.0000096, ""side_estim_km"": 50.9, ""side_estim_deg"": 0.4871, ""elongation_factor"": 3.12}"
5605621,484,8013,"Casas Grandes",CHH,,2652268,casas.grandes,MX-CHH-CasasGrandes,,"{""area_sr"": 0.35174, ""area_km2"": 3755, ""fat_deg_m"": 0.0000097, ""side_estim_km"": 61.3, ""side_estim_deg"": 0.5931, ""elongation_factor"": 2.46}"
5605663,484,8020,Chínipas,CHH,,2466522,chinipas,MX-CHH-Chinipas,,"{""area_sr"": 0.1816, ""area_km2"": 1989, ""fat_deg_m"": 0.0000096, ""side_estim_km"": 44.6, ""side_estim_deg"": 0.4261, ""elongation_factor"": 2.68}"
5605700,484,8014,Coronado,CHH,,3317684,coronado,MX-CHH-Coronado,,"{""area_sr"": 0.17133, ""area_km2"": 1890, ""fat_deg_m"": 0.0000095, ""side_estim_km"": 43.5, ""side_estim_deg"": 0.4139, ""elongation_factor"": 2.99}"
5605708,484,8015,"Coyame del Sotol",CHH,,3308551,coyame.sotol,MX-CHH-CoyameSotol,,"{""area_sr"": 1.08673, ""area_km2"": 11651, ""fat_deg_m"": 0.0000097, ""side_estim_km"": 107.9, ""side_estim_deg"": 1.0425, ""elongation_factor"": 2.31}"
