osm_id,jurisd_base_id,jurisd_local_id,name,parent_abbrev,abbrev,wikidata_id,lexlabel,isolabel_ext,ddd,info
5999486,484,7001,Acacoyagua,CHP,,1267557,acacoyagua,MX-CHP-Acacoyagua,,"{""area_sr"": 0.02088, ""area_km2"": 248, ""fat_deg_m"": 0.0000092, ""side_estim_km"": 15.7, ""side_estim_deg"": 0.1445, ""elongation_factor"": 2.28}"
5999487,484,7002,Acala,CHP,,1577295,acala,MX-CHP-Acala,,"{""area_sr"": 0.04073, ""area_km2"": 481, ""fat_deg_m"": 0.0000092, ""side_estim_km"": 21.9, ""side_estim_deg"": 0.2018, ""elongation_factor"": 2.44}"
5999488,484,7003,Acapetahua,CHP,,1952856,acapetahua,MX-CHP-Acapetahua,,"{""area_sr"": 0.04709, ""area_km2"": 560, ""fat_deg_m"": 0.0000092, ""side_estim_km"": 23.7, ""side_estim_deg"": 0.217, ""elongation_factor"": 2.82}"
5999491,484,7113,Aldama,CHP,,1952861,aldama,MX-CHP-Aldama,,"{""area_sr"": 0.00227, ""area_km2"": 27, ""fat_deg_m"": 0.0000092, ""side_estim_km"": 5.2, ""side_estim_deg"": 0.0477, ""elongation_factor"": 2.55}"
5999492,484,7004,Altamirano,CHP,,175830,altamirano,MX-CHP-Altamirano,,"{""area_sr"": 0.0809, ""area_km2"": 955, ""fat_deg_m"": 0.0000092, ""side_estim_km"": 30.9, ""side_estim_deg"": 0.2844, ""elongation_factor"": 2.66}"
5999493,484,7006,"Amatenango de la Frontera",CHP,,1265580,amatenango.la.frontera,MX-CHP-AmatenangoLaFrontera,,"{""area_sr"": 0.02139, ""area_km2"": 254, ""fat_deg_m"": 0.0000092, ""side_estim_km"": 15.9, ""side_estim_deg"": 0.1463, ""elongation_factor"": 2.17}"
5999494,484,7007,"Amatenango del Valle",CHP,,1785674,amatenango.valle,MX-CHP-AmatenangoValle,,"{""area_sr"": 0.01287, ""area_km2"": 152, ""fat_deg_m"": 0.0000092, ""side_estim_km"": 12.3, ""side_estim_deg"": 0.1135, ""elongation_factor"": 2.52}"
5999495,484,7005,Amatán,CHP,,1785326,amatan,MX-CHP-Amatan,,"{""area_sr"": 0.02686, ""area_km2"": 316, ""fat_deg_m"": 0.0000092, ""side_estim_km"": 17.8, ""side_estim_deg"": 0.1639, ""elongation_factor"": 2.28}"
5999500,484,7009,Arriaga,CHP,,1499102,arriaga,MX-CHP-Arriaga,,"{""area_sr"": 0.06828, ""area_km2"": 808, ""fat_deg_m"": 0.0000092, ""side_estim_km"": 28.4, ""side_estim_deg"": 0.2613, ""elongation_factor"": 2.11}"
5999511,484,7010,"Bejucal de Ocampo",CHP,,1507960,bejucal.ocampo,MX-CHP-BejucalOcampo,,"{""area_sr"": 0.00658, ""area_km2"": 78, ""fat_deg_m"": 0.0000092, ""side_estim_km"": 8.8, ""side_estim_deg"": 0.0811, ""elongation_factor"": 1.59}"
5999512,484,7011,"Bella Vista",CHP,,1784069,bella.vista,MX-CHP-BellaVista,,"{""area_sr"": 0.01801, ""area_km2"": 214, ""fat_deg_m"": 0.0000092, ""side_estim_km"": 14.6, ""side_estim_deg"": 0.1342, ""elongation_factor"": 1.48}"
5999513,484,7114,"Benemérito de las Américas",CHP,,1952882,benemerito.americas,MX-CHP-BenemeritoAmericas,,"{""area_sr"": 0.09224, ""area_km2"": 1091, ""fat_deg_m"": 0.0000092, ""side_estim_km"": 33, ""side_estim_deg"": 0.3037, ""elongation_factor"": 3.79}"
5999515,484,7012,Berriozábal,CHP,,2007940,berriozabal,MX-CHP-Berriozabal,,"{""area_sr"": 0.02985, ""area_km2"": 352, ""fat_deg_m"": 0.0000092, ""side_estim_km"": 18.8, ""side_estim_deg"": 0.1728, ""elongation_factor"": 2.66}"
5999516,484,7013,Bochil,CHP,,1952887,bochil,MX-CHP-Bochil,,"{""area_sr"": 0.03099, ""area_km2"": 365, ""fat_deg_m"": 0.0000092, ""side_estim_km"": 19.1, ""side_estim_deg"": 0.176, ""elongation_factor"": 2.66}"
5999517,484,7015,Cacahoatán,CHP,,1952906,cacahoatan,MX-CHP-Cacahoatan,,"{""area_sr"": 0.01461, ""area_km2"": 174, ""fat_deg_m"": 0.0000092, ""side_estim_km"": 13.2, ""side_estim_deg"": 0.1209, ""elongation_factor"": 1.98}"
5999522,484,7016,Catazajá,CHP,,1952920,catazaja,MX-CHP-Catazaja,,"{""area_sr"": 0.05366, ""area_km2"": 630, ""fat_deg_m"": 0.0000092, ""side_estim_km"": 25.1, ""side_estim_deg"": 0.2316, ""elongation_factor"": 3.22}"
5999525,484,7022,Chalchihuitán,CHP,,1785681,chalchihuitan,MX-CHP-Chalchihuitan,,"{""area_sr"": 0.01574, ""area_km2"": 185, ""fat_deg_m"": 0.0000092, ""side_estim_km"": 13.6, ""side_estim_deg"": 0.1255, ""elongation_factor"": 1.56}"
5999526,484,7023,Chamula,CHP,,280226,chamula,MX-CHP-Chamula,,"{""area_sr"": 0.02921, ""area_km2"": 345, ""fat_deg_m"": 0.0000092, ""side_estim_km"": 18.6, ""side_estim_deg"": 0.1709, ""elongation_factor"": 2.46}"
5999527,484,7024,Chanal,CHP,,1553479,chanal,MX-CHP-Chanal,,"{""area_sr"": 0.03444, ""area_km2"": 407, ""fat_deg_m"": 0.0000092, ""side_estim_km"": 20.2, ""side_estim_deg"": 0.1856, ""elongation_factor"": 2.44}"
5999528,484,7025,Chapultenango,CHP,,1952925,chapultenango,MX-CHP-Chapultenango,,"{""area_sr"": 0.01542, ""area_km2"": 181, ""fat_deg_m"": 0.0000092, ""side_estim_km"": 13.5, ""side_estim_deg"": 0.1242, ""elongation_factor"": 2.17}"
5999529,484,7026,Chenalhó,CHP,,1848495,chenalho,MX-CHP-Chenalho,,"{""area_sr"": 0.02131, ""area_km2"": 251, ""fat_deg_m"": 0.0000092, ""side_estim_km"": 15.8, ""side_estim_deg"": 0.146, ""elongation_factor"": 2.92}"
5999530,484,7027,"Chiapa de Corzo",CHP,,126028,chiapa.corzo,MX-CHP-ChiapaCorzo,,"{""area_sr"": 0.07034, ""area_km2"": 831, ""fat_deg_m"": 0.0000092, ""side_estim_km"": 28.8, ""side_estim_deg"": 0.2652, ""elongation_factor"": 4.37}"
5999531,484,7028,Chiapilla,CHP,,20290511,chiapilla,MX-CHP-Chiapilla,,"{""area_sr"": 0.00435, ""area_km2"": 51, ""fat_deg_m"": 0.0000092, ""side_estim_km"": 7.2, ""side_estim_deg"": 0.066, ""elongation_factor"": 2.19}"
5999533,484,7029,Chicoasén,CHP,,3667765,chicoasen,MX-CHP-Chicoasen,,"{""area_sr"": 0.00979, ""area_km2"": 115, ""fat_deg_m"": 0.0000092, ""side_estim_km"": 10.7, ""side_estim_deg"": 0.0989, ""elongation_factor"": 1.91}"
5999534,484,7030,Chicomuselo,CHP,,976886,chicomuselo,MX-CHP-Chicomuselo,,"{""area_sr"": 0.08405, ""area_km2"": 996, ""fat_deg_m"": 0.0000092, ""side_estim_km"": 31.6, ""side_estim_deg"": 0.2899, ""elongation_factor"": 2.23}"
5999535,484,7031,Chilón,CHP,,1306378,chilon,MX-CHP-Chilon,,"{""area_sr"": 0.1426, ""area_km2"": 1680, ""fat_deg_m"": 0.0000092, ""side_estim_km"": 41, ""side_estim_deg"": 0.3776, ""elongation_factor"": 2.7}"
5999537,484,7017,Cintalapa,CHP,,4420431,cintalapa,MX-CHP-Cintalapa,,"{""area_sr"": 0.20678, ""area_km2"": 2440, ""fat_deg_m"": 0.0000092, ""side_estim_km"": 49.4, ""side_estim_deg"": 0.4547, ""elongation_factor"": 2.02}"
5999540,484,7018,Coapilla,CHP,,1952939,coapilla,MX-CHP-Coapilla,,"{""area_sr"": 0.01316, ""area_km2"": 155, ""fat_deg_m"": 0.0000092, ""side_estim_km"": 12.5, ""side_estim_deg"": 0.1147, ""elongation_factor"": 2.11}"
