osm_id,jurisd_base_id,jurisd_local_id,name,parent_abbrev,abbrev,wikidata_id,lexlabel,isolabel_ext,ddd,info
5605450,484,5001,Abasolo,COA,,3846431,abasolo,MX-COA-Abasolo,,"{""area_sr"": 0.06765, ""area_km2"": 743, ""fat_deg_m"": 0.0000095, ""side_estim_km"": 27.3, ""side_estim_deg"": 0.2601, ""elongation_factor"": 2.15}"
5605491,484,5003,Allende,COA,,3850565,allende,MX-COA-Allende,,"{""area_sr"": 0.02314, ""area_km2"": 252, ""fat_deg_m"": 0.0000096, ""side_estim_km"": 15.9, ""side_estim_deg"": 0.1521, ""elongation_factor"": 2.25}"
5605536,484,5004,Arteaga,COA,,3849679,arteaga,MX-COA-Arteaga,,"{""area_sr"": 0.14664, ""area_km2"": 1635, ""fat_deg_m"": 0.0000095, ""side_estim_km"": 40.4, ""side_estim_deg"": 0.3829, ""elongation_factor"": 2.43}"
5605614,484,5005,Candela,COA,,3849687,candela,MX-COA-Candela,,"{""area_sr"": 0.19242, ""area_km2"": 2119, ""fat_deg_m"": 0.0000095, ""side_estim_km"": 46, ""side_estim_deg"": 0.4387, ""elongation_factor"": 1.93}"
5605624,484,5006,Castaños,COA,,3846467,castanos,MX-COA-Castanos,,"{""area_sr"": 0.30289, ""area_km2"": 3343, ""fat_deg_m"": 0.0000095, ""side_estim_km"": 57.8, ""side_estim_deg"": 0.5504, ""elongation_factor"": 1.87}"
5605717,484,5007,"Cuatro Ciénegas",COA,,3850589,cuatro.cienegas,MX-COA-CuatroCienegas,,"{""area_sr"": 0.96789, ""area_km2"": 10672, ""fat_deg_m"": 0.0000095, ""side_estim_km"": 103.3, ""side_estim_deg"": 0.9838, ""elongation_factor"": 3.15}"
5605785,484,5008,Escobedo,COA,,3846385,escobedo,MX-COA-Escobedo,,"{""area_sr"": 0.09344, ""area_km2"": 1025, ""fat_deg_m"": 0.0000095, ""side_estim_km"": 32, ""side_estim_deg"": 0.3057, ""elongation_factor"": 2.44}"
5605792,484,5009,"Francisco I. Madero",COA,,3849705,francisco.i.madero,MX-COA-FranciscoIMadero,,"{""area_sr"": 0.25403, ""area_km2"": 2810, ""fat_deg_m"": 0.0000095, ""side_estim_km"": 53, ""side_estim_deg"": 0.504, ""elongation_factor"": 2.78}"
5605794,484,5010,Frontera,COA,,3850610,frontera,MX-COA-Frontera,,"{""area_sr"": 0.04158, ""area_km2"": 457, ""fat_deg_m"": 0.0000095, ""side_estim_km"": 21.4, ""side_estim_deg"": 0.2039, ""elongation_factor"": 2.07}"
5605803,484,5011,"General Cepeda",COA,,3844644,general.cepeda,MX-COA-GeneralCepeda,,"{""area_sr"": 0.23715, ""area_km2"": 2641, ""fat_deg_m"": 0.0000095, ""side_estim_km"": 51.4, ""side_estim_deg"": 0.487, ""elongation_factor"": 2.87}"
5605954,484,5015,Juárez,COA,,3844624,juarez,MX-COA-Juarez,,"{""area_sr"": 0.22481, ""area_km2"": 2458, ""fat_deg_m"": 0.0000096, ""side_estim_km"": 49.6, ""side_estim_deg"": 0.4741, ""elongation_factor"": 1.82}"
5605971,484,5016,Lamadrid,COA,,2656466,lamadrid,MX-COA-Lamadrid,,"{""area_sr"": 0.06131, ""area_km2"": 673, ""fat_deg_m"": 0.0000095, ""side_estim_km"": 25.9, ""side_estim_deg"": 0.2476, ""elongation_factor"": 1.62}"
5606012,484,5017,Matamoros,COA,,3850603,matamoros,MX-COA-Matamoros,,"{""area_sr"": 0.07241, ""area_km2"": 806, ""fat_deg_m"": 0.0000095, ""side_estim_km"": 28.4, ""side_estim_deg"": 0.2691, ""elongation_factor"": 2.3}"
5606057,484,5018,Monclova,COA,,3849647,monclova,MX-COA-Monclova,,"{""area_sr"": 0.11369, ""area_km2"": 1252, ""fat_deg_m"": 0.0000095, ""side_estim_km"": 35.4, ""side_estim_deg"": 0.3372, ""elongation_factor"": 1.8}"
5606064,484,5019,Morelos,COA,,3846492,morelos,MX-COA-Morelos,,"{""area_sr"": 0.05881, ""area_km2"": 639, ""fat_deg_m"": 0.0000096, ""side_estim_km"": 25.3, ""side_estim_deg"": 0.2425, ""elongation_factor"": 1.83}"
5605465,484,5002,"Municipio de Acuña",COA,,3844637,municipio.acuna,MX-COA-MunicipioAcuna,,"{""area_sr"": 1.06577, ""area_km2"": 11462, ""fat_deg_m"": 0.0000096, ""side_estim_km"": 107.1, ""side_estim_deg"": 1.0324, ""elongation_factor"": 2.28}"
5605832,484,5012,"Municipio de Guerrero",COA,,1896889,municipio.guerrero,MX-COA-MunicipioGuerrero,,"{""area_sr"": 0.26871, ""area_km2"": 2926, ""fat_deg_m"": 0.0000096, ""side_estim_km"": 54.1, ""side_estim_deg"": 0.5184, ""elongation_factor"": 1.92}"
5605844,484,5013,"Municipio de Hidalgo",COA,,3850517,municipio.hidalgo,MX-COA-MunicipioHidalgo,,"{""area_sr"": 0.10349, ""area_km2"": 1130, ""fat_deg_m"": 0.0000096, ""side_estim_km"": 33.6, ""side_estim_deg"": 0.3217, ""elongation_factor"": 1.83}"
5605927,484,5014,"Municipio de Jiménez",COA,,3846356,municipio.jimenez,MX-COA-MunicipioJimenez,,"{""area_sr"": 0.20382, ""area_km2"": 2201, ""fat_deg_m"": 0.0000096, ""side_estim_km"": 46.9, ""side_estim_deg"": 0.4515, ""elongation_factor"": 1.98}"
5606081,484,5022,"Municipio de Nava",COA,,2651845,municipio.nava,MX-COA-MunicipioNava,,"{""area_sr"": 0.08368, ""area_km2"": 908, ""fat_deg_m"": 0.0000096, ""side_estim_km"": 30.1, ""side_estim_deg"": 0.2893, ""elongation_factor"": 1.44}"
5606149,484,5025,"Municipio de Piedras Negras",COA,,3850532,municipio.piedras.negras,MX-COA-MunicipioPiedrasNegras,,"{""area_sr"": 0.04383, ""area_km2"": 474, ""fat_deg_m"": 0.0000096, ""side_estim_km"": 21.8, ""side_estim_deg"": 0.2094, ""elongation_factor"": 2.11}"
5606668,484,5038,"Municipio de Zaragoza",COA,,3844606,municipio.zaragoza,MX-COA-MunicipioZaragoza,,"{""area_sr"": 0.73379, ""area_km2"": 7939, ""fat_deg_m"": 0.0000096, ""side_estim_km"": 89.1, ""side_estim_deg"": 0.8566, ""elongation_factor"": 1.66}"
5606074,484,5020,Múzquiz,COA,,2466033,muzquiz,MX-COA-Muzquiz,,"{""area_sr"": 0.76321, ""area_km2"": 8288, ""fat_deg_m"": 0.0000096, ""side_estim_km"": 91, ""side_estim_deg"": 0.8736, ""elongation_factor"": 2.57}"
5606077,484,5021,Nadadores,COA,,3850542,nadadores,MX-COA-Nadadores,,"{""area_sr"": 0.06529, ""area_km2"": 717, ""fat_deg_m"": 0.0000095, ""side_estim_km"": 26.8, ""side_estim_deg"": 0.2555, ""elongation_factor"": 3.02}"
5606110,484,5023,Ocampo,COA,,3846309,ocampo,MX-COA-Ocampo,,"{""area_sr"": 2.38684, ""area_km2"": 26024, ""fat_deg_m"": 0.0000096, ""side_estim_km"": 161.3, ""side_estim_deg"": 1.5449, ""elongation_factor"": 2.06}"
5606138,484,5024,Parras,COA,,3895229,parras,MX-COA-Parras,,"{""area_sr"": 0.95363, ""area_km2"": 10621, ""fat_deg_m"": 0.0000095, ""side_estim_km"": 103.1, ""side_estim_deg"": 0.9765, ""elongation_factor"": 2.88}"
5606162,484,5026,Progreso,COA,,3844650,progreso,MX-COA-Progreso,,"{""area_sr"": 0.26344, ""area_km2"": 2886, ""fat_deg_m"": 0.0000096, ""side_estim_km"": 53.7, ""side_estim_deg"": 0.5133, ""elongation_factor"": 2.64}"
5606182,484,5027,"Ramos Arizpe",COA,,3849637,ramos.arizpe,MX-COA-RamosArizpe,,"{""area_sr"": 0.60852, ""area_km2"": 6754, ""fat_deg_m"": 0.0000095, ""side_estim_km"": 82.2, ""side_estim_deg"": 0.7801, ""elongation_factor"": 2.64}"
5606202,484,5028,Sabinas,COA,,2656443,sabinas,MX-COA-Sabinas,,"{""area_sr"": 0.18118, ""area_km2"": 1976, ""fat_deg_m"": 0.0000096, ""side_estim_km"": 44.5, ""side_estim_deg"": 0.4256, ""elongation_factor"": 1.99}"
5606203,484,5029,Sacramento,COA,,3849700,sacramento,MX-COA-Sacramento,,"{""area_sr"": 0.0263, ""area_km2"": 289, ""fat_deg_m"": 0.0000095, ""side_estim_km"": 17, ""side_estim_deg"": 0.1622, ""elongation_factor"": 1.39}"
5606210,484,5030,Saltillo,COA,,53078,saltillo,MX-COA-Saltillo,,"{""area_sr"": 0.50265, ""area_km2"": 5620, ""fat_deg_m"": 0.0000095, ""side_estim_km"": 75, ""side_estim_deg"": 0.709, ""elongation_factor"": 2.39}"
5606221,484,5031,"San Buenaventura",COA,,3850549,san.buenaventura,MX-COA-SanBuenaventura,,"{""area_sr"": 0.59024, ""area_km2"": 6443, ""fat_deg_m"": 0.0000096, ""side_estim_km"": 80.3, ""side_estim_deg"": 0.7683, ""elongation_factor"": 2.82}"
5606248,484,5032,"San Juan de Sabinas",COA,,430781,san.juan.sabinas,MX-COA-SanJuanSabinas,,"{""area_sr"": 0.07365, ""area_km2"": 802, ""fat_deg_m"": 0.0000096, ""side_estim_km"": 28.3, ""side_estim_deg"": 0.2714, ""elongation_factor"": 2.25}"
5606279,484,5033,"San Pedro",COA,,3849657,san.pedro,MX-COA-SanPedro,,"{""area_sr"": 0.64453, ""area_km2"": 7144, ""fat_deg_m"": 0.0000095, ""side_estim_km"": 84.5, ""side_estim_deg"": 0.8028, ""elongation_factor"": 2.99}"
5606386,484,5034,"Sierra Mojada",COA,,3846439,sierra.mojada,MX-COA-SierraMojada,,"{""area_sr"": 0.72339, ""area_km2"": 7922, ""fat_deg_m"": 0.0000096, ""side_estim_km"": 89, ""side_estim_deg"": 0.8505, ""elongation_factor"": 2.73}"
5606549,484,5035,Torreón,COA,,3238418,torreon,MX-COA-Torreon,,"{""area_sr"": 0.11484, ""area_km2"": 1283, ""fat_deg_m"": 0.0000095, ""side_estim_km"": 35.8, ""side_estim_deg"": 0.3389, ""elongation_factor"": 3.53}"
5606597,484,5036,Viesca,COA,,3846423,viesca,MX-COA-Viesca,,"{""area_sr"": 0.39433, ""area_km2"": 4402, ""fat_deg_m"": 0.0000095, ""side_estim_km"": 66.3, ""side_estim_deg"": 0.628, ""elongation_factor"": 2.18}"
5606610,484,5037,"Villa Unión",COA,,3846478,villa.union,MX-COA-VillaUnion,,"{""area_sr"": 0.17029, ""area_km2"": 1855, ""fat_deg_m"": 0.0000096, ""side_estim_km"": 43.1, ""side_estim_deg"": 0.4127, ""elongation_factor"": 1.62}"
