osm_id,jurisd_base_id,jurisd_local_id,name,parent_abbrev,abbrev,wikidata_id,lexlabel,isolabel_ext,ddd,info
5605613,484,10001,Canatlán,DUR,,2990948,canatlan,MX-DUR-Canatlan,,"{""area_sr"": 0.31107, ""area_km2"": 3492, ""fat_deg_m"": 0.0000094, ""side_estim_km"": 59.1, ""side_estim_deg"": 0.5577, ""elongation_factor"": 2.88}"
5605615,484,10002,Canelas,DUR,,10998272,canelas,MX-DUR-Canelas,,"{""area_sr"": 0.07986, ""area_km2"": 893, ""fat_deg_m"": 0.0000095, ""side_estim_km"": 29.9, ""side_estim_deg"": 0.2826, ""elongation_factor"": 3.1}"
5605692,484,10003,"Coneto de Comonfort",DUR,,2682724,coneto.comonfort,MX-DUR-ConetoComonfort,,"{""area_sr"": 0.09611, ""area_km2"": 1074, ""fat_deg_m"": 0.0000095, ""side_estim_km"": 32.8, ""side_estim_deg"": 0.31, ""elongation_factor"": 2.92}"
5605730,484,10004,Cuencamé,DUR,,5192589,cuencame,MX-DUR-Cuencame,,"{""area_sr"": 0.47723, ""area_km2"": 5349, ""fat_deg_m"": 0.0000094, ""side_estim_km"": 73.1, ""side_estim_deg"": 0.6908, ""elongation_factor"": 3.02}"
5605770,484,10018,"El Oro",DUR,,2749781,el.oro,MX-DUR-ElOro,,"{""area_sr"": 0.31708, ""area_km2"": 3530, ""fat_deg_m"": 0.0000095, ""side_estim_km"": 59.4, ""side_estim_deg"": 0.5631, ""elongation_factor"": 2.74}"
5605810,484,10006,"General Simón Bolívar",DUR,,2913813,general.simon.bolivar,MX-DUR-GeneralSimonBolivar,,"{""area_sr"": 0.19542, ""area_km2"": 2189, ""fat_deg_m"": 0.0000094, ""side_estim_km"": 46.8, ""side_estim_deg"": 0.4421, ""elongation_factor"": 3.39}"
5605822,484,10008,"Guadalupe Victoria",DUR,,2914014,guadalupe.victoria,MX-DUR-GuadalupeVictoria,,"{""area_sr"": 0.11724, ""area_km2"": 1317, ""fat_deg_m"": 0.0000094, ""side_estim_km"": 36.3, ""side_estim_deg"": 0.3424, ""elongation_factor"": 2.79}"
5605827,484,10009,Guanaceví,DUR,,5613554,guanacevi,MX-DUR-Guanacevi,,"{""area_sr"": 0.49014, ""area_km2"": 5437, ""fat_deg_m"": 0.0000095, ""side_estim_km"": 73.7, ""side_estim_deg"": 0.7001, ""elongation_factor"": 2.79}"
5605840,484,10007,"Gómez Palacio",DUR,,2351085,gomez.palacio,MX-DUR-GomezPalacio,,"{""area_sr"": 0.07578, ""area_km2"": 842, ""fat_deg_m"": 0.0000095, ""side_estim_km"": 29, ""side_estim_deg"": 0.2753, ""elongation_factor"": 2.03}"
5605846,484,10010,Hidalgo,DUR,,2123554,hidalgo,MX-DUR-Hidalgo,,"{""area_sr"": 0.42312, ""area_km2"": 4690, ""fat_deg_m"": 0.0000095, ""side_estim_km"": 68.5, ""side_estim_deg"": 0.6505, ""elongation_factor"": 1.73}"
5605888,484,10011,Indé,DUR,,2348655,inde,MX-DUR-Inde,,"{""area_sr"": 0.22534, ""area_km2"": 2505, ""fat_deg_m"": 0.0000095, ""side_estim_km"": 50.1, ""side_estim_deg"": 0.4747, ""elongation_factor"": 2.53}"
5605975,484,10012,Lerdo,DUR,,2348954,lerdo,MX-DUR-Lerdo,,"{""area_sr"": 0.19283, ""area_km2"": 2148, ""fat_deg_m"": 0.0000095, ""side_estim_km"": 46.3, ""side_estim_deg"": 0.4391, ""elongation_factor"": 2.18}"
5606003,484,10013,Mapimí,DUR,,2348927,mapimi,MX-DUR-Mapimi,,"{""area_sr"": 0.69774, ""area_km2"": 7730, ""fat_deg_m"": 0.0000095, ""side_estim_km"": 87.9, ""side_estim_deg"": 0.8353, ""elongation_factor"": 2.31}"
5606033,484,10014,Mezquital,DUR,,1183101,mezquital,MX-DUR-Mezquital,,"{""area_sr"": 0.73754, ""area_km2"": 8374, ""fat_deg_m"": 0.0000094, ""side_estim_km"": 91.5, ""side_estim_deg"": 0.8588, ""elongation_factor"": 2.75}"
5605752,484,10005,"Municipio de Durango",DUR,,2832731,municipio.durango,MX-DUR-MunicipioDurango,,"{""area_sr"": 0.82374, ""area_km2"": 9285, ""fat_deg_m"": 0.0000094, ""side_estim_km"": 96.4, ""side_estim_deg"": 0.9076, ""elongation_factor"": 2.53}"
