osm_id,jurisd_base_id,jurisd_local_id,name,parent_abbrev,abbrev,wikidata_id,lexlabel,isolabel_ext,ddd,info
5605454,484,12001,"Acapulco de Juárez",GRO,,2378103,acapulco.juarez,MX-GRO-AcapulcoJuarez,,"{""area_sr"": 0.14663, ""area_km2"": 1728, ""fat_deg_m"": 0.0000092, ""side_estim_km"": 41.6, ""side_estim_deg"": 0.3829, ""elongation_factor"": 2.57}"
5605455,484,12076,Acatepec,GRO,,4672180,acatepec,MX-GRO-Acatepec,,"{""area_sr"": 0.05357, ""area_km2"": 631, ""fat_deg_m"": 0.0000092, ""side_estim_km"": 25.1, ""side_estim_deg"": 0.2315, ""elongation_factor"": 2.72}"
5605474,484,12002,Ahuacuotzingo,GRO,,2359444,ahuacuotzingo,MX-GRO-Ahuacuotzingo,,"{""area_sr"": 0.07423, ""area_km2"": 871, ""fat_deg_m"": 0.0000092, ""side_estim_km"": 29.5, ""side_estim_deg"": 0.2725, ""elongation_factor"": 2.02}"
5605483,484,12003,"Ajuchitlán del Progreso",GRO,,2651910,ajuchitlan.progreso,MX-GRO-AjuchitlanProgreso,,"{""area_sr"": 0.17009, ""area_km2"": 1995, ""fat_deg_m"": 0.0000092, ""side_estim_km"": 44.7, ""side_estim_deg"": 0.4124, ""elongation_factor"": 2.5}"
5605486,484,12004,"Alcozauca de Guerrero",GRO,,2434384,alcozauca.guerrero,MX-GRO-AlcozaucaGuerrero,,"{""area_sr"": 0.03995, ""area_km2"": 470, ""fat_deg_m"": 0.0000092, ""side_estim_km"": 21.7, ""side_estim_deg"": 0.1999, ""elongation_factor"": 2.72}"
5605497,484,12005,Alpoyeca,GRO,,530575,alpoyeca,MX-GRO-Alpoyeca,,"{""area_sr"": 0.00799, ""area_km2"": 94, ""fat_deg_m"": 0.0000092, ""side_estim_km"": 9.7, ""side_estim_deg"": 0.0894, ""elongation_factor"": 1.91}"
5605519,484,12006,Apaxtla,GRO,,2651738,apaxtla,MX-GRO-Apaxtla,,"{""area_sr"": 0.05351, ""area_km2"": 627, ""fat_deg_m"": 0.0000092, ""side_estim_km"": 25, ""side_estim_deg"": 0.2313, ""elongation_factor"": 2.98}"
5605529,484,12007,Arcelia,GRO,,1998019,arcelia,MX-GRO-Arcelia,,"{""area_sr"": 0.06442, ""area_km2"": 754, ""fat_deg_m"": 0.0000092, ""side_estim_km"": 27.5, ""side_estim_deg"": 0.2538, ""elongation_factor"": 2.4}"
5605542,484,12008,"Atenango del Río",GRO,,10379902,atenango.rio,MX-GRO-AtenangoRio,,"{""area_sr"": 0.04764, ""area_km2"": 558, ""fat_deg_m"": 0.0000092, ""side_estim_km"": 23.6, ""side_estim_deg"": 0.2183, ""elongation_factor"": 2.88}"
5605551,484,12009,"Atlamajalcingo del Monte",GRO,,2973489,atlamajalcingo.monte,MX-GRO-AtlamajalcingoMonte,,"{""area_sr"": 0.01245, ""area_km2"": 147, ""fat_deg_m"": 0.0000092, ""side_estim_km"": 12.1, ""side_estim_deg"": 0.1116, ""elongation_factor"": 2.32}"
5605555,484,12010,Atlixtac,GRO,,1771198,atlixtac,MX-GRO-Atlixtac,,"{""area_sr"": 0.04879, ""area_km2"": 573, ""fat_deg_m"": 0.0000092, ""side_estim_km"": 23.9, ""side_estim_deg"": 0.2209, ""elongation_factor"": 2.58}"
5605560,484,12011,"Atoyac de Álvarez",GRO,,7339362,atoyac.alvarez,MX-GRO-AtoyacAlvarez,,"{""area_sr"": 0.1232, ""area_km2"": 1449, ""fat_deg_m"": 0.0000092, ""side_estim_km"": 38.1, ""side_estim_deg"": 0.351, ""elongation_factor"": 2.02}"
5605569,484,12012,"Ayutla de los Libres",GRO,,4073765,ayutla.libres,MX-GRO-AyutlaLibres,,"{""area_sr"": 0.08923, ""area_km2"": 1052, ""fat_deg_m"": 0.0000092, ""side_estim_km"": 32.4, ""side_estim_deg"": 0.2987, ""elongation_factor"": 2.16}"
5605572,484,12013,Azoyú,GRO,,10826418,azoyu,MX-GRO-Azoyu,,"{""area_sr"": 0.03354, ""area_km2"": 396, ""fat_deg_m"": 0.0000092, ""side_estim_km"": 19.9, ""side_estim_deg"": 0.1831, ""elongation_factor"": 2.41}"
5605587,484,12014,"Benito Juárez",GRO,,2652583,benito.juarez,MX-GRO-BenitoJuarez,,"{""area_sr"": 0.01952, ""area_km2"": 230, ""fat_deg_m"": 0.0000092, ""side_estim_km"": 15.2, ""side_estim_deg"": 0.1397, ""elongation_factor"": 3.7}"
5605595,484,12015,"Buenavista de Cuéllar",GRO,,253204,buenavista.cuellar,MX-GRO-BuenavistaCuellar,,"{""area_sr"": 0.026, ""area_km2"": 304, ""fat_deg_m"": 0.0000092, ""side_estim_km"": 17.4, ""side_estim_deg"": 0.1612, ""elongation_factor"": 2.49}"
5605650,484,12028,"Chilapa de Álvarez",GRO,,14333083,chilapa.alvarez,MX-GRO-ChilapaAlvarez,,"{""area_sr"": 0.06379, ""area_km2"": 750, ""fat_deg_m"": 0.0000092, ""side_estim_km"": 27.4, ""side_estim_deg"": 0.2526, ""elongation_factor"": 2.93}"
5605653,484,12029,"Chilpancingo de los Bravo",GRO,,1997973,chilpancingo.bravo,MX-GRO-ChilpancingoBravo,,"{""area_sr"": 0.18542, ""area_km2"": 2181, ""fat_deg_m"": 0.0000092, ""side_estim_km"": 46.7, ""side_estim_deg"": 0.4306, ""elongation_factor"": 2.26}"
5605672,484,12016,"Coahuayutla de José María Izazaga",GRO,,3311173,coahuayutla.jose.maria.izazaga,MX-GRO-CoahuayutlaJoseMariaIzazaga,,"{""area_sr"": 0.22607, ""area_km2"": 2646, ""fat_deg_m"": 0.0000092, ""side_estim_km"": 51.4, ""side_estim_deg"": 0.4755, ""elongation_factor"": 1.96}"
5605676,484,12078,"Cochoapa el Grande",GRO,,4236860,cochoapa.grande,MX-GRO-CochoapaGrande,,"{""area_sr"": 0.05269, ""area_km2"": 621, ""fat_deg_m"": 0.0000092, ""side_estim_km"": 24.9, ""side_estim_deg"": 0.2295, ""elongation_factor"": 1.45}"
5605679,484,12017,Cocula,GRO,,5139915,cocula,MX-GRO-Cocula,,"{""area_sr"": 0.03805, ""area_km2"": 446, ""fat_deg_m"": 0.0000092, ""side_estim_km"": 21.1, ""side_estim_deg"": 0.1951, ""elongation_factor"": 3.4}"
5605694,484,12018,Copala,GRO,,5168293,copala,MX-GRO-Copala,,"{""area_sr"": 0.02508, ""area_km2"": 296, ""fat_deg_m"": 0.0000092, ""side_estim_km"": 17.2, ""side_estim_deg"": 0.1584, ""elongation_factor"": 2.33}"
5605695,484,12019,Copalillo,GRO,,5168294,copalillo,MX-GRO-Copalillo,,"{""area_sr"": 0.06248, ""area_km2"": 732, ""fat_deg_m"": 0.0000092, ""side_estim_km"": 27.1, ""side_estim_deg"": 0.25, ""elongation_factor"": 2.58}"
5605697,484,12020,Copanatoyac,GRO,,5168311,copanatoyac,MX-GRO-Copanatoyac,,"{""area_sr"": 0.02608, ""area_km2"": 307, ""fat_deg_m"": 0.0000092, ""side_estim_km"": 17.5, ""side_estim_deg"": 0.1615, ""elongation_factor"": 2.14}"
5605711,484,12021,"Coyuca de Benítez",GRO,,1997024,coyuca.benitez,MX-GRO-CoyucaBenitez,,"{""area_sr"": 0.15377, ""area_km2"": 1811, ""fat_deg_m"": 0.0000092, ""side_estim_km"": 42.6, ""side_estim_deg"": 0.3921, ""elongation_factor"": 2.03}"
5605712,484,12022,"Coyuca de Catalán",GRO,,2448109,coyuca.catalan,MX-GRO-CoyucaCatalan,,"{""area_sr"": 0.28653, ""area_km2"": 3357, ""fat_deg_m"": 0.0000092, ""side_estim_km"": 57.9, ""side_estim_deg"": 0.5353, ""elongation_factor"": 2.41}"
5605715,484,12023,Cuajinicuilapa,GRO,,5390796,cuajinicuilapa,MX-GRO-Cuajinicuilapa,,"{""area_sr"": 0.05345, ""area_km2"": 632, ""fat_deg_m"": 0.0000092, ""side_estim_km"": 25.1, ""side_estim_deg"": 0.2312, ""elongation_factor"": 1.91}"
5605716,484,12024,Cualác,GRO,,3888087,cualac,MX-GRO-Cualac,,"{""area_sr"": 0.02038, ""area_km2"": 239, ""fat_deg_m"": 0.0000092, ""side_estim_km"": 15.5, ""side_estim_deg"": 0.1428, ""elongation_factor"": 2.09}"
5605723,484,12025,Cuautepec,GRO,,5191898,cuautepec,MX-GRO-Cuautepec,,"{""area_sr"": 0.0266, ""area_km2"": 314, ""fat_deg_m"": 0.0000092, ""side_estim_km"": 17.7, ""side_estim_deg"": 0.1631, ""elongation_factor"": 2.56}"
5605733,484,12026,"Cuetzala del Progreso",GRO,,3845740,cuetzala.progreso,MX-GRO-CuetzalaProgreso,,"{""area_sr"": 0.03185, ""area_km2"": 373, ""fat_deg_m"": 0.0000092, ""side_estim_km"": 19.3, ""side_estim_deg"": 0.1785, ""elongation_factor"": 3.43}"
5605739,484,12027,"Cutzamala de Pinzón",GRO,,1998007,cutzamala.pinzon,MX-GRO-CutzamalaPinzon,,"{""area_sr"": 0.11437, ""area_km2"": 1336, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 36.5, ""side_estim_deg"": 0.3382, ""elongation_factor"": 1.84}"
5605757,484,12075,"Eduardo Neri",GRO,,2637466,eduardo.neri,MX-GRO-EduardoNeri,,"{""area_sr"": 0.10646, ""area_km2"": 1249, ""fat_deg_m"": 0.0000092, ""side_estim_km"": 35.3, ""side_estim_deg"": 0.3263, ""elongation_factor"": 2.46}"
5605790,484,12030,"Florencio Villarreal",GRO,,3847032,florencio.villarreal,MX-GRO-FlorencioVillarreal,,"{""area_sr"": 0.02409, ""area_km2"": 284, ""fat_deg_m"": 0.0000092, ""side_estim_km"": 16.9, ""side_estim_deg"": 0.1552, ""elongation_factor"": 1.8}"
5605802,484,12031,"General Canuto A. Neri",GRO,,5531754,general.canuto.a.neri,MX-GRO-GeneralCanutoANeri,,"{""area_sr"": 0.02224, ""area_km2"": 260, ""fat_deg_m"": 0.0000092, ""side_estim_km"": 16.1, ""side_estim_deg"": 0.1491, ""elongation_factor"": 2.73}"
5605807,484,12032,"General Heliodoro Castillo",GRO,,3888998,general.heliodoro.castillo,MX-GRO-GeneralHeliodoroCastillo,,"{""area_sr"": 0.1471, ""area_km2"": 1727, ""fat_deg_m"": 0.0000092, ""side_estim_km"": 41.6, ""side_estim_deg"": 0.3835, ""elongation_factor"": 2.57}"
5605855,484,12033,Huamuxtitlán,GRO,,604826,huamuxtitlan,MX-GRO-Huamuxtitlan,,"{""area_sr"": 0.02343, ""area_km2"": 275, ""fat_deg_m"": 0.0000092, ""side_estim_km"": 16.6, ""side_estim_deg"": 0.1531, ""elongation_factor"": 2.46}"
5605877,484,12034,"Huitzuco de los Figueroa",GRO,,2651789,huitzuco.figueroa,MX-GRO-HuitzucoFigueroa,,"{""area_sr"": 0.1134, ""area_km2"": 1328, ""fat_deg_m"": 0.0000092, ""side_estim_km"": 36.4, ""side_estim_deg"": 0.3368, ""elongation_factor"": 2.69}"
5605882,484,12035,"Iguala de la Independencia",GRO,,2466669,iguala.la.independencia,MX-GRO-IgualaLaIndependencia,,"{""area_sr"": 0.04873, ""area_km2"": 570, ""fat_deg_m"": 0.0000092, ""side_estim_km"": 23.9, ""side_estim_deg"": 0.2207, ""elongation_factor"": 3.65}"
5605883,484,12036,Igualapa,GRO,,5913732,igualapa,MX-GRO-Igualapa,,"{""area_sr"": 0.01654, ""area_km2"": 195, ""fat_deg_m"": 0.0000092, ""side_estim_km"": 14, ""side_estim_deg"": 0.1286, ""elongation_factor"": 3.31}"
5605885,484,12081,Iliatenco,GRO,,4200040,iliatenco,MX-GRO-Iliatenco,,"{""area_sr"": 0.02039, ""area_km2"": 240, ""fat_deg_m"": 0.0000092, ""side_estim_km"": 15.5, ""side_estim_deg"": 0.1428, ""elongation_factor"": 2.01}"
5605893,484,12037,"Ixcateopan de Cuauhtémoc",GRO,,5923619,ixcateopan.cuauhtemoc,MX-GRO-IxcateopanCuauhtemoc,,"{""area_sr"": 0.01814, ""area_km2"": 212, ""fat_deg_m"": 0.0000092, ""side_estim_km"": 14.6, ""side_estim_deg"": 0.1347, ""elongation_factor"": 1.56}"
5605939,484,12079,"José Joaquín de Herrera",GRO,,6292609,jose.joaquin.herrera,MX-GRO-JoseJoaquinHerrera,,"{""area_sr"": 0.01123, ""area_km2"": 132, ""fat_deg_m"": 0.0000092, ""side_estim_km"": 11.5, ""side_estim_deg"": 0.1059, ""elongation_factor"": 1.61}"
5605942,484,12039,"Juan R. Escudero",GRO,,2376403,juan.r.escudero,MX-GRO-JuanREscudero,,"{""area_sr"": 0.03472, ""area_km2"": 409, ""fat_deg_m"": 0.0000092, ""side_estim_km"": 20.2, ""side_estim_deg"": 0.1863, ""elongation_factor"": 2.8}"
5605947,484,12080,Juchitán,GRO,,4502632,juchitan,MX-GRO-Juchitan,,"{""area_sr"": 0.02149, ""area_km2"": 254, ""fat_deg_m"": 0.0000092, ""side_estim_km"": 15.9, ""side_estim_deg"": 0.1466, ""elongation_factor"": 1.38}"
5605966,484,12068,"La Unión de Isidoro Montes de Oca",GRO,,2447340,la.union.isidoro.montes.oca,MX-GRO-LaUnionIsidoroMontesOca,,"{""area_sr"": 0.15017, ""area_km2"": 1760, ""fat_deg_m"": 0.0000092, ""side_estim_km"": 42, ""side_estim_deg"": 0.3875, ""elongation_factor"": 2.57}"
5605974,484,12040,"Leonardo Bravo",GRO,,2652080,leonardo.bravo,MX-GRO-LeonardoBravo,,"{""area_sr"": 0.06136, ""area_km2"": 721, ""fat_deg_m"": 0.0000092, ""side_estim_km"": 26.8, ""side_estim_deg"": 0.2477, ""elongation_factor"": 2.29}"
5605999,484,12041,Malinaltepec,GRO,,6743721,malinaltepec,MX-GRO-Malinaltepec,,"{""area_sr"": 0.04016, ""area_km2"": 473, ""fat_deg_m"": 0.0000092, ""side_estim_km"": 21.7, ""side_estim_deg"": 0.2004, ""elongation_factor"": 3.1}"
5606006,484,12077,Marquelia,GRO,,4281883,marquelia,MX-GRO-Marquelia,,"{""area_sr"": 0.01785, ""area_km2"": 211, ""fat_deg_m"": 0.0000092, ""side_estim_km"": 14.5, ""side_estim_deg"": 0.1336, ""elongation_factor"": 2.87}"
5606026,484,12043,Metlatónoc,GRO,,2878724,metlatonoc,MX-GRO-Metlatonoc,,"{""area_sr"": 0.05108, ""area_km2"": 602, ""fat_deg_m"": 0.0000092, ""side_estim_km"": 24.5, ""side_estim_deg"": 0.226, ""elongation_factor"": 4.58}"
5606051,484,12044,Mochitlán,GRO,,12352751,mochitlan,MX-GRO-Mochitlan,,"{""area_sr"": 0.04357, ""area_km2"": 513, ""fat_deg_m"": 0.0000092, ""side_estim_km"": 22.6, ""side_estim_deg"": 0.2087, ""elongation_factor"": 2.44}"
5606071,484,12042,"Mártir de Cuilapan",GRO,,2651777,martir.cuilapan,MX-GRO-MartirCuilapan,,"{""area_sr"": 0.05245, ""area_km2"": 615, ""fat_deg_m"": 0.0000092, ""side_estim_km"": 24.8, ""side_estim_deg"": 0.229, ""elongation_factor"": 2.09}"
5606118,484,12045,Olinalá,GRO,,3851157,olinala,MX-GRO-Olinala,,"{""area_sr"": 0.06027, ""area_km2"": 707, ""fat_deg_m"": 0.0000092, ""side_estim_km"": 26.6, ""side_estim_deg"": 0.2455, ""elongation_factor"": 2.78}"
5606119,484,12046,Ometepec,GRO,,7090133,ometepec,MX-GRO-Ometepec,,"{""area_sr"": 0.05105, ""area_km2"": 603, ""fat_deg_m"": 0.0000092, ""side_estim_km"": 24.5, ""side_estim_deg"": 0.2259, ""elongation_factor"": 1.88}"
5606141,484,12047,"Pedro Ascencio Alquisiras",GRO,,12981704,pedro.ascencio.alquisiras,MX-GRO-PedroAscencioAlquisiras,,"{""area_sr"": 0.02518, ""area_km2"": 294, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 17.2, ""side_estim_deg"": 0.1587, ""elongation_factor"": 2.69}"
