osm_id,jurisd_base_id,jurisd_local_id,name,parent_abbrev,abbrev,wikidata_id,lexlabel,isolabel_ext,ddd,info
5605451,484,11001,Abasolo,GUA,,20209171,abasolo,MX-GUA-Abasolo,,"{""area_sr"": 0.0533, ""area_km2"": 615, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 24.8, ""side_estim_deg"": 0.2309, ""elongation_factor"": 3.45}"
5605466,484,11002,Acámbaro,GUA,,16488140,acambaro,MX-GUA-Acambaro,,"{""area_sr"": 0.07579, ""area_km2"": 878, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 29.6, ""side_estim_deg"": 0.2753, ""elongation_factor"": 3.28}"
5605515,484,11004,"Apaseo el Alto",GUA,,20209172,apaseo.alto,MX-GUA-ApaseoAlto,,"{""area_sr"": 0.03241, ""area_km2"": 375, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 19.4, ""side_estim_deg"": 0.18, ""elongation_factor"": 1.87}"
5605516,484,11005,"Apaseo el Grande",GUA,,20209173,apaseo.grande,MX-GUA-ApaseoGrande,,"{""area_sr"": 0.03642, ""area_km2"": 420, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 20.5, ""side_estim_deg"": 0.1908, ""elongation_factor"": 2.14}"
5605540,484,11006,Atarjea,GUA,,2651750,atarjea,MX-GUA-Atarjea,,"{""area_sr"": 0.02733, ""area_km2"": 314, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 17.7, ""side_estim_deg"": 0.1653, ""elongation_factor"": 1.89}"
5605629,484,11007,Celaya,GUA,,668273,celaya,MX-GUA-Celaya,,"{""area_sr"": 0.0479, ""area_km2"": 553, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 23.5, ""side_estim_deg"": 0.2189, ""elongation_factor"": 2.48}"
5605687,484,11009,Comonfort,GUA,,20209177,comonfort,MX-GUA-Comonfort,,"{""area_sr"": 0.04238, ""area_km2"": 489, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 22.1, ""side_estim_deg"": 0.2059, ""elongation_factor"": 2.4}"
5605701,484,11010,Coroneo,GUA,,20209179,coroneo,MX-GUA-Coroneo,,"{""area_sr"": 0.0107, ""area_km2"": 124, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 11.1, ""side_estim_deg"": 0.1034, ""elongation_factor"": 2.58}"
5605703,484,11011,Cortazar,GUA,,625906,cortazar,MX-GUA-Cortazar,,"{""area_sr"": 0.02901, ""area_km2"": 335, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 18.3, ""side_estim_deg"": 0.1703, ""elongation_factor"": 1.71}"
5605732,484,11012,Cuerámaro,GUA,,20209181,cueramaro,MX-GUA-Cueramaro,,"{""area_sr"": 0.02256, ""area_km2"": 260, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 16.1, ""side_estim_deg"": 0.1502, ""elongation_factor"": 2.17}"
5605748,484,11013,"Doctor Mora",GUA,,20290582,doctor.mora,MX-GUA-DoctorMora,,"{""area_sr"": 0.02007, ""area_km2"": 231, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 15.2, ""side_estim_deg"": 0.1417, ""elongation_factor"": 1.9}"
5605749,484,11014,"Dolores Hidalgo Cuna de la Independencia Nacional",GUA,,958153,dolores.hidalgo.cuna.la.independencia.nacional,MX-GUA-DoloresHidalgoCunaLaIndependenciaNacional,,"{""area_sr"": 0.14397, ""area_km2"": 1656, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 40.7, ""side_estim_deg"": 0.3794, ""elongation_factor"": 2.5}"
5605859,484,11016,Huanímaro,GUA,,2651183,huanimaro,MX-GUA-Huanimaro,,"{""area_sr"": 0.01103, ""area_km2"": 128, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 11.3, ""side_estim_deg"": 0.105, ""elongation_factor"": 1.85}"
5605889,484,11017,Irapuato,GUA,,9009232,irapuato,MX-GUA-Irapuato,,"{""area_sr"": 0.07379, ""area_km2"": 851, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 29.2, ""side_estim_deg"": 0.2716, ""elongation_factor"": 2.18}"
5605917,484,11018,"Jaral del Progreso",GUA,,20209188,jaral.progreso,MX-GUA-JaralProgreso,,"{""area_sr"": 0.01517, ""area_km2"": 175, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 13.2, ""side_estim_deg"": 0.1232, ""elongation_factor"": 1.8}"
5605920,484,11019,Jerécuaro,GUA,,20209189,jerecuaro,MX-GUA-Jerecuaro,,"{""area_sr"": 0.07632, ""area_km2"": 883, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 29.7, ""side_estim_deg"": 0.2763, ""elongation_factor"": 2.68}"
5605977,484,11020,León,GUA,,9022143,leon,MX-GUA-Leon,,"{""area_sr"": 0.1062, ""area_km2"": 1222, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 35, ""side_estim_deg"": 0.3259, ""elongation_factor"": 2.54}"
5606001,484,11008,"Manuel Doblado",GUA,,2447549,manuel.doblado,MX-GUA-ManuelDoblado,,"{""area_sr"": 0.07109, ""area_km2"": 820, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 28.6, ""side_estim_deg"": 0.2666, ""elongation_factor"": 2.16}"
5606068,484,11021,Moroleón,GUA,,605127,moroleon,MX-GUA-Moroleon,,"{""area_sr"": 0.0138, ""area_km2"": 160, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 12.6, ""side_estim_deg"": 0.1175, ""elongation_factor"": 2.4}"
5605828,484,11015,"Municipio de Guanajuato",GUA,,16334261,municipio.guanajuato,MX-GUA-MunicipioGuanajuato,,"{""area_sr"": 0.08811, ""area_km2"": 1014, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 31.8, ""side_estim_deg"": 0.2968, ""elongation_factor"": 2.28}"
5606106,484,11022,Ocampo,GUA,,2651323,ocampo,MX-GUA-Ocampo,,"{""area_sr"": 0.0895, ""area_km2"": 1026, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 32, ""side_estim_deg"": 0.2992, ""elongation_factor"": 2.18}"
5606163,484,11024,"Pueblo Nuevo",GUA,,2651165,pueblo.nuevo,MX-GUA-PuebloNuevo,,"{""area_sr"": 0.00519, ""area_km2"": 60, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 7.7, ""side_estim_deg"": 0.072, ""elongation_factor"": 2.08}"
5606171,484,11025,"Purísima del Rincón",GUA,,948895,purisima.rincon,MX-GUA-PurisimaRincon,,"{""area_sr"": 0.02524, ""area_km2"": 291, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 17, ""side_estim_deg"": 0.1589, ""elongation_factor"": 3.41}"
5606175,484,11023,Pénjamo,GUA,,1962279,penjamo,MX-GUA-Penjamo,,"{""area_sr"": 0.13509, ""area_km2"": 1561, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 39.5, ""side_estim_deg"": 0.3675, ""elongation_factor"": 2.4}"
5606192,484,11026,Romita,GUA,,20209193,romita,MX-GUA-Romita,,"{""area_sr"": 0.03824, ""area_km2"": 441, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 21, ""side_estim_deg"": 0.1956, ""elongation_factor"": 2.53}"
5606207,484,11027,Salamanca,GUA,,20209194,salamanca,MX-GUA-Salamanca,,"{""area_sr"": 0.06548, ""area_km2"": 756, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 27.5, ""side_estim_deg"": 0.2559, ""elongation_factor"": 2.79}"
5606213,484,11028,Salvatierra,GUA,,20209195,salvatierra,MX-GUA-Salvatierra,,"{""area_sr"": 0.05124, ""area_km2"": 593, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 24.3, ""side_estim_deg"": 0.2264, ""elongation_factor"": 2.81}"
5606226,484,11029,"San Diego de la Unión",GUA,,16628318,san.diego.la.union,MX-GUA-SanDiegoLaUnion,,"{""area_sr"": 0.08825, ""area_km2"": 1013, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 31.8, ""side_estim_deg"": 0.2971, ""elongation_factor"": 2.26}"
5606231,484,11030,"San Felipe",GUA,,16609567,san.felipe,MX-GUA-SanFelipe,,"{""area_sr"": 0.26209, ""area_km2"": 3007, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 54.8, ""side_estim_deg"": 0.5119, ""elongation_factor"": 2.59}"
5606237,484,11031,"San Francisco del Rincón",GUA,,20209198,san.francisco.rincon,MX-GUA-SanFranciscoRincon,,"{""area_sr"": 0.03693, ""area_km2"": 425, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 20.6, ""side_estim_deg"": 0.1922, ""elongation_factor"": 1.97}"
5606244,484,11032,"San José Iturbide",GUA,,20209199,san.jose.iturbide,MX-GUA-SanJoseIturbide,,"{""area_sr"": 0.04762, ""area_km2"": 548, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 23.4, ""side_estim_deg"": 0.2182, ""elongation_factor"": 1.57}"
5606258,484,11033,"San Luis de la Paz",GUA,,18419347,san.luis.la.paz,MX-GUA-SanLuisLaPaz,,"{""area_sr"": 0.17695, ""area_km2"": 2032, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 45.1, ""side_estim_deg"": 0.4207, ""elongation_factor"": 2.81}"
5606268,484,11003,"San Miguel de Allende",GUA,,4063467,san.miguel.allende,MX-GUA-SanMiguelAllende,,"{""area_sr"": 0.13492, ""area_km2"": 1554, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 39.4, ""side_estim_deg"": 0.3673, ""elongation_factor"": 2.17}"
5606287,484,11034,"Santa Catarina",GUA,,2991533,santa.catarina,MX-GUA-SantaCatarina,,"{""area_sr"": 0.01693, ""area_km2"": 195, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 14, ""side_estim_deg"": 0.1301, ""elongation_factor"": 1.92}"
5606291,484,11035,"Santa Cruz de Juventino Rosas",GUA,,2447599,santa.cruz.juventino.rosas,MX-GUA-SantaCruzJuventinoRosas,,"{""area_sr"": 0.0372, ""area_km2"": 429, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 20.7, ""side_estim_deg"": 0.1929, ""elongation_factor"": 2.62}"
5606330,484,11036,"Santiago Maravatío",GUA,,2651258,santiago.maravatio,MX-GUA-SantiagoMaravatio,,"{""area_sr"": 0.00722, ""area_km2"": 84, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 9.1, ""side_estim_deg"": 0.085, ""elongation_factor"": 2}"
5606389,484,11037,"Silao de la Victoria",GUA,,20209203,silao.la.victoria,MX-GUA-SilaoLaVictoria,,"{""area_sr"": 0.04677, ""area_km2"": 539, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 23.2, ""side_estim_deg"": 0.2163, ""elongation_factor"": 2.41}"
5606434,484,11038,Tarandacuao,GUA,,20209205,tarandacuao,MX-GUA-Tarandacuao,,"{""area_sr"": 0.01043, ""area_km2"": 121, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 11, ""side_estim_deg"": 0.1021, ""elongation_factor"": 3.33}"
5606436,484,11039,Tarimoro,GUA,,4451992,tarimoro,MX-GUA-Tarimoro,,"{""area_sr"": 0.0289, ""area_km2"": 334, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 18.3, ""side_estim_deg"": 0.17, ""elongation_factor"": 2.27}"
5606502,484,11040,"Tierra Blanca",GUA,,2448101,tierra.blanca,MX-GUA-TierraBlanca,,"{""area_sr"": 0.03557, ""area_km2"": 409, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 20.2, ""side_estim_deg"": 0.1886, ""elongation_factor"": 2.1}"
5606576,484,11041,Uriangato,GUA,,20209208,uriangato,MX-GUA-Uriangato,,"{""area_sr"": 0.01006, ""area_km2"": 117, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 10.8, ""side_estim_deg"": 0.1003, ""elongation_factor"": 3.09}"
5606585,484,11042,"Valle de Santiago",GUA,,20209210,valle.santiago,MX-GUA-ValleSantiago,,"{""area_sr"": 0.07091, ""area_km2"": 820, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 28.6, ""side_estim_deg"": 0.2663, ""elongation_factor"": 2.31}"
5606596,484,11043,Victoria,GUA,,20209211,victoria,MX-GUA-Victoria,,"{""area_sr"": 0.09121, ""area_km2"": 1047, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 32.4, ""side_estim_deg"": 0.302, ""elongation_factor"": 2.56}"
5606625,484,11044,Villagrán,GUA,,20209212,villagran,MX-GUA-Villagran,,"{""area_sr"": 0.01113, ""area_km2"": 128, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 11.3, ""side_estim_deg"": 0.1055, ""elongation_factor"": 2.61}"
5606634,484,11045,Xichú,GUA,,20209213,xichu,MX-GUA-Xichu,,"{""area_sr"": 0.07935, ""area_km2"": 911, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 30.2, ""side_estim_deg"": 0.2817, ""elongation_factor"": 2.11}"
