osm_id,jurisd_base_id,jurisd_local_id,name,parent_abbrev,abbrev,wikidata_id,lexlabel,isolabel_ext,ddd,info
5605458,484,13001,Acatlán,HID,,3887952,acatlan,MX-HID-Acatlan,,"{""area_sr"": 0.02088, ""area_km2"": 242, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 15.5, ""side_estim_deg"": 0.1445, ""elongation_factor"": 2.4}"
5605459,484,13002,Acaxochitlán,HID,,2990957,acaxochitlan,MX-HID-Acaxochitlan,,"{""area_sr"": 0.02064, ""area_km2"": 239, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 15.5, ""side_estim_deg"": 0.1437, ""elongation_factor"": 2.09}"
5605462,484,13003,Actopan,HID,,3827542,actopan,MX-HID-Actopan,,"{""area_sr"": 0.02351, ""area_km2"": 272, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 16.5, ""side_estim_deg"": 0.1533, ""elongation_factor"": 3.04}"
5605467,484,13004,"Agua Blanca de Iturbide",HID,,29010416,agua.blanca.iturbide,MX-HID-AguaBlancaIturbide,,"{""area_sr"": 0.01038, ""area_km2"": 120, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 11, ""side_estim_deg"": 0.1019, ""elongation_factor"": 1.76}"
5605482,484,13005,Ajacuba,HID,,27796637,ajacuba,MX-HID-Ajacuba,,"{""area_sr"": 0.02064, ""area_km2"": 239, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 15.5, ""side_estim_deg"": 0.1437, ""elongation_factor"": 2.59}"
5605489,484,13006,Alfajayucan,HID,,27796636,alfajayucan,MX-HID-Alfajayucan,,"{""area_sr"": 0.03752, ""area_km2"": 434, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 20.8, ""side_estim_deg"": 0.1937, ""elongation_factor"": 1.86}"
5605496,484,13007,Almoloya,HID,,27796635,almoloya,MX-HID-Almoloya,,"{""area_sr"": 0.02347, ""area_km2"": 272, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 16.5, ""side_estim_deg"": 0.1532, ""elongation_factor"": 2.42}"
5605514,484,13008,Apan,HID,,27796634,apan,MX-HID-Apan,,"{""area_sr"": 0.02777, ""area_km2"": 322, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 18, ""side_estim_deg"": 0.1666, ""elongation_factor"": 2.9}"
5605547,484,13010,Atitalaquia,HID,,27772138,atitalaquia,MX-HID-Atitalaquia,,"{""area_sr"": 0.00539, ""area_km2"": 62, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 7.9, ""side_estim_deg"": 0.0734, ""elongation_factor"": 2.52}"
5605552,484,13011,Atlapexco,HID,,29043041,atlapexco,MX-HID-Atlapexco,,"{""area_sr"": 0.01234, ""area_km2"": 142, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 11.9, ""side_estim_deg"": 0.1111, ""elongation_factor"": 2.46}"
5605557,484,13013,"Atotonilco de Tula",HID,,1456280,atotonilco.tula,MX-HID-AtotonilcoTula,,"{""area_sr"": 0.01056, ""area_km2"": 122, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 11.1, ""side_estim_deg"": 0.1027, ""elongation_factor"": 3}"
