osm_id,jurisd_base_id,jurisd_local_id,name,parent_abbrev,abbrev,wikidata_id,lexlabel,isolabel_ext,ddd,info
5605456,484,14001,Acatic,JAL,,2739431,acatic,MX-JAL-Acatic,,"{""area_sr"": 0.02942, ""area_km2"": 339, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 18.4, ""side_estim_deg"": 0.1715, ""elongation_factor"": 1.91}"
5605457,484,14002,"Acatlán de Juárez",JAL,,1658581,acatlan.juarez,MX-JAL-AcatlanJuarez,,"{""area_sr"": 0.01333, ""area_km2"": 154, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 12.4, ""side_estim_deg"": 0.1154, ""elongation_factor"": 2.06}"
5605477,484,14003,"Ahualulco de Mercado",JAL,,1658614,ahualulco.mercado,MX-JAL-AhualulcoMercado,,"{""area_sr"": 0.02376, ""area_km2"": 274, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 16.6, ""side_estim_deg"": 0.1541, ""elongation_factor"": 2.36}"
5605500,484,14004,Amacueca,JAL,,1656282,amacueca,MX-JAL-Amacueca,,"{""area_sr"": 0.01077, ""area_km2"": 125, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 11.2, ""side_estim_deg"": 0.1038, ""elongation_factor"": 2.01}"
5605504,484,14005,Amatitán,JAL,,2841366,amatitan,MX-JAL-Amatitan,,"{""area_sr"": 0.01497, ""area_km2"": 173, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 13.1, ""side_estim_deg"": 0.1224, ""elongation_factor"": 2.07}"
5605507,484,14006,Ameca,JAL,,2842525,ameca,MX-JAL-Ameca,,"{""area_sr"": 0.07269, ""area_km2"": 839, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 29, ""side_estim_deg"": 0.2696, ""elongation_factor"": 2.24}"
5605528,484,14008,Arandas,JAL,,2431905,arandas,MX-JAL-Arandas,,"{""area_sr"": 0.08239, ""area_km2"": 950, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 30.8, ""side_estim_deg"": 0.287, ""elongation_factor"": 2.46}"
5605541,484,14010,"Atemajac de Brizuela",JAL,,3310818,atemajac.brizuela,MX-JAL-AtemajacBrizuela,,"{""area_sr"": 0.03075, ""area_km2"": 356, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 18.9, ""side_estim_deg"": 0.1753, ""elongation_factor"": 2.34}"
5605544,484,14011,Atengo,JAL,,3316715,atengo,MX-JAL-Atengo,,"{""area_sr"": 0.0381, ""area_km2"": 441, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 21, ""side_estim_deg"": 0.1952, ""elongation_factor"": 1.81}"
5605545,484,14012,Atenguillo,JAL,,2868961,atenguillo,MX-JAL-Atenguillo,,"{""area_sr"": 0.05278, ""area_km2"": 610, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 24.7, ""side_estim_deg"": 0.2297, ""elongation_factor"": 2.77}"
5605558,484,14013,"Atotonilco el Alto",JAL,,2702220,atotonilco.alto,MX-JAL-AtotonilcoAlto,,"{""area_sr"": 0.04425, ""area_km2"": 511, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 22.6, ""side_estim_deg"": 0.2104, ""elongation_factor"": 2.15}"
5605561,484,14014,Atoyac,JAL,,20290431,atoyac,MX-JAL-Atoyac,,"{""area_sr"": 0.03898, ""area_km2"": 452, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 21.2, ""side_estim_deg"": 0.1974, ""elongation_factor"": 2.32}"
5605562,484,14015,"Autlán de Navarro",JAL,,2589446,autlan.navarro,MX-JAL-AutlanNavarro,,"{""area_sr"": 0.06077, ""area_km2"": 705, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 26.6, ""side_estim_deg"": 0.2465, ""elongation_factor"": 2.12}"
5605568,484,14016,Ayotlán,JAL,,3310832,ayotlan,MX-JAL-Ayotlan,,"{""area_sr"": 0.03731, ""area_km2"": 431, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 20.8, ""side_estim_deg"": 0.1932, ""elongation_factor"": 2.35}"
5605570,484,14017,Ayutla,JAL,,2875055,ayutla,MX-JAL-Ayutla,,"{""area_sr"": 0.07628, ""area_km2"": 883, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 29.7, ""side_estim_deg"": 0.2762, ""elongation_factor"": 3.13}"
5605592,484,14019,Bolaños,JAL,,2656955,bolanos,MX-JAL-Bolanos,,"{""area_sr"": 0.07571, ""area_km2"": 866, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 29.4, ""side_estim_deg"": 0.2752, ""elongation_factor"": 2.65}"
5605601,484,14020,"Cabo Corrientes",JAL,,13362653,cabo.corrientes,MX-JAL-CaboCorrientes,,"{""area_sr"": 0.1335, ""area_km2"": 1543, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 39.3, ""side_estim_deg"": 0.3654, ""elongation_factor"": 1.93}"
5605623,484,14021,"Casimiro Castillo",JAL,,3310777,casimiro.castillo,MX-JAL-CasimiroCastillo,,"{""area_sr"": 0.04501, ""area_km2"": 523, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 22.9, ""side_estim_deg"": 0.2122, ""elongation_factor"": 2.47}"
5605626,484,14117,"Cañadas de Obregón",JAL,,2943527,canadas.obregon,MX-JAL-CanadasObregon,,"{""area_sr"": 0.02364, ""area_km2"": 272, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 16.5, ""side_estim_deg"": 0.1538, ""elongation_factor"": 3.19}"
5605637,484,14030,Chapala,JAL,,5260647,chapala,MX-JAL-Chapala,,"{""area_sr"": 0.05447, ""area_km2"": 630, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 25.1, ""side_estim_deg"": 0.2334, ""elongation_factor"": 2.16}"
5605655,484,14031,Chimaltitán,JAL,,2963652,chimaltitan,MX-JAL-Chimaltitan,,"{""area_sr"": 0.05719, ""area_km2"": 655, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 25.6, ""side_estim_deg"": 0.2391, ""elongation_factor"": 2.84}"
5605658,484,14032,Chiquilistlán,JAL,,2963900,chiquilistlan,MX-JAL-Chiquilistlan,,"{""area_sr"": 0.02568, ""area_km2"": 297, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 17.2, ""side_estim_deg"": 0.1603, ""elongation_factor"": 2.23}"
5605664,484,14022,Cihuatlán,JAL,,20247379,cihuatlan,MX-JAL-Cihuatlan,,"{""area_sr"": 0.0431, ""area_km2"": 502, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 22.4, ""side_estim_deg"": 0.2076, ""elongation_factor"": 2.89}"
5605678,484,14024,Cocula,JAL,,924387,cocula,MX-JAL-Cocula,,"{""area_sr"": 0.02866, ""area_km2"": 331, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 18.2, ""side_estim_deg"": 0.1693, ""elongation_factor"": 2.74}"
5605683,484,14025,Colotlán,JAL,,20478792,colotlan,MX-JAL-Colotlan,,"{""area_sr"": 0.05671, ""area_km2"": 648, ""fat_deg_m"": 0.0000094, ""side_estim_km"": 25.5, ""side_estim_deg"": 0.2381, ""elongation_factor"": 2.35}"
5605689,484,14026,"Concepción de Buenos Aires",JAL,,3311159,concepcion.buenos.aires,MX-JAL-ConcepcionBuenosAires,,"{""area_sr"": 0.02293, ""area_km2"": 266, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 16.3, ""side_estim_deg"": 0.1514, ""elongation_factor"": 2.63}"
5605725,484,14027,"Cuautitlán de García Barragán",JAL,,3311299,cuautitlan.garcia.barragan,MX-JAL-CuautitlanGarciaBarragan,,"{""area_sr"": 0.11967, ""area_km2"": 1391, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 37.3, ""side_estim_deg"": 0.3459, ""elongation_factor"": 2.39}"
5605728,484,14028,Cuautla,JAL,,3282364,cuautla,MX-JAL-Cuautla,,"{""area_sr"": 0.03605, ""area_km2"": 417, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 20.4, ""side_estim_deg"": 0.1899, ""elongation_factor"": 2.93}"
5605737,484,14029,Cuquío,JAL,,3007619,cuquio,MX-JAL-Cuquio,,"{""area_sr"": 0.05587, ""area_km2"": 643, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 25.4, ""side_estim_deg"": 0.2364, ""elongation_factor"": 2}"
5605741,484,14033,Degollado,JAL,,3310845,degollado,MX-JAL-Degollado,,"{""area_sr"": 0.03693, ""area_km2"": 427, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 20.7, ""side_estim_deg"": 0.1922, ""elongation_factor"": 1.95}"
