osm_id,jurisd_base_id,jurisd_local_id,name,parent_abbrev,abbrev,wikidata_id,lexlabel,isolabel_ext,ddd,info
5605452,484,15001,"Acambay de Ruíz Castañeda",MEX,,759233,acambay.ruiz.castaneda,MX-MEX-AcambayRuizCastaneda,,"{""area_sr"": 0.04104, ""area_km2"": 476, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 21.8, ""side_estim_deg"": 0.2026, ""elongation_factor"": 2.63}"
5605460,484,15002,Acolman,MEX,,1862947,acolman,MX-MEX-Acolman,,"{""area_sr"": 0.00748, ""area_km2"": 87, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 9.3, ""side_estim_deg"": 0.0865, ""elongation_factor"": 2.28}"
5605464,484,15003,Aculco,MEX,,2278207,aculco,MX-MEX-Aculco,,"{""area_sr"": 0.03916, ""area_km2"": 453, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 21.3, ""side_estim_deg"": 0.1979, ""elongation_factor"": 2.61}"
5605493,484,15004,"Almoloya de Alquisiras",MEX,,2429880,almoloya.alquisiras,MX-MEX-AlmoloyaAlquisiras,,"{""area_sr"": 0.01465, ""area_km2"": 171, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 13.1, ""side_estim_deg"": 0.1211, ""elongation_factor"": 2.73}"
5605494,484,15005,"Almoloya de Juárez",MEX,,1962111,almoloya.juarez,MX-MEX-AlmoloyaJuarez,,"{""area_sr"": 0.0413, ""area_km2"": 480, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 21.9, ""side_estim_deg"": 0.2032, ""elongation_factor"": 2.67}"
5605495,484,15006,"Almoloya del Río",MEX,,3409798,almoloya.rio,MX-MEX-AlmoloyaRio,,"{""area_sr"": 0.00079, ""area_km2"": 9, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 3, ""side_estim_deg"": 0.028, ""elongation_factor"": 2.05}"
5605502,484,15007,Amanalco,MEX,,2886226,amanalco,MX-MEX-Amanalco,,"{""area_sr"": 0.0191, ""area_km2"": 222, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 14.9, ""side_estim_deg"": 0.1382, ""elongation_factor"": 1.53}"
5605503,484,15008,Amatepec,MEX,,10973803,amatepec,MX-MEX-Amatepec,,"{""area_sr"": 0.0545, ""area_km2"": 636, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 25.2, ""side_estim_deg"": 0.2334, ""elongation_factor"": 2.88}"
5605508,484,15009,Amecameca,MEX,,93867,amecameca,MX-MEX-Amecameca,,"{""area_sr"": 0.0154, ""area_km2"": 179, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 13.4, ""side_estim_deg"": 0.1241, ""elongation_factor"": 2.26}"
5605518,484,15010,Apaxco,MEX,,228854,apaxco,MX-MEX-Apaxco,,"{""area_sr"": 0.00653, ""area_km2"": 76, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 8.7, ""side_estim_deg"": 0.0808, ""elongation_factor"": 2.17}"
5605543,484,15011,Atenco,MEX,,1784882,atenco,MX-MEX-Atenco,,"{""area_sr"": 0.00754, ""area_km2"": 88, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 9.4, ""side_estim_deg"": 0.0868, ""elongation_factor"": 1.78}"
5605549,484,15012,Atizapán,MEX,,3409383,atizapan,MX-MEX-Atizapan,,"{""area_sr"": 0.00073, ""area_km2"": 9, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 2.9, ""side_estim_deg"": 0.0271, ""elongation_factor"": 1.53}"
5605548,484,15013,"Atizapán de Zaragoza",MEX,,749761,atizapan.zaragoza,MX-MEX-AtizapanZaragoza,,"{""area_sr"": 0.008, ""area_km2"": 93, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 9.6, ""side_estim_deg"": 0.0895, ""elongation_factor"": 2.08}"
5605550,484,15014,Atlacomulco,MEX,,1323910,atlacomulco,MX-MEX-Atlacomulco,,"{""area_sr"": 0.02222, ""area_km2"": 258, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 16.1, ""side_estim_deg"": 0.1491, ""elongation_factor"": 2.57}"
5605554,484,15015,Atlautla,MEX,,2606760,atlautla,MX-MEX-Atlautla,,"{""area_sr"": 0.01439, ""area_km2"": 168, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 13, ""side_estim_deg"": 0.12, ""elongation_factor"": 2.3}"
5605563,484,15016,Axapusco,MEX,,4830200,axapusco,MX-MEX-Axapusco,,"{""area_sr"": 0.0247, ""area_km2"": 287, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 16.9, ""side_estim_deg"": 0.1571, ""elongation_factor"": 3.43}"
5605567,484,15017,Ayapango,MEX,,3308521,ayapango,MX-MEX-Ayapango,,"{""area_sr"": 0.00408, ""area_km2"": 48, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 6.9, ""side_estim_deg"": 0.0639, ""elongation_factor"": 2.1}"
5605607,484,15018,Calimaya,MEX,,3300431,calimaya,MX-MEX-Calimaya,,"{""area_sr"": 0.00884, ""area_km2"": 103, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 10.1, ""side_estim_deg"": 0.094, ""elongation_factor"": 2.97}"
5605616,484,15019,Capulhuac,MEX,,3308583,capulhuac,MX-MEX-Capulhuac,,"{""area_sr"": 0.00185, ""area_km2"": 22, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 4.6, ""side_estim_deg"": 0.043, ""elongation_factor"": 2.17}"
5605635,484,15025,Chalco,MEX,,1646652,chalco,MX-MEX-Chalco,,"{""area_sr"": 0.01935, ""area_km2"": 225, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 15, ""side_estim_deg"": 0.1391, ""elongation_factor"": 2.95}"
5605636,484,15026,"Chapa de Mota",MEX,,2990953,chapa.mota,MX-MEX-ChapaMota,,"{""area_sr"": 0.0252, ""area_km2"": 292, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 17.1, ""side_estim_deg"": 0.1587, ""elongation_factor"": 2.11}"
5605640,484,15027,Chapultepec,MEX,,3844556,chapultepec,MX-MEX-Chapultepec,,"{""area_sr"": 0.00103, ""area_km2"": 12, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 3.5, ""side_estim_deg"": 0.0321, ""elongation_factor"": 2.59}"
5605646,484,15028,Chiautla,MEX,,2630452,chiautla,MX-MEX-Chiautla,,"{""area_sr"": 0.0018, ""area_km2"": 21, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 4.6, ""side_estim_deg"": 0.0424, ""elongation_factor"": 2.43}"
