osm_id,jurisd_base_id,jurisd_local_id,name,parent_abbrev,abbrev,wikidata_id,lexlabel,isolabel_ext,ddd,info
5605463,484,16001,Acuitzio,MIC,,3846405,acuitzio,MX-MIC-Acuitzio,,"{""area_sr"": 0.01517, ""area_km2"": 176, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 13.3, ""side_estim_deg"": 0.1232, ""elongation_factor"": 2.05}"
5605471,484,16002,Aguililla,MIC,,3846395,aguililla,MX-MIC-Aguililla,,"{""area_sr"": 0.11969, ""area_km2"": 1397, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 37.4, ""side_estim_deg"": 0.346, ""elongation_factor"": 2.23}"
5605509,484,16004,Angamacutiro,MIC,,3893298,angamacutiro,MX-MIC-Angamacutiro,,"{""area_sr"": 0.02076, ""area_km2"": 240, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 15.5, ""side_estim_deg"": 0.1441, ""elongation_factor"": 2.18}"
5605510,484,16005,Angangueo,MIC,,27796869,angangueo,MX-MIC-Angangueo,,"{""area_sr"": 0.00662, ""area_km2"": 77, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 8.8, ""side_estim_deg"": 0.0813, ""elongation_factor"": 1.31}"
5605517,484,16006,Apatzingán,MIC,,16488617,apatzingan,MX-MIC-Apatzingan,,"{""area_sr"": 0.14069, ""area_km2"": 1640, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 40.5, ""side_estim_deg"": 0.3751, ""elongation_factor"": 2.3}"
5605521,484,16007,Aporo,MIC,,3892968,aporo,MX-MIC-Aporo,,"{""area_sr"": 0.00503, ""area_km2"": 58, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 7.6, ""side_estim_deg"": 0.0709, ""elongation_factor"": 1.84}"
5605524,484,16008,Aquila,MIC,,3847312,aquila,MX-MIC-Aquila,,"{""area_sr"": 0.19362, ""area_km2"": 2265, ""fat_deg_m"": 0.0000092, ""side_estim_km"": 47.6, ""side_estim_deg"": 0.44, ""elongation_factor"": 2.94}"
5605530,484,16009,Ario,MIC,,4790739,ario,MX-MIC-Ario,,"{""area_sr"": 0.0597, ""area_km2"": 695, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 26.4, ""side_estim_deg"": 0.2443, ""elongation_factor"": 2.34}"
5605537,484,16010,Arteaga,MIC,,3845516,arteaga,MX-MIC-Arteaga,,"{""area_sr"": 0.29359, ""area_km2"": 3434, ""fat_deg_m"": 0.0000092, ""side_estim_km"": 58.6, ""side_estim_deg"": 0.5418, ""elongation_factor"": 2.82}"
5605593,484,16011,Briseñas,MIC,,10741338,brisenas,MX-MIC-Brisenas,,"{""area_sr"": 0.00585, ""area_km2"": 68, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 8.2, ""side_estim_deg"": 0.0765, ""elongation_factor"": 2.62}"
5605596,484,16012,Buenavista,MIC,,4985488,buenavista,MX-MIC-Buenavista,,"{""area_sr"": 0.07923, ""area_km2"": 922, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 30.4, ""side_estim_deg"": 0.2815, ""elongation_factor"": 2.54}"
5605620,484,16013,Carácuaro,MIC,,5784494,caracuaro,MX-MIC-Caracuaro,,"{""area_sr"": 0.07875, ""area_km2"": 918, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 30.3, ""side_estim_deg"": 0.2806, ""elongation_factor"": 2.21}"
5605641,484,16021,Charapan,MIC,,27796855,charapan,MX-MIC-Charapan,,"{""area_sr"": 0.02014, ""area_km2"": 234, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 15.3, ""side_estim_deg"": 0.1419, ""elongation_factor"": 2.05}"
5605643,484,16022,Charo,MIC,,2839370,charo,MX-MIC-Charo,,"{""area_sr"": 0.02783, ""area_km2"": 323, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 18, ""side_estim_deg"": 0.1668, ""elongation_factor"": 2.06}"
