osm_id,jurisd_base_id,jurisd_local_id,name,parent_abbrev,abbrev,wikidata_id,lexlabel,isolabel_ext,ddd,info
5605501,484,17001,Amacuzac,MOR,,17377049,amacuzac,MX-MOR-Amacuzac,,"{""area_sr"": 0.01004, ""area_km2"": 117, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 10.8, ""side_estim_deg"": 0.1002, ""elongation_factor"": 2.54}"
5605553,484,17002,Atlatlahucan,MOR,,17374320,atlatlahucan,MX-MOR-Atlatlahucan,,"{""area_sr"": 0.00681, ""area_km2"": 79, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 8.9, ""side_estim_deg"": 0.0825, ""elongation_factor"": 1.86}"
5605564,484,17003,Axochiapan,MOR,,27796781,axochiapan,MX-MOR-Axochiapan,,"{""area_sr"": 0.01211, ""area_km2"": 142, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 11.9, ""side_estim_deg"": 0.11, ""elongation_factor"": 2.15}"
5605566,484,17004,Ayala,MOR,,17330905,ayala,MX-MOR-Ayala,,"{""area_sr"": 0.0323, ""area_km2"": 377, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 19.4, ""side_estim_deg"": 0.1797, ""elongation_factor"": 2.97}"
5605675,484,17005,"Coatlán del Río",MOR,,2981140,coatlan.rio,MX-MOR-CoatlanRio,,"{""area_sr"": 0.00714, ""area_km2"": 83, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 9.1, ""side_estim_deg"": 0.0845, ""elongation_factor"": 2.74}"
5605727,484,17006,Cuautla,MOR,,12346318,cuautla,MX-MOR-Cuautla,,"{""area_sr"": 0.00833, ""area_km2"": 97, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 9.9, ""side_estim_deg"": 0.0913, ""elongation_factor"": 2.25}"
5605731,484,17007,Cuernavaca,MOR,,5793859,cuernavaca,MX-MOR-Cuernavaca,,"{""area_sr"": 0.01713, ""area_km2"": 200, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 14.1, ""side_estim_deg"": 0.1309, ""elongation_factor"": 2.62}"
5605778,484,17008,"Emiliano Zapata",MOR,,2171553,emiliano.zapata,MX-MOR-EmilianoZapata,,"{""area_sr"": 0.00585, ""area_km2"": 68, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 8.3, ""side_estim_deg"": 0.0765, ""elongation_factor"": 2.21}"
13836805,484,17036,Hueyapan,MOR,,46436626,hueyapan,MX-MOR-Hueyapan,,"{""area_sr"": 0.00165, ""area_km2"": 19, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 4.4, ""side_estim_deg"": 0.0406, ""elongation_factor"": 2.65}"
5605876,484,17009,Huitzilac,MOR,,17634353,huitzilac,MX-MOR-Huitzilac,,"{""area_sr"": 0.01623, ""area_km2"": 189, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 13.8, ""side_estim_deg"": 0.1274, ""elongation_factor"": 1.41}"
5605916,484,17010,Jantetelco,MOR,,17377213,jantetelco,MX-MOR-Jantetelco,,"{""area_sr"": 0.00876, ""area_km2"": 102, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 10.1, ""side_estim_deg"": 0.0936, ""elongation_factor"": 3.11}"
5605933,484,17011,Jiutepec,MOR,,984646,jiutepec,MX-MOR-Jiutepec,,"{""area_sr"": 0.00479, ""area_km2"": 56, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 7.5, ""side_estim_deg"": 0.0692, ""elongation_factor"": 2.29}"
5605936,484,17012,Jojutla,MOR,,980793,jojutla,MX-MOR-Jojutla,,"{""area_sr"": 0.01313, ""area_km2"": 153, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 12.4, ""side_estim_deg"": 0.1146, ""elongation_factor"": 2.53}"
5605937,484,17013,Jonacatepec,MOR,,27796774,jonacatepec,MX-MOR-Jonacatepec,,"{""area_sr"": 0.00774, ""area_km2"": 90, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 9.5, ""side_estim_deg"": 0.0879, ""elongation_factor"": 2.59}"
5606017,484,17014,Mazatepec,MOR,,2652103,mazatepec,MX-MOR-Mazatepec,,"{""area_sr"": 0.00486, ""area_km2"": 57, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 7.5, ""side_estim_deg"": 0.0697, ""elongation_factor"": 3.13}"
5606036,484,17015,Miacatlán,MOR,,3311362,miacatlan,MX-MOR-Miacatlan,,"{""area_sr"": 0.01847, ""area_km2"": 215, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 14.7, ""side_estim_deg"": 0.1359, ""elongation_factor"": 2.08}"
5606114,484,17016,Ocuituco,MOR,,20125127,ocuituco,MX-MOR-Ocuituco,,"{""area_sr"": 0.00742, ""area_km2"": 87, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 9.3, ""side_estim_deg"": 0.0861, ""elongation_factor"": 2.33}"
5606165,484,17017,"Puente de Ixtla",MOR,,6091388,puente.ixtla,MX-MOR-PuenteIxtla,,"{""area_sr"": 0.02547, ""area_km2"": 298, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 17.2, ""side_estim_deg"": 0.1596, ""elongation_factor"": 3.25}"
5606455,484,17018,Temixco,MOR,,20236321,temixco,MX-MOR-Temixco,,"{""area_sr"": 0.00844, ""area_km2"": 98, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 9.9, ""side_estim_deg"": 0.0918, ""elongation_factor"": 3.28}"
5606456,484,17033,Temoac,MOR,,2449002,temoac,MX-MOR-Temoac,,"{""area_sr"": 0.00318, ""area_km2"": 37, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 6.1, ""side_estim_deg"": 0.0564, ""elongation_factor"": 1.84}"
5606470,484,17019,Tepalcingo,MOR,,3310718,tepalcingo,MX-MOR-Tepalcingo,,"{""area_sr"": 0.03155, ""area_km2"": 369, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 19.2, ""side_estim_deg"": 0.1776, ""elongation_factor"": 2.17}"
5606485,484,17020,Tepoztlán,MOR,,20479308,tepoztlan,MX-MOR-Tepoztlan,,"{""area_sr"": 0.02079, ""area_km2"": 242, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 15.6, ""side_estim_deg"": 0.1442, ""elongation_factor"": 1.2}"
5606489,484,17021,Tetecala,MOR,,2651761,tetecala,MX-MOR-Tetecala,,"{""area_sr"": 0.0058, ""area_km2"": 68, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 8.2, ""side_estim_deg"": 0.0761, ""elongation_factor"": 2.48}"
5606490,484,17022,"Tetela del Volcán",MOR,,3848726,tetela.volcan,MX-MOR-TetelaVolcan,,"{""area_sr"": 0.0068, ""area_km2"": 79, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 8.9, ""side_estim_deg"": 0.0825, ""elongation_factor"": 3.29}"
5606522,484,17023,Tlalnepantla,MOR,,20656314,tlalnepantla,MX-MOR-Tlalnepantla,,"{""area_sr"": 0.00926, ""area_km2"": 108, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 10.4, ""side_estim_deg"": 0.0962, ""elongation_factor"": 1.9}"
5606526,484,17024,"Tlaltizapán de Zapata",MOR,,18575096,tlaltizapan.zapata,MX-MOR-TlaltizapanZapata,,"{""area_sr"": 0.02043, ""area_km2"": 238, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 15.4, ""side_estim_deg"": 0.1429, ""elongation_factor"": 3.01}"
5606531,484,17025,Tlaquiltenango,MOR,,2652063,tlaquiltenango,MX-MOR-Tlaquiltenango,,"{""area_sr"": 0.04654, ""area_km2"": 544, ""fat_deg_m"": 0.0000092, ""side_estim_km"": 23.3, ""side_estim_deg"": 0.2157, ""elongation_factor"": 2.57}"
5606534,484,17026,Tlayacapan,MOR,,20264468,tlayacapan,MX-MOR-Tlayacapan,,"{""area_sr"": 0.00491, ""area_km2"": 57, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 7.6, ""side_estim_deg"": 0.07, ""elongation_factor"": 2.09}"
5606551,484,17027,Totolapan,MOR,,2991063,totolapan,MX-MOR-Totolapan,,"{""area_sr"": 0.00515, ""area_km2"": 60, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 7.7, ""side_estim_deg"": 0.0717, ""elongation_factor"": 2.21}"
5606642,484,17028,Xochitepec,MOR,,2301283,xochitepec,MX-MOR-Xochitepec,,"{""area_sr"": 0.00799, ""area_km2"": 93, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 9.7, ""side_estim_deg"": 0.0894, ""elongation_factor"": 1.91}"
5606646,484,17029,Yautepec,MOR,,2300777,yautepec,MX-MOR-Yautepec,,"{""area_sr"": 0.01647, ""area_km2"": 192, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 13.9, ""side_estim_deg"": 0.1283, ""elongation_factor"": 2.68}"
5606647,484,17030,Yecapixtla,MOR,,2732754,yecapixtla,MX-MOR-Yecapixtla,,"{""area_sr"": 0.01515, ""area_km2"": 177, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 13.3, ""side_estim_deg"": 0.1231, ""elongation_factor"": 2.16}"
5606653,484,17031,Zacatepec,MOR,,139255,zacatepec,MX-MOR-Zacatepec,,"{""area_sr"": 0.00226, ""area_km2"": 26, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 5.1, ""side_estim_deg"": 0.0475, ""elongation_factor"": 2.34}"
5606656,484,17032,Zacualpan,MOR,,20236724,zacualpan,MX-MOR-Zacualpan,,"{""area_sr"": 0.00461, ""area_km2"": 54, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 7.3, ""side_estim_deg"": 0.0679, ""elongation_factor"": 2.65}"
