osm_id,jurisd_base_id,jurisd_local_id,name,parent_abbrev,abbrev,wikidata_id,lexlabel,isolabel_ext,ddd,info
5605453,484,18001,Acaponeta,NAY,,27796755,acaponeta,MX-NAY-Acaponeta,,"{""area_sr"": 0.12523, ""area_km2"": 1427, ""fat_deg_m"": 0.0000094, ""side_estim_km"": 37.8, ""side_estim_deg"": 0.3539, ""elongation_factor"": 3.05}"
5605473,484,18002,Ahuacatlán,NAY,,2651609,ahuacatlan,MX-NAY-Ahuacatlan,,"{""area_sr"": 0.04387, ""area_km2"": 505, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 22.5, ""side_estim_deg"": 0.2094, ""elongation_factor"": 2.69}"
5605505,484,18003,"Amatlán de Cañas",NAY,,2651624,amatlan.canas,MX-NAY-AmatlanCanas,,"{""area_sr"": 0.04498, ""area_km2"": 518, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 22.8, ""side_estim_deg"": 0.2121, ""elongation_factor"": 3.35}"
5605580,484,18020,"Bahía de Banderas",NAY,,2651943,bahia.banderas,MX-NAY-BahiaBanderas,,"{""area_sr"": 0.0669, ""area_km2"": 771, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 27.8, ""side_estim_deg"": 0.2587, ""elongation_factor"": 3.04}"
5605688,484,18004,Compostela,NAY,,2651919,compostela,MX-NAY-Compostela,,"{""area_sr"": 0.16353, ""area_km2"": 1881, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 43.4, ""side_estim_deg"": 0.4044, ""elongation_factor"": 2.46}"
5605742,484,18009,"Del Nayar",NAY,,1324427,del.nayar,MX-NAY-DelNayar,,"{""area_sr"": 0.45013, ""area_km2"": 5142, ""fat_deg_m"": 0.0000094, ""side_estim_km"": 71.7, ""side_estim_deg"": 0.6709, ""elongation_factor"": 2.51}"
5605853,484,18005,Huajicori,NAY,,2651771,huajicori,MX-NAY-Huajicori,,"{""area_sr"": 0.19674, ""area_km2"": 2237, ""fat_deg_m"": 0.0000094, ""side_estim_km"": 47.3, ""side_estim_deg"": 0.4436, ""elongation_factor"": 1.84}"
5605902,484,18006,"Ixtlán del Río",NAY,,151450,ixtlan.rio,MX-NAY-IxtlanRio,,"{""area_sr"": 0.04284, ""area_km2"": 493, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 22.2, ""side_estim_deg"": 0.207, ""elongation_factor"": 2.81}"
5605908,484,18007,Jala,NAY,,20290686,jala,MX-NAY-Jala,,"{""area_sr"": 0.0438, ""area_km2"": 504, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 22.4, ""side_estim_deg"": 0.2093, ""elongation_factor"": 2.47}"
5605967,484,18019,"La Yesca",NAY,,2652057,la.yesca,MX-NAY-LaYesca,,"{""area_sr"": 0.37636, ""area_km2"": 4317, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 65.7, ""side_estim_deg"": 0.6135, ""elongation_factor"": 2.01}"
5606483,484,18017,"Municipio de Tepic",NAY,,2001115,municipio.tepic,MX-NAY-MunicipioTepic,,"{""area_sr"": 0.14293, ""area_km2"": 1638, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 40.5, ""side_estim_deg"": 0.3781, ""elongation_factor"": 1.96}"
7697240,484,18010,Rosamorada,NAY,,668605,rosamorada,MX-NAY-Rosamorada,,"{""area_sr"": 0.16109, ""area_km2"": 1840, ""fat_deg_m"": 0.0000094, ""side_estim_km"": 42.9, ""side_estim_deg"": 0.4014, ""elongation_factor"": 2.3}"
5606198,484,18011,Ruíz,NAY,,1023929,ruiz,MX-NAY-Ruiz,,"{""area_sr"": 0.04553, ""area_km2"": 521, ""fat_deg_m"": 0.0000094, ""side_estim_km"": 22.8, ""side_estim_deg"": 0.2134, ""elongation_factor"": 3.1}"
