osm_id,jurisd_base_id,jurisd_local_id,name,parent_abbrev,abbrev,wikidata_id,lexlabel,isolabel_ext,ddd,info
5605448,484,19001,Abasolo,NLE,,396830,abasolo,MX-NLE-Abasolo,,"{""area_sr"": 0.00422, ""area_km2"": 47, ""fat_deg_m"": 0.0000095, ""side_estim_km"": 6.8, ""side_estim_deg"": 0.065, ""elongation_factor"": 1.3}"
5605469,484,19002,Agualeguas,NLE,,33226675,agualeguas,MX-NLE-Agualeguas,,"{""area_sr"": 0.08865, ""area_km2"": 981, ""fat_deg_m"": 0.0000095, ""side_estim_km"": 31.3, ""side_estim_deg"": 0.2977, ""elongation_factor"": 2.48}"
5605490,484,19004,Allende,NLE,,3849905,allende,MX-NLE-Allende,,"{""area_sr"": 0.01707, ""area_km2"": 190, ""fat_deg_m"": 0.0000095, ""side_estim_km"": 13.8, ""side_estim_deg"": 0.1307, ""elongation_factor"": 1.89}"
5605520,484,19006,Apodaca,NLE,,1782406,apodaca,MX-NLE-Apodaca,,"{""area_sr"": 0.02038, ""area_km2"": 226, ""fat_deg_m"": 0.0000095, ""side_estim_km"": 15, ""side_estim_deg"": 0.1428, ""elongation_factor"": 1.83}"
5605527,484,19007,Aramberri,NLE,,625719,aramberri,MX-NLE-Aramberri,,"{""area_sr"": 0.23898, ""area_km2"": 2689, ""fat_deg_m"": 0.0000094, ""side_estim_km"": 51.9, ""side_estim_deg"": 0.4889, ""elongation_factor"": 1.86}"
5605598,484,19008,Bustamante,NLE,,3850267,bustamante,MX-NLE-Bustamante,,"{""area_sr"": 0.04228, ""area_km2"": 467, ""fat_deg_m"": 0.0000095, ""side_estim_km"": 21.6, ""side_estim_deg"": 0.2056, ""elongation_factor"": 1.66}"
5605603,484,19009,"Cadereyta Jiménez",NLE,,2038325,cadereyta.jimenez,MX-NLE-CadereytaJimenez,,"{""area_sr"": 0.10245, ""area_km2"": 1141, ""fat_deg_m"": 0.0000095, ""side_estim_km"": 33.8, ""side_estim_deg"": 0.3201, ""elongation_factor"": 2.32}"
5605631,484,19011,Cerralvo,NLE,,3845791,cerralvo,MX-NLE-Cerralvo,,"{""area_sr"": 0.09089, ""area_km2"": 1007, ""fat_deg_m"": 0.0000095, ""side_estim_km"": 31.7, ""side_estim_deg"": 0.3015, ""elongation_factor"": 2.26}"
5605656,484,19013,China,NLE,,942154,china,MX-NLE-China,,"{""area_sr"": 0.38294, ""area_km2"": 4266, ""fat_deg_m"": 0.0000095, ""side_estim_km"": 65.3, ""side_estim_deg"": 0.6188, ""elongation_factor"": 2.52}"
5605669,484,19012,"Ciénega de Flores",NLE,,20234950,cienega.flores,MX-NLE-CienegaFlores,,"{""area_sr"": 0.01468, ""area_km2"": 163, ""fat_deg_m"": 0.0000095, ""side_estim_km"": 12.8, ""side_estim_deg"": 0.1212, ""elongation_factor"": 2.28}"
5605745,484,19014,"Doctor Arroyo",NLE,,3849508,doctor.arroyo,MX-NLE-DoctorArroyo,,"{""area_sr"": 0.44793, ""area_km2"": 5053, ""fat_deg_m"": 0.0000094, ""side_estim_km"": 71.1, ""side_estim_deg"": 0.6693, ""elongation_factor"": 2.64}"
5605746,484,19015,"Doctor Coss",NLE,,49953747,doctor.coss,MX-NLE-DoctorCoss,,"{""area_sr"": 0.06498, ""area_km2"": 721, ""fat_deg_m"": 0.0000095, ""side_estim_km"": 26.9, ""side_estim_deg"": 0.2549, ""elongation_factor"": 1.84}"
5605747,484,19016,"Doctor González",NLE,,3849497,doctor.gonzalez,MX-NLE-DoctorGonzalez,,"{""area_sr"": 0.05535, ""area_km2"": 615, ""fat_deg_m"": 0.0000095, ""side_estim_km"": 24.8, ""side_estim_deg"": 0.2353, ""elongation_factor"": 1.66}"
5605761,484,19010,"El Carmen",NLE,,6027733,el.carmen,MX-NLE-ElCarmen,,"{""area_sr"": 0.0094, ""area_km2"": 104, ""fat_deg_m"": 0.0000095, ""side_estim_km"": 10.2, ""side_estim_deg"": 0.097, ""elongation_factor"": 1.56}"
5605798,484,19017,Galeana,NLE,,3849545,galeana,MX-NLE-Galeana,,"{""area_sr"": 0.63089, ""area_km2"": 7068, ""fat_deg_m"": 0.0000094, ""side_estim_km"": 84.1, ""side_estim_deg"": 0.7943, ""elongation_factor"": 1.62}"
5605799,484,19018,García,NLE,,3505240,garcia,MX-NLE-Garcia,,"{""area_sr"": 0.0929, ""area_km2"": 1032, ""fat_deg_m"": 0.0000095, ""side_estim_km"": 32.1, ""side_estim_deg"": 0.3048, ""elongation_factor"": 1.64}"
5605801,484,19020,"General Bravo",NLE,,25479899,general.bravo,MX-NLE-GeneralBravo,,"{""area_sr"": 0.16999, ""area_km2"": 1889, ""fat_deg_m"": 0.0000095, ""side_estim_km"": 43.5, ""side_estim_deg"": 0.4123, ""elongation_factor"": 1.84}"
