osm_id,jurisd_base_id,jurisd_local_id,name,parent_abbrev,abbrev,wikidata_id,lexlabel,isolabel_ext,ddd,info
5999485,484,20001,Abejones,OAX,,284216,abejones,MX-OAX-Abejones,,"{""area_sr"": 0.01075, ""area_km2"": 126, ""fat_deg_m"": 0.0000092, ""side_estim_km"": 11.2, ""side_estim_deg"": 0.1037, ""elongation_factor"": 2.17}"
5999489,484,20002,"Acatlán de Pérez Figueroa",OAX,,405809,acatlan.perez.figueroa,MX-OAX-AcatlanPerezFigueroa,,"{""area_sr"": 0.06453, ""area_km2"": 755, ""fat_deg_m"": 0.0000092, ""side_estim_km"": 27.5, ""side_estim_deg"": 0.254, ""elongation_factor"": 2.82}"
5999501,484,20003,"Asunción Cacalotepec",OAX,,3172045,asuncion.cacalotepec,MX-OAX-AsuncionCacalotepec,,"{""area_sr"": 0.00648, ""area_km2"": 76, ""fat_deg_m"": 0.0000092, ""side_estim_km"": 8.7, ""side_estim_deg"": 0.0805, ""elongation_factor"": 1.46}"
5999502,484,20004,"Asunción Cuyotepeji",OAX,,13362645,asuncion.cuyotepeji,MX-OAX-AsuncionCuyotepeji,,"{""area_sr"": 0.00714, ""area_km2"": 84, ""fat_deg_m"": 0.0000092, ""side_estim_km"": 9.1, ""side_estim_deg"": 0.0845, ""elongation_factor"": 1.79}"
5999503,484,20005,"Asunción Ixtaltepec",OAX,,13362646,asuncion.ixtaltepec,MX-OAX-AsuncionIxtaltepec,,"{""area_sr"": 0.05581, ""area_km2"": 659, ""fat_deg_m"": 0.0000092, ""side_estim_km"": 25.7, ""side_estim_deg"": 0.2362, ""elongation_factor"": 2.75}"
5999504,484,20006,"Asunción Nochixtlán",OAX,,13362647,asuncion.nochixtlan,MX-OAX-AsuncionNochixtlan,,"{""area_sr"": 0.02921, ""area_km2"": 343, ""fat_deg_m"": 0.0000092, ""side_estim_km"": 18.5, ""side_estim_deg"": 0.1709, ""elongation_factor"": 3.87}"
5999505,484,20007,"Asunción Ocotlán",OAX,,3845852,asuncion.ocotlan,MX-OAX-AsuncionOcotlan,,"{""area_sr"": 0.00038, ""area_km2"": 5, ""fat_deg_m"": 0.0000092, ""side_estim_km"": 2.1, ""side_estim_deg"": 0.0196, ""elongation_factor"": 1.26}"
5999506,484,20008,"Asunción Tlacolulita",OAX,,3846570,asuncion.tlacolulita,MX-OAX-AsuncionTlacolulita,,"{""area_sr"": 0.01605, ""area_km2"": 190, ""fat_deg_m"": 0.0000092, ""side_estim_km"": 13.8, ""side_estim_deg"": 0.1267, ""elongation_factor"": 2.77}"
5999509,484,20398,"Ayoquezco de Aldama",OAX,,1755570,ayoquezco.aldama,MX-OAX-AyoquezcoAldama,,"{""area_sr"": 0.00885, ""area_km2"": 104, ""fat_deg_m"": 0.0000092, ""side_estim_km"": 10.2, ""side_estim_deg"": 0.0941, ""elongation_factor"": 1.08}"
5999510,484,20009,Ayotzintepec,OAX,,556236,ayotzintepec,MX-OAX-Ayotzintepec,,"{""area_sr"": 0.01342, ""area_km2"": 158, ""fat_deg_m"": 0.0000092, ""side_estim_km"": 12.6, ""side_estim_deg"": 0.1158, ""elongation_factor"": 2.39}"
5999518,484,20011,Calihualá,OAX,,4576809,calihuala,MX-OAX-Calihuala,,"{""area_sr"": 0.00576, ""area_km2"": 68, ""fat_deg_m"": 0.0000092, ""side_estim_km"": 8.2, ""side_estim_deg"": 0.0759, ""elongation_factor"": 2.09}"
5999520,484,20012,"Candelaria Loxicha",OAX,,3845777,candelaria.loxicha,MX-OAX-CandelariaLoxicha,,"{""area_sr"": 0.01527, ""area_km2"": 181, ""fat_deg_m"": 0.0000092, ""side_estim_km"": 13.5, ""side_estim_deg"": 0.1236, ""elongation_factor"": 2.08}"
5999521,484,20247,"Capulálpam de Méndez",OAX,,49953765,capulalpam.mendez,MX-OAX-CapulalpamMendez,,"{""area_sr"": 0.00316, ""area_km2"": 37, ""fat_deg_m"": 0.0000092, ""side_estim_km"": 6.1, ""side_estim_deg"": 0.0562, ""elongation_factor"": 1.93}"
5999523,484,20025,Chahuites,OAX,,13389886,chahuites,MX-OAX-Chahuites,,"{""area_sr"": 0.00192, ""area_km2"": 23, ""fat_deg_m"": 0.0000092, ""side_estim_km"": 4.8, ""side_estim_deg"": 0.0438, ""elongation_factor"": 1.49}"
5999524,484,20026,"Chalcatongo de Hidalgo",OAX,,993974,chalcatongo.hidalgo,MX-OAX-ChalcatongoHidalgo,,"{""area_sr"": 0.01131, ""area_km2"": 133, ""fat_deg_m"": 0.0000092, ""side_estim_km"": 11.5, ""side_estim_deg"": 0.1064, ""elongation_factor"": 2}"
5999536,484,20027,"Chiquihuitlán de Benito Juárez",OAX,,17266458,chiquihuitlan.benito.juarez,MX-OAX-ChiquihuitlanBenitoJuarez,,"{""area_sr"": 0.00307, ""area_km2"": 36, ""fat_deg_m"": 0.0000092, ""side_estim_km"": 6, ""side_estim_deg"": 0.0554, ""elongation_factor"": 1.14}"
5999538,484,20014,"Ciudad Ixtepec",OAX,,5770638,ciudad.ixtepec,MX-OAX-CiudadIxtepec,,"{""area_sr"": 0.0249, ""area_km2"": 294, ""fat_deg_m"": 0.0000092, ""side_estim_km"": 17.1, ""side_estim_deg"": 0.1578, ""elongation_factor"": 1.26}"
5999539,484,20013,"Ciénega de Zimatlán",OAX,,3845604,cienega.zimatlan,MX-OAX-CienegaZimatlan,,"{""area_sr"": 0.00087, ""area_km2"": 10, ""fat_deg_m"": 0.0000092, ""side_estim_km"": 3.2, ""side_estim_deg"": 0.0295, ""elongation_factor"": 2.44}"
5999541,484,20015,"Coatecas Altas",OAX,,5775702,coatecas.altas,MX-OAX-CoatecasAltas,,"{""area_sr"": 0.0101, ""area_km2"": 119, ""fat_deg_m"": 0.0000092, ""side_estim_km"": 10.9, ""side_estim_deg"": 0.1005, ""elongation_factor"": 2.26}"
5999542,484,20016,"Coicoyán de las Flores",OAX,,5141448,coicoyan.flores,MX-OAX-CoicoyanFlores,,"{""area_sr"": 0.01071, ""area_km2"": 126, ""fat_deg_m"": 0.0000092, ""side_estim_km"": 11.2, ""side_estim_deg"": 0.1035, ""elongation_factor"": 3.17}"
5999544,484,20018,"Concepción Buenavista",OAX,,3846327,concepcion.buenavista,MX-OAX-ConcepcionBuenavista,,"{""area_sr"": 0.01916, ""area_km2"": 225, ""fat_deg_m"": 0.0000092, ""side_estim_km"": 15, ""side_estim_deg"": 0.1384, ""elongation_factor"": 2.59}"
5999545,484,20019,"Concepción Pápalo",OAX,,10862721,concepcion.papalo,MX-OAX-ConcepcionPapalo,,"{""area_sr"": 0.0148, ""area_km2"": 174, ""fat_deg_m"": 0.0000092, ""side_estim_km"": 13.2, ""side_estim_deg"": 0.1217, ""elongation_factor"": 2.11}"
5999546,484,20020,"Constancia del Rosario",OAX,,5163604,constancia.rosario,MX-OAX-ConstanciaRosario,,"{""area_sr"": 0.00485, ""area_km2"": 57, ""fat_deg_m"": 0.0000092, ""side_estim_km"": 7.6, ""side_estim_deg"": 0.0696, ""elongation_factor"": 3.73}"
5999549,484,20021,Cosolapa,OAX,,16491588,cosolapa,MX-OAX-Cosolapa,,"{""area_sr"": 0.0096, ""area_km2"": 112, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 10.6, ""side_estim_deg"": 0.098, ""elongation_factor"": 2.93}"
5999550,484,20022,Cosoltepec,OAX,,3893403,cosoltepec,MX-OAX-Cosoltepec,,"{""area_sr"": 0.00953, ""area_km2"": 112, ""fat_deg_m"": 0.0000092, ""side_estim_km"": 10.6, ""side_estim_deg"": 0.0976, ""elongation_factor"": 2.19}"
5999553,484,20023,"Cuilápam de Guerrero",OAX,,16491727,cuilapam.guerrero,MX-OAX-CuilapamGuerrero,,"{""area_sr"": 0.00423, ""area_km2"": 50, ""fat_deg_m"": 0.0000092, ""side_estim_km"": 7.1, ""side_estim_deg"": 0.065, ""elongation_factor"": 2.4}"
5999554,484,20024,"Cuyamecalco Villa de Zaragoza",OAX,,7930551,cuyamecalco.villa.zaragoza,MX-OAX-CuyamecalcoVillaZaragoza,,"{""area_sr"": 0.00675, ""area_km2"": 79, ""fat_deg_m"": 0.0000092, ""side_estim_km"": 8.9, ""side_estim_deg"": 0.0821, ""elongation_factor"": 1.29}"
5999555,484,20010,"El Barrio de la Soledad",OAX,,949138,el.barrio.la.soledad,MX-OAX-ElBarrioLaSoledad,,"{""area_sr"": 0.02137, ""area_km2"": 252, ""fat_deg_m"": 0.0000092, ""side_estim_km"": 15.9, ""side_estim_deg"": 0.1462, ""elongation_factor"": 2.62}"
5999558,484,20030,"El Espinal",OAX,,4968496,el.espinal,MX-OAX-ElEspinal,,"{""area_sr"": 0.00474, ""area_km2"": 56, ""fat_deg_m"": 0.0000092, ""side_estim_km"": 7.5, ""side_estim_deg"": 0.0689, ""elongation_factor"": 2.51}"
5999560,484,20029,"Eloxochitlán de Flores Magón",OAX,,2651860,eloxochitlan.flores.magon,MX-OAX-EloxochitlanFloresMagon,,"{""area_sr"": 0.00308, ""area_km2"": 36, ""fat_deg_m"": 0.0000092, ""side_estim_km"": 6, ""side_estim_deg"": 0.0555, ""elongation_factor"": 2.05}"
5999565,484,20032,"Fresnillo de Trujano",OAX,,4968485,fresnillo.trujano,MX-OAX-FresnilloTrujano,,"{""area_sr"": 0.00523, ""area_km2"": 61, ""fat_deg_m"": 0.0000092, ""side_estim_km"": 7.8, ""side_estim_deg"": 0.0723, ""elongation_factor"": 2.08}"
5999568,484,20033,"Guadalupe Etla",OAX,,1658602,guadalupe.etla,MX-OAX-GuadalupeEtla,,"{""area_sr"": 0.00036, ""area_km2"": 4, ""fat_deg_m"": 0.0000092, ""side_estim_km"": 2.1, ""side_estim_deg"": 0.0191, ""elongation_factor"": 3.12}"
5999569,484,20034,"Guadalupe de Ramírez",OAX,,4968454,guadalupe.ramirez,MX-OAX-GuadalupeRamirez,,"{""area_sr"": 0.00263, ""area_km2"": 31, ""fat_deg_m"": 0.0000092, ""side_estim_km"": 5.6, ""side_estim_deg"": 0.0512, ""elongation_factor"": 2.47}"
5999570,484,20035,"Guelatao de Juárez",OAX,,17266459,guelatao.juarez,MX-OAX-GuelataoJuarez,,"{""area_sr"": 0.00038, ""area_km2"": 5, ""fat_deg_m"": 0.0000092, ""side_estim_km"": 2.1, ""side_estim_deg"": 0.0196, ""elongation_factor"": 1.74}"
5999571,484,20036,"Guevea de Humboldt",OAX,,4968997,guevea.humboldt,MX-OAX-GueveaHumboldt,,"{""area_sr"": 0.02382, ""area_km2"": 281, ""fat_deg_m"": 0.0000092, ""side_estim_km"": 16.8, ""side_estim_deg"": 0.1543, ""elongation_factor"": 2.26}"
5999572,484,20028,"Heroica Ciudad de Ejutla de Crespo",OAX,,17266451,heroica.ciudad.ejutla.crespo,MX-OAX-HeroicaCiudadEjutlaCrespo,,"{""area_sr"": 0.02689, ""area_km2"": 318, ""fat_deg_m"": 0.0000092, ""side_estim_km"": 17.8, ""side_estim_deg"": 0.164, ""elongation_factor"": 4.46}"
5999573,484,20039,"Heroica Ciudad de Huajuapan de León",OAX,,5903850,heroica.ciudad.huajuapan.leon,MX-OAX-HeroicaCiudadHuajuapanLeon,,"{""area_sr"": 0.02777, ""area_km2"": 326, ""fat_deg_m"": 0.0000092, ""side_estim_km"": 18.1, ""side_estim_deg"": 0.1667, ""elongation_factor"": 3.58}"
5999574,484,20043,"Heroica Ciudad de Juchitán de Zaragoza",OAX,,10972458,heroica.ciudad.juchitan.zaragoza,MX-OAX-HeroicaCiudadJuchitanZaragoza,,"{""area_sr"": 0.07708, ""area_km2"": 911, ""fat_deg_m"": 0.0000092, ""side_estim_km"": 30.2, ""side_estim_deg"": 0.2776, ""elongation_factor"": 3.14}"
5999575,484,20397,"Heroica Ciudad de Tlaxiaco",OAX,,27797776,heroica.ciudad.tlaxiaco,MX-OAX-HeroicaCiudadTlaxiaco,,"{""area_sr"": 0.02944, ""area_km2"": 347, ""fat_deg_m"": 0.0000092, ""side_estim_km"": 18.6, ""side_estim_deg"": 0.1716, ""elongation_factor"": 2.2}"
5999578,484,20040,Huautepec,OAX,,4969046,huautepec,MX-OAX-Huautepec,,"{""area_sr"": 0.00401, ""area_km2"": 47, ""fat_deg_m"": 0.0000092, ""side_estim_km"": 6.9, ""side_estim_deg"": 0.0633, ""elongation_factor"": 1.65}"
5999579,484,20041,"Huautla de Jiménez",OAX,,3888662,huautla.jimenez,MX-OAX-HuautlaJimenez,,"{""area_sr"": 0.01264, ""area_km2"": 148, ""fat_deg_m"": 0.0000092, ""side_estim_km"": 12.2, ""side_estim_deg"": 0.1124, ""elongation_factor"": 2.27}"
5999586,484,20065,"Ixpantepec Nieves",OAX,,3893066,ixpantepec.nieves,MX-OAX-IxpantepecNieves,,"{""area_sr"": 0.00617, ""area_km2"": 73, ""fat_deg_m"": 0.0000092, ""side_estim_km"": 8.5, ""side_estim_deg"": 0.0786, ""elongation_factor"": 2.45}"
5999592,484,20042,"Ixtlán de Juárez",OAX,,17092778,ixtlan.juarez,MX-OAX-IxtlanJuarez,,"{""area_sr"": 0.04784, ""area_km2"": 562, ""fat_deg_m"": 0.0000092, ""side_estim_km"": 23.7, ""side_estim_deg"": 0.2187, ""elongation_factor"": 3.35}"
5999596,484,20017,"La Compañía",OAX,,5962962,la.compania,MX-OAX-LaCompania,,"{""area_sr"": 0.00882, ""area_km2"": 104, ""fat_deg_m"": 0.0000092, ""side_estim_km"": 10.2, ""side_estim_deg"": 0.0939, ""elongation_factor"": 2.26}"
5999602,484,20069,"La Pe",OAX,,3892800,la.pe,MX-OAX-LaPe,,"{""area_sr"": 0.00228, ""area_km2"": 27, ""fat_deg_m"": 0.0000092, ""side_estim_km"": 5.2, ""side_estim_deg"": 0.0477, ""elongation_factor"": 1.79}"
