osm_id,jurisd_base_id,jurisd_local_id,name,parent_abbrev,abbrev,wikidata_id,lexlabel,isolabel_ext,ddd,info
3988533,484,21001,Acajete,PUE,,2984107,acajete,MX-PUE-Acajete,,"{""area_sr"": 0.01519, ""area_km2"": 177, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 13.3, ""side_estim_deg"": 0.1232, ""elongation_factor"": 2.56}"
5570732,484,21002,Acateno,PUE,,1998759,acateno,MX-PUE-Acateno,,"{""area_sr"": 0.01574, ""area_km2"": 182, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 13.5, ""side_estim_deg"": 0.1255, ""elongation_factor"": 2.28}"
6037571,484,21003,Acatlán,PUE,,9035926,acatlan,MX-PUE-Acatlan,,"{""area_sr"": 0.05196, ""area_km2"": 609, ""fat_deg_m"": 0.0000092, ""side_estim_km"": 24.7, ""side_estim_deg"": 0.228, ""elongation_factor"": 3.93}"
3988541,484,21004,Acatzingo,PUE,,1998719,acatzingo,MX-PUE-Acatzingo,,"{""area_sr"": 0.01206, ""area_km2"": 141, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 11.9, ""side_estim_deg"": 0.1098, ""elongation_factor"": 2.56}"
6037574,484,21005,Acteopan,PUE,,1998829,acteopan,MX-PUE-Acteopan,,"{""area_sr"": 0.00644, ""area_km2"": 75, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 8.7, ""side_estim_deg"": 0.0802, ""elongation_factor"": 2.22}"
6037580,484,21006,Ahuacatlán,PUE,,2466062,ahuacatlan,MX-PUE-Ahuacatlan,,"{""area_sr"": 0.00789, ""area_km2"": 91, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 9.6, ""side_estim_deg"": 0.0888, ""elongation_factor"": 2.04}"
6037581,484,21007,Ahuatlán,PUE,,1998734,ahuatlan,MX-PUE-Ahuatlan,,"{""area_sr"": 0.01584, ""area_km2"": 185, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 13.6, ""side_estim_deg"": 0.1258, ""elongation_factor"": 2.4}"
6037582,484,21008,Ahuazotepec,PUE,,2984709,ahuazotepec,MX-PUE-Ahuazotepec,,"{""area_sr"": 0.00524, ""area_km2"": 61, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 7.8, ""side_estim_deg"": 0.0724, ""elongation_factor"": 1.92}"
6037583,484,21009,Ahuehuetitla,PUE,,1998679,ahuehuetitla,MX-PUE-Ahuehuetitla,,"{""area_sr"": 0.00617, ""area_km2"": 72, ""fat_deg_m"": 0.0000092, ""side_estim_km"": 8.5, ""side_estim_deg"": 0.0786, ""elongation_factor"": 2.22}"
6037584,484,21010,Ajalpan,PUE,,4699520,ajalpan,MX-PUE-Ajalpan,,"{""area_sr"": 0.03368, ""area_km2"": 394, ""fat_deg_m"": 0.0000092, ""side_estim_km"": 19.8, ""side_estim_deg"": 0.1835, ""elongation_factor"": 2.81}"
6037585,484,21011,"Albino Zertuche",PUE,,1998869,albino.zertuche,MX-PUE-AlbinoZertuche,,"{""area_sr"": 0.00677, ""area_km2"": 79, ""fat_deg_m"": 0.0000092, ""side_estim_km"": 8.9, ""side_estim_deg"": 0.0823, ""elongation_factor"": 2.85}"
4040284,484,21012,Aljojuca,PUE,,3846302,aljojuca,MX-PUE-Aljojuca,,"{""area_sr"": 0.00449, ""area_km2"": 52, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 7.2, ""side_estim_deg"": 0.067, ""elongation_factor"": 2.05}"
6037587,484,21013,Altepexi,PUE,,24832,altepexi,MX-PUE-Altepexi,,"{""area_sr"": 0.00403, ""area_km2"": 47, ""fat_deg_m"": 0.0000092, ""side_estim_km"": 6.9, ""side_estim_deg"": 0.0635, ""elongation_factor"": 2.03}"
6037593,484,21014,Amixtlán,PUE,,2001208,amixtlan,MX-PUE-Amixtlan,,"{""area_sr"": 0.00384, ""area_km2"": 45, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 6.7, ""side_estim_deg"": 0.062, ""elongation_factor"": 1.84}"
3988477,484,21015,Amozoc,PUE,,4748021,amozoc,MX-PUE-Amozoc,,"{""area_sr"": 0.01159, ""area_km2"": 135, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 11.6, ""side_estim_deg"": 0.1077, ""elongation_factor"": 2.41}"
6037597,484,21016,Aquixtla,PUE,,1998668,aquixtla,MX-PUE-Aquixtla,,"{""area_sr"": 0.01438, ""area_km2"": 167, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 12.9, ""side_estim_deg"": 0.1199, ""elongation_factor"": 2.34}"
6037599,484,21017,Atempan,PUE,,3893117,atempan,MX-PUE-Atempan,,"{""area_sr"": 0.00415, ""area_km2"": 48, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 6.9, ""side_estim_deg"": 0.0644, ""elongation_factor"": 1.95}"
6037600,484,21018,Atexcal,PUE,,2001136,atexcal,MX-PUE-Atexcal,,"{""area_sr"": 0.02835, ""area_km2"": 332, ""fat_deg_m"": 0.0000092, ""side_estim_km"": 18.2, ""side_estim_deg"": 0.1684, ""elongation_factor"": 1.87}"
