osm_id,jurisd_base_id,jurisd_local_id,name,parent_abbrev,abbrev,wikidata_id,lexlabel,isolabel_ext,ddd,info
5605506,484,22001,"Amealco de Bonfil",QUE,,10732549,amealco.bonfil,MX-QUE-AmealcoBonfil,,"{""area_sr"": 0.06164, ""area_km2"": 713, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 26.7, ""side_estim_deg"": 0.2483, ""elongation_factor"": 2.45}"
5605535,484,22003,"Arroyo Seco",QUE,,3848908,arroyo.seco,MX-QUE-ArroyoSeco,,"{""area_sr"": 0.06377, ""area_km2"": 732, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 27.1, ""side_estim_deg"": 0.2525, ""elongation_factor"": 2.13}"
5605604,484,22004,"Cadereyta de Montes",QUE,,3849678,cadereyta.montes,MX-QUE-CadereytaMontes,,"{""area_sr"": 0.11689, ""area_km2"": 1347, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 36.7, ""side_estim_deg"": 0.3419, ""elongation_factor"": 2.65}"
5605684,484,22005,Colón,QUE,,3849570,colon,MX-QUE-Colon,,"{""area_sr"": 0.07028, ""area_km2"": 810, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 28.5, ""side_estim_deg"": 0.2651, ""elongation_factor"": 2.25}"
5605702,484,22006,Corregidora,QUE,,1962054,corregidora,MX-QUE-Corregidora,,"{""area_sr"": 0.02028, ""area_km2"": 234, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 15.3, ""side_estim_deg"": 0.1424, ""elongation_factor"": 1.84}"
5605767,484,22011,"El Marqués",QUE,,2652454,el.marques,MX-QUE-ElMarques,,"{""area_sr"": 0.06482, ""area_km2"": 747, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 27.3, ""side_estim_deg"": 0.2546, ""elongation_factor"": 2.44}"
5605789,484,22007,"Ezequiel Montes",QUE,,5423231,ezequiel.montes,MX-QUE-EzequielMontes,,"{""area_sr"": 0.02602, ""area_km2"": 300, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 17.3, ""side_estim_deg"": 0.1613, ""elongation_factor"": 3.08}"
5605874,484,22008,Huimilpan,QUE,,5935108,huimilpan,MX-QUE-Huimilpan,,"{""area_sr"": 0.03359, ""area_km2"": 388, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 19.7, ""side_estim_deg"": 0.1833, ""elongation_factor"": 2.34}"
5605911,484,22009,"Jalpan de Serra",QUE,,5925610,jalpan.serra,MX-QUE-JalpanSerra,,"{""area_sr"": 0.10327, ""area_km2"": 1186, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 34.4, ""side_estim_deg"": 0.3214, ""elongation_factor"": 2.96}"
5605973,484,22010,"Landa de Matamoros",QUE,,2652446,landa.matamoros,MX-QUE-LandaMatamoros,,"{""area_sr"": 0.0626, ""area_km2"": 719, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 26.8, ""side_estim_deg"": 0.2502, ""elongation_factor"": 2.5}"
5606178,484,22014,"Municipio de Querétaro",QUE,,2917451,municipio.queretaro,MX-QUE-MunicipioQueretaro,,"{""area_sr"": 0.05922, ""area_km2"": 683, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 26.1, ""side_estim_deg"": 0.2434, ""elongation_factor"": 2.18}"
5606142,484,22012,"Pedro Escobedo",QUE,,17084425,pedro.escobedo,MX-QUE-PedroEscobedo,,"{""area_sr"": 0.02798, ""area_km2"": 323, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 18, ""side_estim_deg"": 0.1673, ""elongation_factor"": 2.58}"
5606147,484,22013,Peñamiller,QUE,,3845591,penamiller,MX-QUE-Penamiller,,"{""area_sr"": 0.06041, ""area_km2"": 695, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 26.4, ""side_estim_deg"": 0.2458, ""elongation_factor"": 2.18}"
5606152,484,22002,"Pinal de Amoles",QUE,,3844949,pinal.amoles,MX-QUE-PinalAmoles,,"{""area_sr"": 0.06191, ""area_km2"": 712, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 26.7, ""side_estim_deg"": 0.2488, ""elongation_factor"": 2.2}"
5606243,484,22015,"San Joaquín",QUE,,3849478,san.joaquin,MX-QUE-SanJoaquin,,"{""area_sr"": 0.02405, ""area_km2"": 277, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 16.6, ""side_estim_deg"": 0.1551, ""elongation_factor"": 2.95}"
5606251,484,22016,"San Juan del Río",QUE,,3849473,san.juan.rio,MX-QUE-SanJuanRio,,"{""area_sr"": 0.0667, ""area_km2"": 771, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 27.8, ""side_estim_deg"": 0.2583, ""elongation_factor"": 2.5}"
5606487,484,22017,Tequisquiapan,QUE,,5265151,tequisquiapan,MX-QUE-Tequisquiapan,,"{""area_sr"": 0.03202, ""area_km2"": 370, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 19.2, ""side_estim_deg"": 0.1789, ""elongation_factor"": 2.27}"
5606539,484,22018,Tolimán,QUE,,3849710,toliman,MX-QUE-Toliman,,"{""area_sr"": 0.0591, ""area_km2"": 681, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 26.1, ""side_estim_deg"": 0.2431, ""elongation_factor"": 2.14}"
