osm_id,jurisd_base_id,jurisd_local_id,name,parent_abbrev,abbrev,wikidata_id,lexlabel,isolabel_ext,ddd,info
5961441,484,23010,Bacalar,ROO,,1709178,bacalar,MX-ROO-Bacalar,,"{""area_sr"": 0.51974, ""area_km2"": 6059, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 77.8, ""side_estim_deg"": 0.7209, ""elongation_factor"": 2.4}"
5961443,484,23005,"Benito Juárez",ROO,,2279198,benito.juarez,MX-ROO-BenitoJuarez,,"{""area_sr"": 0.08099, ""area_km2"": 932, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 30.5, ""side_estim_deg"": 0.2846, ""elongation_factor"": 1.21}"
5961471,484,23001,Cozumel,ROO,,26810461,cozumel,MX-ROO-Cozumel,,"{""area_sr"": 0.04225, ""area_km2"": 488, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 22.1, ""side_estim_deg"": 0.2055, ""elongation_factor"": 3.06}"
5961487,484,23002,"Felipe Carrillo Puerto",ROO,,1660454,felipe.carrillo.puerto,MX-ROO-FelipeCarrilloPuerto,,"{""area_sr"": 1.12066, ""area_km2"": 13009, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 114.1, ""side_estim_deg"": 1.0586, ""elongation_factor"": 2.78}"
5961506,484,23006,"José María Morelos",ROO,,285499,jose.maria.morelos,MX-ROO-JoseMariaMorelos,,"{""area_sr"": 0.4124, ""area_km2"": 4788, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 69.2, ""side_estim_deg"": 0.6422, ""elongation_factor"": 2.44}"
5961512,484,23007,"Lázaro Cárdenas",ROO,,1660184,lazaro.cardenas,MX-ROO-LazaroCardenas,,"{""area_sr"": 0.31638, ""area_km2"": 3640, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 60.3, ""side_estim_deg"": 0.5625, ""elongation_factor"": 2.85}"
5961497,484,23003,"Municipio de Isla Mujeres",ROO,,927815,municipio.isla.mujeres,MX-ROO-MunicipioIslaMujeres,,"{""area_sr"": 0.07634, ""area_km2"": 877, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 29.6, ""side_estim_deg"": 0.2763, ""elongation_factor"": 3.88}"
5961525,484,23004,"Othón P. Blanco",ROO,,1709166,othon.p.blanco,MX-ROO-OthonPBlanco,,"{""area_sr"": 0.85084, ""area_km2"": 9945, ""fat_deg_m"": 0.0000092, ""side_estim_km"": 99.7, ""side_estim_deg"": 0.9224, ""elongation_factor"": 3.28}"
13006906,484,23011,"Puerto Morelos",ROO,,21451666,puerto.morelos,MX-ROO-PuertoMorelos,,"{""area_sr"": 0.09045, ""area_km2"": 1042, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 32.3, ""side_estim_deg"": 0.3008, ""elongation_factor"": 1.81}"
5961541,484,23008,Solidaridad,ROO,,677463,solidaridad,MX-ROO-Solidaridad,,"{""area_sr"": 0.1747, ""area_km2"": 2017, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 44.9, ""side_estim_deg"": 0.418, ""elongation_factor"": 2.89}"
5961574,484,23009,Tulum,ROO,,1709171,tulum,MX-ROO-Tulum,,"{""area_sr"": 0.17737, ""area_km2"": 2051, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 45.3, ""side_estim_deg"": 0.4212, ""elongation_factor"": 2.64}"
