osm_id,jurisd_base_id,jurisd_local_id,name,parent_abbrev,abbrev,wikidata_id,lexlabel,isolabel_ext,ddd,info
5605472,484,25001,Ahome,SIN,,2015779,ahome,MX-SIN-Ahome,,"{""area_sr"": 0.35958, ""area_km2"": 3992, ""fat_deg_m"": 0.0000095, ""side_estim_km"": 63.2, ""side_estim_deg"": 0.5997, ""elongation_factor"": 2.06}"
5605511,484,25002,Angostura,SIN,,2038545,angostura,MX-SIN-Angostura,,"{""area_sr"": 0.17006, ""area_km2"": 1900, ""fat_deg_m"": 0.0000095, ""side_estim_km"": 43.6, ""side_estim_deg"": 0.4124, ""elongation_factor"": 2.06}"
5605578,484,25003,Badiraguato,SIN,,13583603,badiraguato,MX-SIN-Badiraguato,,"{""area_sr"": 0.43456, ""area_km2"": 4836, ""fat_deg_m"": 0.0000095, ""side_estim_km"": 69.5, ""side_estim_deg"": 0.6592, ""elongation_factor"": 2.4}"
5605659,484,25007,Choix,SIN,,2450344,choix,MX-SIN-Choix,,"{""area_sr"": 0.29148, ""area_km2"": 3215, ""fat_deg_m"": 0.0000095, ""side_estim_km"": 56.7, ""side_estim_deg"": 0.5399, ""elongation_factor"": 2.61}"
5605691,484,25004,Concordia,SIN,,5259727,concordia,MX-SIN-Concordia,,"{""area_sr"": 0.19147, ""area_km2"": 2167, ""fat_deg_m"": 0.0000094, ""side_estim_km"": 46.6, ""side_estim_deg"": 0.4376, ""elongation_factor"": 2.48}"
5605704,484,25005,Cosalá,SIN,,1821482,cosala,MX-SIN-Cosala,,"{""area_sr"": 0.19345, ""area_km2"": 2172, ""fat_deg_m"": 0.0000094, ""side_estim_km"": 46.6, ""side_estim_deg"": 0.4398, ""elongation_factor"": 1.9}"
5605735,484,25006,Culiacán,SIN,,2485095,culiacan,MX-SIN-Culiacan,,"{""area_sr"": 0.53583, ""area_km2"": 6008, ""fat_deg_m"": 0.0000094, ""side_estim_km"": 77.5, ""side_estim_deg"": 0.732, ""elongation_factor"": 4.09}"
5605762,484,25010,"El Fuerte",SIN,,2323234,el.fuerte,MX-SIN-ElFuerte,,"{""area_sr"": 0.37674, ""area_km2"": 4170, ""fat_deg_m"": 0.0000095, ""side_estim_km"": 64.6, ""side_estim_deg"": 0.6138, ""elongation_factor"": 2.45}"
5605775,484,25008,Elota,SIN,,11077460,elota,MX-SIN-Elota,,"{""area_sr"": 0.14361, ""area_km2"": 1618, ""fat_deg_m"": 0.0000094, ""side_estim_km"": 40.2, ""side_estim_deg"": 0.379, ""elongation_factor"": 2.8}"
5605786,484,25009,Escuinapa,SIN,,1367437,escuinapa,MX-SIN-Escuinapa,,"{""area_sr"": 0.13673, ""area_km2"": 1556, ""fat_deg_m"": 0.0000094, ""side_estim_km"": 39.4, ""side_estim_deg"": 0.3698, ""elongation_factor"": 2.26}"
5605829,484,25011,Guasave,SIN,,2652343,guasave,MX-SIN-Guasave,,"{""area_sr"": 0.26476, ""area_km2"": 2948, ""fat_deg_m"": 0.0000095, ""side_estim_km"": 54.3, ""side_estim_deg"": 0.5145, ""elongation_factor"": 2.17}"
5606018,484,25012,Mazatlán,SIN,,2652458,mazatlan,MX-SIN-Mazatlan,,"{""area_sr"": 0.22384, ""area_km2"": 2533, ""fat_deg_m"": 0.0000094, ""side_estim_km"": 50.3, ""side_estim_deg"": 0.4731, ""elongation_factor"": 2.92}"
5606052,484,25013,Mocorito,SIN,,2288836,mocorito,MX-SIN-Mocorito,,"{""area_sr"": 0.25116, ""area_km2"": 2800, ""fat_deg_m"": 0.0000095, ""side_estim_km"": 52.9, ""side_estim_deg"": 0.5012, ""elongation_factor"": 2.84}"
5606394,484,25017,"Municipio de Sinaloa",SIN,,3501179,municipio.sinaloa,MX-SIN-MunicipioSinaloa,,"{""area_sr"": 0.57016, ""area_km2"": 6326, ""fat_deg_m"": 0.0000095, ""side_estim_km"": 79.5, ""side_estim_deg"": 0.7551, ""elongation_factor"": 2.32}"
5606083,484,25018,Navolato,SIN,,2652478,navolato,MX-SIN-Navolato,,"{""area_sr"": 0.18615, ""area_km2"": 2086, ""fat_deg_m"": 0.0000094, ""side_estim_km"": 45.7, ""side_estim_deg"": 0.4314, ""elongation_factor"": 3.5}"
5606197,484,25014,Rosario,SIN,,2287675,rosario,MX-SIN-Rosario,,"{""area_sr"": 0.23218, ""area_km2"": 2635, ""fat_deg_m"": 0.0000094, ""side_estim_km"": 51.3, ""side_estim_deg"": 0.4819, ""elongation_factor"": 2.65}"
5606211,484,25015,"Salvador Alvarado",SIN,,2302635,salvador.alvarado,MX-SIN-SalvadorAlvarado,,"{""area_sr"": 0.06995, ""area_km2"": 780, ""fat_deg_m"": 0.0000095, ""side_estim_km"": 27.9, ""side_estim_deg"": 0.2645, ""elongation_factor"": 3.42}"
5606241,484,25016,"San Ignacio",SIN,,2592307,san.ignacio,MX-SIN-SanIgnacio,,"{""area_sr"": 0.44963, ""area_km2"": 5069, ""fat_deg_m"": 0.0000094, ""side_estim_km"": 71.2, ""side_estim_deg"": 0.6705, ""elongation_factor"": 2.19}"
