osm_id,jurisd_base_id,jurisd_local_id,name,parent_abbrev,abbrev,wikidata_id,lexlabel,isolabel_ext,ddd,info
5605480,484,24001,Ahualulco,SLP,,27797989,ahualulco,MX-SLP-Ahualulco,,"{""area_sr"": 0.06703, ""area_km2"": 764, ""fat_deg_m"": 0.0000094, ""side_estim_km"": 27.6, ""side_estim_deg"": 0.2589, ""elongation_factor"": 2.68}"
5605485,484,24002,Alaquines,SLP,,5662309,alaquines,MX-SLP-Alaquines,,"{""area_sr"": 0.05131, ""area_km2"": 586, ""fat_deg_m"": 0.0000094, ""side_estim_km"": 24.2, ""side_estim_deg"": 0.2265, ""elongation_factor"": 3.13}"
5605526,484,24003,Aquismón,SLP,,16488640,aquismon,MX-SLP-Aquismon,,"{""area_sr"": 0.06927, ""area_km2"": 794, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 28.2, ""side_estim_deg"": 0.2632, ""elongation_factor"": 2.76}"
5605533,484,24004,"Armadillo de los Infante",SLP,,3311902,armadillo.infante,MX-SLP-ArmadilloInfante,,"{""area_sr"": 0.05462, ""area_km2"": 623, ""fat_deg_m"": 0.0000094, ""side_estim_km"": 25, ""side_estim_deg"": 0.2337, ""elongation_factor"": 2.85}"
5605565,484,24053,"Axtla de Terrazas",SLP,,8210643,axtla.terrazas,MX-SLP-AxtlaTerrazas,,"{""area_sr"": 0.01666, ""area_km2"": 191, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 13.8, ""side_estim_deg"": 0.1291, ""elongation_factor"": 2.22}"
5605625,484,24006,Catorce,SLP,,2450358,catorce,MX-SLP-Catorce,,"{""area_sr"": 0.17212, ""area_km2"": 1945, ""fat_deg_m"": 0.0000094, ""side_estim_km"": 44.1, ""side_estim_deg"": 0.4149, ""elongation_factor"": 1.93}"
5605628,484,24007,Cedral,SLP,,3049785,cedral,MX-SLP-Cedral,,"{""area_sr"": 0.10371, ""area_km2"": 1169, ""fat_deg_m"": 0.0000094, ""side_estim_km"": 34.2, ""side_estim_deg"": 0.322, ""elongation_factor"": 2.03}"
5605632,484,24008,Cerritos,SLP,,2447563,cerritos,MX-SLP-Cerritos,,"{""area_sr"": 0.08443, ""area_km2"": 962, ""fat_deg_m"": 0.0000094, ""side_estim_km"": 31, ""side_estim_deg"": 0.2906, ""elongation_factor"": 3.21}"
5605633,484,24009,"Cerro de San Pedro",SLP,,3311798,cerro.san.pedro,MX-SLP-CerroSanPedro,,"{""area_sr"": 0.01074, ""area_km2"": 123, ""fat_deg_m"": 0.0000094, ""side_estim_km"": 11.1, ""side_estim_deg"": 0.1036, ""elongation_factor"": 2.22}"
5605642,484,24015,Charcas,SLP,,47542312,charcas,MX-SLP-Charcas,,"{""area_sr"": 0.19026, ""area_km2"": 2157, ""fat_deg_m"": 0.0000094, ""side_estim_km"": 46.4, ""side_estim_deg"": 0.4362, ""elongation_factor"": 2.99}"
5605665,484,24011,"Ciudad Fernández",SLP,,2651364,ciudad.fernandez,MX-SLP-CiudadFernandez,,"{""area_sr"": 0.04536, ""area_km2"": 519, ""fat_deg_m"": 0.0000094, ""side_estim_km"": 22.8, ""side_estim_deg"": 0.213, ""elongation_factor"": 4.53}"
5605667,484,24013,"Ciudad Valles",SLP,,3851070,ciudad.valles,MX-SLP-CiudadValles,,"{""area_sr"": 0.21212, ""area_km2"": 2424, ""fat_deg_m"": 0.0000094, ""side_estim_km"": 49.2, ""side_estim_deg"": 0.4606, ""elongation_factor"": 2.17}"
5605668,484,24010,"Ciudad del Maíz",SLP,,3311860,ciudad.maiz,MX-SLP-CiudadMaiz,,"{""area_sr"": 0.27637, ""area_km2"": 3150, ""fat_deg_m"": 0.0000094, ""side_estim_km"": 56.1, ""side_estim_deg"": 0.5257, ""elongation_factor"": 1.85}"
5605707,484,24014,Coxcatlán,SLP,,387677,coxcatlan,MX-SLP-Coxcatlan,,"{""area_sr"": 0.00793, ""area_km2"": 91, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 9.5, ""side_estim_deg"": 0.089, ""elongation_factor"": 1.94}"
5605740,484,24005,Cárdenas,SLP,,2991521,cardenas,MX-SLP-Cardenas,,"{""area_sr"": 0.03415, ""area_km2"": 390, ""fat_deg_m"": 0.0000094, ""side_estim_km"": 19.8, ""side_estim_deg"": 0.1848, ""elongation_factor"": 2.58}"
5605768,484,24058,"El Naranjo",SLP,,3849143,el.naranjo,MX-SLP-ElNaranjo,,"{""area_sr"": 0.07207, ""area_km2"": 821, ""fat_deg_m"": 0.0000094, ""side_estim_km"": 28.7, ""side_estim_deg"": 0.2685, ""elongation_factor"": 2.86}"
5605821,484,24017,Guadalcázar,SLP,,10762837,guadalcazar,MX-SLP-Guadalcazar,,"{""area_sr"": 0.32956, ""area_km2"": 3745, ""fat_deg_m"": 0.0000094, ""side_estim_km"": 61.2, ""side_estim_deg"": 0.5741, ""elongation_factor"": 2.14}"
5605865,484,24018,Huehuetlán,SLP,,3311807,huehuetlan,MX-SLP-Huehuetlan,,"{""area_sr"": 0.00623, ""area_km2"": 71, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 8.5, ""side_estim_deg"": 0.0789, ""elongation_factor"": 1.83}"
5605970,484,24019,Lagunillas,SLP,,3846870,lagunillas,MX-SLP-Lagunillas,,"{""area_sr"": 0.04671, ""area_km2"": 536, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 23.1, ""side_estim_deg"": 0.2161, ""elongation_factor"": 2.29}"
5606013,484,24020,Matehuala,SLP,,20260131,matehuala,MX-SLP-Matehuala,,"{""area_sr"": 0.11513, ""area_km2"": 1302, ""fat_deg_m"": 0.0000094, ""side_estim_km"": 36.1, ""side_estim_deg"": 0.3393, ""elongation_factor"": 2.61}"
5606014,484,24057,Matlapa,SLP,,1192820,matlapa,MX-SLP-Matlapa,,"{""area_sr"": 0.0102, ""area_km2"": 117, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 10.8, ""side_estim_deg"": 0.101, ""elongation_factor"": 2.28}"
5606030,484,24021,"Mexquitic de Carmona",SLP,,3849201,mexquitic.carmona,MX-SLP-MexquiticCarmona,,"{""area_sr"": 0.07804, ""area_km2"": 891, ""fat_deg_m"": 0.0000094, ""side_estim_km"": 29.8, ""side_estim_deg"": 0.2794, ""elongation_factor"": 1.83}"
5606053,484,24022,Moctezuma,SLP,,3849472,moctezuma,MX-SLP-Moctezuma,,"{""area_sr"": 0.11354, ""area_km2"": 1292, ""fat_deg_m"": 0.0000094, ""side_estim_km"": 35.9, ""side_estim_deg"": 0.3369, ""elongation_factor"": 2.94}"
5606256,484,24028,"Municipio de San Luis Potosí",SLP,,20260134,municipio.san.luis.potosi,MX-SLP-MunicipioSanLuisPotosi,,"{""area_sr"": 0.1297, ""area_km2"": 1480, ""fat_deg_m"": 0.0000094, ""side_estim_km"": 38.5, ""side_estim_deg"": 0.3601, ""elongation_factor"": 3.24}"
5606186,484,24023,Rayón,SLP,,6031186,rayon,MX-SLP-Rayon,,"{""area_sr"": 0.06869, ""area_km2"": 786, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 28, ""side_estim_deg"": 0.2621, ""elongation_factor"": 2.12}"
5606189,484,24024,Rioverde,SLP,,25479901,rioverde,MX-SLP-Rioverde,,"{""area_sr"": 0.26788, ""area_km2"": 3064, ""fat_deg_m"": 0.0000094, ""side_estim_km"": 55.4, ""side_estim_deg"": 0.5176, ""elongation_factor"": 3.47}"
5606209,484,24025,Salinas,SLP,,11703483,salinas,MX-SLP-Salinas,,"{""area_sr"": 0.15214, ""area_km2"": 1730, ""fat_deg_m"": 0.0000094, ""side_estim_km"": 41.6, ""side_estim_deg"": 0.39, ""elongation_factor"": 2.91}"
5606217,484,24026,"San Antonio",SLP,,3849694,san.antonio,MX-SLP-SanAntonio,,"{""area_sr"": 0.00826, ""area_km2"": 95, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 9.7, ""side_estim_deg"": 0.0909, ""elongation_factor"": 2.46}"
5606223,484,24027,"San Ciro de Acosta",SLP,,3846966,san.ciro.acosta,MX-SLP-SanCiroAcosta,,"{""area_sr"": 0.05574, ""area_km2"": 639, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 25.3, ""side_estim_deg"": 0.2361, ""elongation_factor"": 2.43}"
5606262,484,24029,"San Martín Chalchicuautla",SLP,,3846666,san.martin.chalchicuautla,MX-SLP-SanMartinChalchicuautla,,"{""area_sr"": 0.03598, ""area_km2"": 413, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 20.3, ""side_estim_deg"": 0.1897, ""elongation_factor"": 3.24}"
5606271,484,24030,"San Nicolás Tolentino",SLP,,2879532,san.nicolas.tolentino,MX-SLP-SanNicolasTolentino,,"{""area_sr"": 0.06062, ""area_km2"": 692, ""fat_deg_m"": 0.0000094, ""side_estim_km"": 26.3, ""side_estim_deg"": 0.2462, ""elongation_factor"": 2.06}"
5606283,484,24034,"San Vicente Tancuayalab",SLP,,9073753,san.vicente.tancuayalab,MX-SLP-SanVicenteTancuayalab,,"{""area_sr"": 0.0453, ""area_km2"": 519, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 22.8, ""side_estim_deg"": 0.2128, ""elongation_factor"": 2.4}"
5606288,484,24031,"Santa Catarina",SLP,,9044344,santa.catarina,MX-SLP-SantaCatarina,,"{""area_sr"": 0.05592, ""area_km2"": 641, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 25.3, ""side_estim_deg"": 0.2365, ""elongation_factor"": 2.2}"
5606308,484,24032,"Santa María del Río",SLP,,3846862,santa.maria.rio,MX-SLP-SantaMariaRio,,"{""area_sr"": 0.14853, ""area_km2"": 1701, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 41.2, ""side_estim_deg"": 0.3854, ""elongation_factor"": 2.73}"
5606350,484,24033,"Santo Domingo",SLP,,7420504,santo.domingo,MX-SLP-SantoDomingo,,"{""area_sr"": 0.38171, ""area_km2"": 4323, ""fat_deg_m"": 0.0000094, ""side_estim_km"": 65.7, ""side_estim_deg"": 0.6178, ""elongation_factor"": 2.21}"
5606398,484,24035,"Soledad de Graciano Sánchez",SLP,,27797967,soledad.graciano.sanchez,MX-SLP-SoledadGracianoSanchez,,"{""area_sr"": 0.02679, ""area_km2"": 306, ""fat_deg_m"": 0.0000094, ""side_estim_km"": 17.5, ""side_estim_deg"": 0.1637, ""elongation_factor"": 2.95}"
5606418,484,24036,Tamasopo,SLP,,2918715,tamasopo,MX-SLP-Tamasopo,,"{""area_sr"": 0.11569, ""area_km2"": 1323, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 36.4, ""side_estim_deg"": 0.3401, ""elongation_factor"": 2.49}"
5606421,484,24037,Tamazunchale,SLP,,20261184,tamazunchale,MX-SLP-Tamazunchale,,"{""area_sr"": 0.03078, ""area_km2"": 354, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 18.8, ""side_estim_deg"": 0.1754, ""elongation_factor"": 2.75}"
5606422,484,24038,Tampacán,SLP,,3849557,tampacan,MX-SLP-Tampacan,,"{""area_sr"": 0.01632, ""area_km2"": 187, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 13.7, ""side_estim_deg"": 0.1277, ""elongation_factor"": 2.19}"
5606423,484,24039,"Tampamolón Corona",SLP,,7681749,tampamolon.corona,MX-SLP-TampamolonCorona,,"{""area_sr"": 0.0229, ""area_km2"": 263, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 16.2, ""side_estim_deg"": 0.1513, ""elongation_factor"": 1.99}"
5606425,484,24040,Tamuín,SLP,,27797963,tamuin,MX-SLP-Tamuin,,"{""area_sr"": 0.16131, ""area_km2"": 1843, ""fat_deg_m"": 0.0000094, ""side_estim_km"": 42.9, ""side_estim_deg"": 0.4016, ""elongation_factor"": 2.05}"
5606426,484,24012,Tancanhuitz,SLP,,3845656,tancanhuitz,MX-SLP-Tancanhuitz,,"{""area_sr"": 0.01198, ""area_km2"": 137, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 11.7, ""side_estim_deg"": 0.1095, ""elongation_factor"": 2.16}"
5606431,484,24041,Tanlajás,SLP,,3846588,tanlajas,MX-SLP-Tanlajas,,"{""area_sr"": 0.03272, ""area_km2"": 375, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 19.4, ""side_estim_deg"": 0.1809, ""elongation_factor"": 2.48}"
5606432,484,24042,"Tanquián de Escobedo",SLP,,3845846,tanquian.escobedo,MX-SLP-TanquianEscobedo,,"{""area_sr"": 0.01251, ""area_km2"": 143, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 12, ""side_estim_deg"": 0.1118, ""elongation_factor"": 2.22}"
5606503,484,24043,"Tierra Nueva",SLP,,3849521,tierra.nueva,MX-SLP-TierraNueva,,"{""area_sr"": 0.04177, ""area_km2"": 479, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 21.9, ""side_estim_deg"": 0.2044, ""elongation_factor"": 2.68}"
5606589,484,24044,Vanegas,SLP,,10389057,vanegas,MX-SLP-Vanegas,,"{""area_sr"": 0.24862, ""area_km2"": 2800, ""fat_deg_m"": 0.0000094, ""side_estim_km"": 52.9, ""side_estim_deg"": 0.4986, ""elongation_factor"": 1.92}"
5606590,484,24045,Venado,SLP,,20260135,venado,MX-SLP-Venado,,"{""area_sr"": 0.11453, ""area_km2"": 1301, ""fat_deg_m"": 0.0000094, ""side_estim_km"": 36.1, ""side_estim_deg"": 0.3384, ""elongation_factor"": 2.56}"
5606606,484,24051,"Villa Hidalgo",SLP,,964665,villa.hidalgo,MX-SLP-VillaHidalgo,,"{""area_sr"": 0.13147, ""area_km2"": 1496, ""fat_deg_m"": 0.0000094, ""side_estim_km"": 38.7, ""side_estim_deg"": 0.3626, ""elongation_factor"": 3.49}"
5606607,484,24052,"Villa Juárez",SLP,,20260136,villa.juarez,MX-SLP-VillaJuarez,,"{""area_sr"": 0.05609, ""area_km2"": 640, ""fat_deg_m"": 0.0000094, ""side_estim_km"": 25.3, ""side_estim_deg"": 0.2368, ""elongation_factor"": 2.66}"
5606613,484,24056,"Villa de Arista",SLP,,7930541,villa.arista,MX-SLP-VillaArista,,"{""area_sr"": 0.05155, ""area_km2"": 587, ""fat_deg_m"": 0.0000094, ""side_estim_km"": 24.2, ""side_estim_deg"": 0.2271, ""elongation_factor"": 2.29}"
5606614,484,24046,"Villa de Arriaga",SLP,,3846982,villa.arriaga,MX-SLP-VillaArriaga,,"{""area_sr"": 0.07677, ""area_km2"": 878, ""fat_deg_m"": 0.0000094, ""side_estim_km"": 29.6, ""side_estim_deg"": 0.2771, ""elongation_factor"": 2.39}"
5606617,484,24047,"Villa de Guadalupe",SLP,,3846752,villa.guadalupe,MX-SLP-VillaGuadalupe,,"{""area_sr"": 0.1687, ""area_km2"": 1912, ""fat_deg_m"": 0.0000094, ""side_estim_km"": 43.7, ""side_estim_deg"": 0.4107, ""elongation_factor"": 2.44}"
5606619,484,24049,"Villa de Ramos",SLP,,3311886,villa.ramos,MX-SLP-VillaRamos,,"{""area_sr"": 0.2194, ""area_km2"": 2492, ""fat_deg_m"": 0.0000094, ""side_estim_km"": 49.9, ""side_estim_deg"": 0.4684, ""elongation_factor"": 1.97}"
5606620,484,24050,"Villa de Reyes",SLP,,27797959,villa.reyes,MX-SLP-VillaReyes,,"{""area_sr"": 0.08912, ""area_km2"": 1020, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 31.9, ""side_estim_deg"": 0.2985, ""elongation_factor"": 1.32}"
5606622,484,24048,"Villa de la Paz",SLP,,3849488,villa.la.paz,MX-SLP-VillaLaPaz,,"{""area_sr"": 0.01273, ""area_km2"": 144, ""fat_deg_m"": 0.0000094, ""side_estim_km"": 12, ""side_estim_deg"": 0.1128, ""elongation_factor"": 1.88}"
5606636,484,24054,Xilitla,SLP,,20291133,xilitla,MX-SLP-Xilitla,,"{""area_sr"": 0.03472, ""area_km2"": 399, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 20, ""side_estim_deg"": 0.1863, ""elongation_factor"": 2.07}"
5606669,484,24055,Zaragoza,SLP,,10394922,zaragoza,MX-SLP-Zaragoza,,"{""area_sr"": 0.05372, ""area_km2"": 614, ""fat_deg_m"": 0.0000094, ""side_estim_km"": 24.8, ""side_estim_deg"": 0.2318, ""elongation_factor"": 2.41}"
5605753,484,24016,Ébano,SLP,,3849175,ebano,MX-SLP-Ebano,,"{""area_sr"": 0.06118, ""area_km2"": 699, ""fat_deg_m"": 0.0000094, ""side_estim_km"": 26.4, ""side_estim_deg"": 0.2473, ""elongation_factor"": 2.94}"
