osm_id,jurisd_base_id,jurisd_local_id,name,parent_abbrev,abbrev,wikidata_id,lexlabel,isolabel_ext,ddd,info
5605461,484,26001,Aconchi,SON,,2468192,aconchi,MX-SON-Aconchi,,"{""area_sr"": 0.03435, ""area_km2"": 368, ""fat_deg_m"": 0.0000097, ""side_estim_km"": 19.2, ""side_estim_deg"": 0.1853, ""elongation_factor"": 2.4}"
5605499,484,26004,Altar,SON,,4063577,altar,MX-SON-Altar,,"{""area_sr"": 0.42176, ""area_km2"": 4458, ""fat_deg_m"": 0.0000097, ""side_estim_km"": 66.8, ""side_estim_deg"": 0.6494, ""elongation_factor"": 2.44}"
5605531,484,26005,Arivechi,SON,,2600953,arivechi,MX-SON-Arivechi,,"{""area_sr"": 0.06717, ""area_km2"": 726, ""fat_deg_m"": 0.0000096, ""side_estim_km"": 27, ""side_estim_deg"": 0.2592, ""elongation_factor"": 1.85}"
5605532,484,26006,Arizpe,SON,,4791509,arizpe,MX-SON-Arizpe,,"{""area_sr"": 0.28839, ""area_km2"": 3072, ""fat_deg_m"": 0.0000097, ""side_estim_km"": 55.4, ""side_estim_deg"": 0.537, ""elongation_factor"": 2}"
5605546,484,26007,Atil,SON,,4815791,atil,MX-SON-Atil,,"{""area_sr"": 0.02832, ""area_km2"": 300, ""fat_deg_m"": 0.0000097, ""side_estim_km"": 17.3, ""side_estim_deg"": 0.1683, ""elongation_factor"": 2.1}"
5605573,484,26008,Bacadéhuachi,SON,,2607391,bacadehuachi,MX-SON-Bacadehuachi,,"{""area_sr"": 0.09956, ""area_km2"": 1067, ""fat_deg_m"": 0.0000097, ""side_estim_km"": 32.7, ""side_estim_deg"": 0.3155, ""elongation_factor"": 2.56}"
5605574,484,26009,Bacanora,SON,,4838590,bacanora,MX-SON-Bacanora,,"{""area_sr"": 0.10443, ""area_km2"": 1129, ""fat_deg_m"": 0.0000096, ""side_estim_km"": 33.6, ""side_estim_deg"": 0.3232, ""elongation_factor"": 2.86}"
5605575,484,26010,Bacerac,SON,,4838666,bacerac,MX-SON-Bacerac,,"{""area_sr"": 0.12614, ""area_km2"": 1345, ""fat_deg_m"": 0.0000097, ""side_estim_km"": 36.7, ""side_estim_deg"": 0.3552, ""elongation_factor"": 2.5}"
5605577,484,26011,Bacoachi,SON,,4839900,bacoachi,MX-SON-Bacoachi,,"{""area_sr"": 0.11586, ""area_km2"": 1231, ""fat_deg_m"": 0.0000097, ""side_estim_km"": 35.1, ""side_estim_deg"": 0.3404, ""elongation_factor"": 1.72}"
5605582,484,26013,Banámichi,SON,,4857402,banamichi,MX-SON-Banamichi,,"{""area_sr"": 0.0756, ""area_km2"": 808, ""fat_deg_m"": 0.0000097, ""side_estim_km"": 28.4, ""side_estim_deg"": 0.2749, ""elongation_factor"": 2.49}"
