osm_id,jurisd_base_id,jurisd_local_id,name,parent_abbrev,abbrev,wikidata_id,lexlabel,isolabel_ext,ddd,info
5961442,484,27001,Balancán,TAB,,2669506,balancan,MX-TAB-Balancan,,"{""area_sr"": 0.30499, ""area_km2"": 3579, ""fat_deg_m"": 0.0000092, ""side_estim_km"": 59.8, ""side_estim_deg"": 0.5523, ""elongation_factor"": 2.21}"
5961457,484,27003,Centla,TAB,,2991336,centla,MX-TAB-Centla,,"{""area_sr"": 0.23039, ""area_km2"": 2695, ""fat_deg_m"": 0.0000092, ""side_estim_km"": 51.9, ""side_estim_deg"": 0.48, ""elongation_factor"": 2.74}"
5961458,484,27004,Centro,TAB,,2994111,centro,MX-TAB-Centro,,"{""area_sr"": 0.14656, ""area_km2"": 1718, ""fat_deg_m"": 0.0000092, ""side_estim_km"": 41.4, ""side_estim_deg"": 0.3828, ""elongation_factor"": 3.44}"
5961469,484,27005,Comalcalco,TAB,,2177497,comalcalco,MX-TAB-Comalcalco,,"{""area_sr"": 0.06564, ""area_km2"": 768, ""fat_deg_m"": 0.0000092, ""side_estim_km"": 27.7, ""side_estim_deg"": 0.2562, ""elongation_factor"": 2.65}"
5961474,484,27006,Cunduacán,TAB,,966750,cunduacan,MX-TAB-Cunduacan,,"{""area_sr"": 0.0511, ""area_km2"": 599, ""fat_deg_m"": 0.0000092, ""side_estim_km"": 24.5, ""side_estim_deg"": 0.2261, ""elongation_factor"": 2.76}"
5961476,484,27002,Cárdenas,TAB,,2977873,cardenas,MX-TAB-Cardenas,,"{""area_sr"": 0.17491, ""area_km2"": 2048, ""fat_deg_m"": 0.0000092, ""side_estim_km"": 45.3, ""side_estim_deg"": 0.4182, ""elongation_factor"": 2.75}"
5961484,484,27007,"Emiliano Zapata",TAB,,6330764,emiliano.zapata,MX-TAB-EmilianoZapata,,"{""area_sr"": 0.05044, ""area_km2"": 592, ""fat_deg_m"": 0.0000092, ""side_estim_km"": 24.3, ""side_estim_deg"": 0.2246, ""elongation_factor"": 3.85}"
5961495,484,27008,Huimanguillo,TAB,,1962816,huimanguillo,MX-TAB-Huimanguillo,,"{""area_sr"": 0.31685, ""area_km2"": 3718, ""fat_deg_m"": 0.0000092, ""side_estim_km"": 61, ""side_estim_deg"": 0.5629, ""elongation_factor"": 3.08}"
5961500,484,27009,Jalapa,TAB,,2669496,jalapa,MX-TAB-Jalapa,,"{""area_sr"": 0.05047, ""area_km2"": 592, ""fat_deg_m"": 0.0000092, ""side_estim_km"": 24.3, ""side_estim_deg"": 0.2247, ""elongation_factor"": 2.27}"
5961501,484,27010,"Jalpa de Méndez",TAB,,2576133,jalpa.mendez,MX-TAB-JalpaMendez,,"{""area_sr"": 0.03157, ""area_km2"": 370, ""fat_deg_m"": 0.0000092, ""side_estim_km"": 19.2, ""side_estim_deg"": 0.1777, ""elongation_factor"": 2.97}"
5961503,484,27011,Jonuta,TAB,,2669544,jonuta,MX-TAB-Jonuta,,"{""area_sr"": 0.14038, ""area_km2"": 1645, ""fat_deg_m"": 0.0000092, ""side_estim_km"": 40.6, ""side_estim_deg"": 0.3747, ""elongation_factor"": 3.13}"
5961513,484,27012,Macuspana,TAB,,2669505,macuspana,MX-TAB-Macuspana,,"{""area_sr"": 0.20705, ""area_km2"": 2429, ""fat_deg_m"": 0.0000092, ""side_estim_km"": 49.3, ""side_estim_deg"": 0.455, ""elongation_factor"": 2.64}"
5961523,484,27013,Nacajuca,TAB,,2669498,nacajuca,MX-TAB-Nacajuca,,"{""area_sr"": 0.04572, ""area_km2"": 535, ""fat_deg_m"": 0.0000092, ""side_estim_km"": 23.1, ""side_estim_deg"": 0.2138, ""elongation_factor"": 2.22}"
5961529,484,27014,Paraíso,TAB,,2670203,paraiso,MX-TAB-Paraiso,,"{""area_sr"": 0.03486, ""area_km2"": 408, ""fat_deg_m"": 0.0000092, ""side_estim_km"": 20.2, ""side_estim_deg"": 0.1867, ""elongation_factor"": 3.93}"
5961546,484,27015,Tacotalpa,TAB,,2669523,tacotalpa,MX-TAB-Tacotalpa,,"{""area_sr"": 0.06251, ""area_km2"": 735, ""fat_deg_m"": 0.0000092, ""side_estim_km"": 27.1, ""side_estim_deg"": 0.25, ""elongation_factor"": 2.39}"
5961550,484,27016,Teapa,TAB,,2977908,teapa,MX-TAB-Teapa,,"{""area_sr"": 0.03588, ""area_km2"": 421, ""fat_deg_m"": 0.0000092, ""side_estim_km"": 20.5, ""side_estim_deg"": 0.1894, ""elongation_factor"": 2.74}"
5961562,484,27017,Tenosique,TAB,,3850309,tenosique,MX-TAB-Tenosique,,"{""area_sr"": 0.16007, ""area_km2"": 1882, ""fat_deg_m"": 0.0000092, ""side_estim_km"": 43.4, ""side_estim_deg"": 0.4001, ""elongation_factor"": 2.06}"
