osm_id,jurisd_base_id,jurisd_local_id,name,parent_abbrev,abbrev,wikidata_id,lexlabel,isolabel_ext,ddd,info
5605449,484,28001,Abasolo,TAM,,4663551,abasolo,MX-TAM-Abasolo,,"{""area_sr"": 0.16511, ""area_km2"": 1859, ""fat_deg_m"": 0.0000094, ""side_estim_km"": 43.1, ""side_estim_deg"": 0.4063, ""elongation_factor"": 2.33}"
5605487,484,28002,Aldama,TAM,,1999574,aldama,MX-TAM-Aldama,,"{""area_sr"": 0.3364, ""area_km2"": 3819, ""fat_deg_m"": 0.0000094, ""side_estim_km"": 61.8, ""side_estim_deg"": 0.58, ""elongation_factor"": 1.97}"
5605498,484,28003,Altamira,TAM,,2475148,altamira,MX-TAM-Altamira,,"{""area_sr"": 0.14592, ""area_km2"": 1662, ""fat_deg_m"": 0.0000094, ""side_estim_km"": 40.8, ""side_estim_deg"": 0.382, ""elongation_factor"": 2.16}"
5605512,484,28004,"Antiguo Morelos",TAM,,3849800,antiguo.morelos,MX-TAM-AntiguoMorelos,,"{""area_sr"": 0.05112, ""area_km2"": 582, ""fat_deg_m"": 0.0000094, ""side_estim_km"": 24.1, ""side_estim_deg"": 0.2261, ""elongation_factor"": 2.13}"
5605597,484,28005,Burgos,TAM,,1998028,burgos,MX-TAM-Burgos,,"{""area_sr"": 0.17026, ""area_km2"": 1905, ""fat_deg_m"": 0.0000095, ""side_estim_km"": 43.6, ""side_estim_deg"": 0.4126, ""elongation_factor"": 2.55}"
5605599,484,28006,Bustamante,TAM,,3845868,bustamante,MX-TAM-Bustamante,,"{""area_sr"": 0.12803, ""area_km2"": 1450, ""fat_deg_m"": 0.0000094, ""side_estim_km"": 38.1, ""side_estim_deg"": 0.3578, ""elongation_factor"": 2.4}"
5605622,484,28008,Casas,TAM,,3849884,casas,MX-TAM-Casas,,"{""area_sr"": 0.26652, ""area_km2"": 3014, ""fat_deg_m"": 0.0000094, ""side_estim_km"": 54.9, ""side_estim_deg"": 0.5163, ""elongation_factor"": 3.33}"
5605666,484,28009,"Ciudad Madero",TAM,,985365,ciudad.madero,MX-TAM-CiudadMadero,,"{""area_sr"": 0.00424, ""area_km2"": 48, ""fat_deg_m"": 0.0000094, ""side_estim_km"": 7, ""side_estim_deg"": 0.0651, ""elongation_factor"": 1.49}"
5605713,484,28010,Cruillas,TAM,,3849188,cruillas,MX-TAM-Cruillas,,"{""area_sr"": 0.16847, ""area_km2"": 1889, ""fat_deg_m"": 0.0000094, ""side_estim_km"": 43.5, ""side_estim_deg"": 0.4105, ""elongation_factor"": 1.89}"
5605766,484,28021,"El Mante",TAM,,2000714,el.mante,MX-TAM-ElMante,,"{""area_sr"": 0.14376, ""area_km2"": 1637, ""fat_deg_m"": 0.0000094, ""side_estim_km"": 40.5, ""side_estim_deg"": 0.3792, ""elongation_factor"": 2.53}"
5605815,484,28012,González,TAM,,2001224,gonzalez,MX-TAM-Gonzalez,,"{""area_sr"": 0.28516, ""area_km2"": 3243, ""fat_deg_m"": 0.0000094, ""side_estim_km"": 56.9, ""side_estim_deg"": 0.534, ""elongation_factor"": 2.53}"
5605838,484,28011,"Gómez Farías",TAM,,3846365,gomez.farias,MX-TAM-GomezFarias,,"{""area_sr"": 0.06416, ""area_km2"": 728, ""fat_deg_m"": 0.0000094, ""side_estim_km"": 27, ""side_estim_deg"": 0.2533, ""elongation_factor"": 1.9}"
5605841,484,28013,Güémez,TAM,,2000748,guemez,MX-TAM-Guemez,,"{""area_sr"": 0.10721, ""area_km2"": 1209, ""fat_deg_m"": 0.0000094, ""side_estim_km"": 34.8, ""side_estim_deg"": 0.3274, ""elongation_factor"": 3.22}"
5605847,484,28016,Hidalgo,TAM,,3845460,hidalgo,MX-TAM-Hidalgo,,"{""area_sr"": 0.18982, ""area_km2"": 2136, ""fat_deg_m"": 0.0000094, ""side_estim_km"": 46.2, ""side_estim_deg"": 0.4357, ""elongation_factor"": 1.5}"
5605918,484,28017,Jaumave,TAM,,3849821,jaumave,MX-TAM-Jaumave,,"{""area_sr"": 0.2354, ""area_km2"": 2663, ""fat_deg_m"": 0.0000094, ""side_estim_km"": 51.6, ""side_estim_deg"": 0.4852, ""elongation_factor"": 2.2}"
