osm_id,jurisd_base_id,jurisd_local_id,name,parent_abbrev,abbrev,wikidata_id,lexlabel,isolabel_ext,ddd,info
5999490,484,29022,"Acuamanala de Miguel Hidalgo",TLA,,4677862,acuamanala.miguel.hidalgo,MX-TLA-AcuamanalaMiguelHidalgo,,"{""area_sr"": 0.00129, ""area_km2"": 15, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 3.9, ""side_estim_deg"": 0.0359, ""elongation_factor"": 2.75}"
5999496,484,29001,"Amaxac de Guerrero",TLA,,4740701,amaxac.guerrero,MX-TLA-AmaxacGuerrero,,"{""area_sr"": 0.00096, ""area_km2"": 11, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 3.3, ""side_estim_deg"": 0.031, ""elongation_factor"": 3.31}"
5999498,484,29002,"Apetatitlán de Antonio Carvajal",TLA,,3846695,apetatitlan.antonio.carvajal,MX-TLA-ApetatitlanAntonioCarvajal,,"{""area_sr"": 0.001, ""area_km2"": 12, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 3.4, ""side_estim_deg"": 0.0316, ""elongation_factor"": 2.52}"
5999499,484,29005,Apizaco,TLA,,2790436,apizaco,MX-TLA-Apizaco,,"{""area_sr"": 0.00375, ""area_km2"": 44, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 6.6, ""side_estim_deg"": 0.0612, ""elongation_factor"": 3.82}"
5999507,484,29003,Atlangatepec,TLA,,4815955,atlangatepec,MX-TLA-Atlangatepec,,"{""area_sr"": 0.00931, ""area_km2"": 108, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 10.4, ""side_estim_deg"": 0.0965, ""elongation_factor"": 2.33}"
5999508,484,29004,Atltzayanca,TLA,,4737061,atltzayanca,MX-TLA-Atltzayanca,,"{""area_sr"": 0.01633, ""area_km2"": 190, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 13.8, ""side_estim_deg"": 0.1278, ""elongation_factor"": 2.07}"
5999514,484,29045,"Benito Juárez",TLA,,4888102,benito.juarez,MX-TLA-BenitoJuarez,,"{""area_sr"": 0.00221, ""area_km2"": 26, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 5.1, ""side_estim_deg"": 0.047, ""elongation_factor"": 2.09}"
5999519,484,29006,Calpulalpan,TLA,,2250217,calpulalpan,MX-TLA-Calpulalpan,,"{""area_sr"": 0.02186, ""area_km2"": 254, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 15.9, ""side_estim_deg"": 0.1479, ""elongation_factor"": 2.32}"
5999532,484,29010,Chiautempan,TLA,,1871732,chiautempan,MX-TLA-Chiautempan,,"{""area_sr"": 0.00664, ""area_km2"": 77, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 8.8, ""side_estim_deg"": 0.0815, ""elongation_factor"": 2.67}"
5999547,484,29018,"Contla de Juan Cuamatzi",TLA,,3890522,contla.juan.cuamatzi,MX-TLA-ContlaJuanCuamatzi,,"{""area_sr"": 0.00225, ""area_km2"": 26, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 5.1, ""side_estim_deg"": 0.0474, ""elongation_factor"": 2.81}"
5999551,484,29008,Cuapiaxtla,TLA,,5191854,cuapiaxtla,MX-TLA-Cuapiaxtla,,"{""area_sr"": 0.0071, ""area_km2"": 83, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 9.1, ""side_estim_deg"": 0.0843, ""elongation_factor"": 3.7}"
5999552,484,29009,Cuaxomulco,TLA,,5191900,cuaxomulco,MX-TLA-Cuaxomulco,,"{""area_sr"": 0.00143, ""area_km2"": 17, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 4.1, ""side_estim_deg"": 0.0379, ""elongation_factor"": 2.31}"
5999557,484,29007,"El Carmen Tequexquitla",TLA,,3845589,el.carmen.tequexquitla,MX-TLA-ElCarmenTequexquitla,,"{""area_sr"": 0.00502, ""area_km2"": 58, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 7.6, ""side_estim_deg"": 0.0709, ""elongation_factor"": 2.6}"
5999561,484,29046,"Emiliano Zapata",TLA,,5371734,emiliano.zapata,MX-TLA-EmilianoZapata,,"{""area_sr"": 0.0043, ""area_km2"": 50, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 7.1, ""side_estim_deg"": 0.0655, ""elongation_factor"": 2.1}"
5999563,484,29012,Españita,TLA,,5398746,espanita,MX-TLA-Espanita,,"{""area_sr"": 0.01202, ""area_km2"": 140, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 11.8, ""side_estim_deg"": 0.1096, ""elongation_factor"": 1.92}"
5999577,484,29013,Huamantla,TLA,,2363664,huamantla,MX-TLA-Huamantla,,"{""area_sr"": 0.02999, ""area_km2"": 349, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 18.7, ""side_estim_deg"": 0.1732, ""elongation_factor"": 2.16}"
5999581,484,29014,Hueyotlipan,TLA,,2001180,hueyotlipan,MX-TLA-Hueyotlipan,,"{""area_sr"": 0.01514, ""area_km2"": 176, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 13.3, ""side_estim_deg"": 0.1231, ""elongation_factor"": 2.07}"
5999588,484,29015,"Ixtacuixtla de Mariano Matamoros",TLA,,3890292,ixtacuixtla.mariano.matamoros,MX-TLA-IxtacuixtlaMarianoMatamoros,,"{""area_sr"": 0.01389, ""area_km2"": 161, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 12.7, ""side_estim_deg"": 0.1178, ""elongation_factor"": 2.26}"
5999591,484,29016,Ixtenco,TLA,,5923648,ixtenco,MX-TLA-Ixtenco,,"{""area_sr"": 0.00382, ""area_km2"": 44, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 6.7, ""side_estim_deg"": 0.0618, ""elongation_factor"": 1.89}"
5999601,484,29048,"La Magdalena Tlaltelulco",TLA,,6463604,la.magdalena.tlaltelulco,MX-TLA-LaMagdalenaTlaltelulco,,"{""area_sr"": 0.00102, ""area_km2"": 12, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 3.4, ""side_estim_deg"": 0.0319, ""elongation_factor"": 2.54}"
5999610,484,29047,"Lázaro Cárdenas",TLA,,6710821,lazaro.cardenas,MX-TLA-LazaroCardenas,,"{""area_sr"": 0.00219, ""area_km2"": 25, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 5, ""side_estim_deg"": 0.0468, ""elongation_factor"": 2.4}"
5999627,484,29017,"Mazatecochco de José María Morelos",TLA,,3890575,mazatecochco.jose.maria.morelos,MX-TLA-MazatecochcoJoseMariaMorelos,,"{""area_sr"": 0.00126, ""area_km2"": 15, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 3.8, ""side_estim_deg"": 0.0355, ""elongation_factor"": 1.99}"
6000191,484,29033,"Municipio de Tlaxcala",TLA,,6147713,municipio.tlaxcala,MX-TLA-MunicipioTlaxcala,,"{""area_sr"": 0.00447, ""area_km2"": 52, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 7.2, ""side_estim_deg"": 0.0668, ""elongation_factor"": 2.62}"
5999638,484,29011,"Muñoz de Domingo Arenas",TLA,,3845960,munoz.domingo.arenas,MX-TLA-MunozDomingoArenas,,"{""area_sr"": 0.00313, ""area_km2"": 36, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 6, ""side_estim_deg"": 0.056, ""elongation_factor"": 3.04}"
5999640,484,29021,"Nanacamilpa de Mariano Arista",TLA,,964538,nanacamilpa.mariano.arista,MX-TLA-NanacamilpaMarianoArista,,"{""area_sr"": 0.00931, ""area_km2"": 108, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 10.4, ""side_estim_deg"": 0.0965, ""elongation_factor"": 2.3}"
5999642,484,29023,Natívitas,TLA,,9048936,nativitas,MX-TLA-Nativitas,,"{""area_sr"": 0.00451, ""area_km2"": 53, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 7.2, ""side_estim_deg"": 0.0672, ""elongation_factor"": 2.48}"
5999656,484,29024,Panotla,TLA,,173191,panotla,MX-TLA-Panotla,,"{""area_sr"": 0.00524, ""area_km2"": 61, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 7.8, ""side_estim_deg"": 0.0724, ""elongation_factor"": 2.56}"
5999659,484,29041,"Papalotla de Xicohténcatl",TLA,,3892452,papalotla.xicohtencatl,MX-TLA-PapalotlaXicohtencatl,,"{""area_sr"": 0.002, ""area_km2"": 23, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 4.8, ""side_estim_deg"": 0.0447, ""elongation_factor"": 3.42}"
5999726,484,29049,"San Damián Texóloc",TLA,,6118601,san.damian.texoloc,MX-TLA-SanDamianTexoloc,,"{""area_sr"": 0.00088, ""area_km2"": 10, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 3.2, ""side_estim_deg"": 0.0296, ""elongation_factor"": 2.68}"
5999749,484,29050,"San Francisco Tetlanohcan",TLA,,6118769,san.francisco.tetlanohcan,MX-TLA-SanFranciscoTetlanohcan,,"{""area_sr"": 0.0034, ""area_km2"": 40, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 6.3, ""side_estim_deg"": 0.0583, ""elongation_factor"": 3.18}"
5999764,484,29051,"San Jerónimo Zacualpan",TLA,,7414377,san.jeronimo.zacualpan,MX-TLA-SanJeronimoZacualpan,,"{""area_sr"": 0.00067, ""area_km2"": 8, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 2.8, ""side_estim_deg"": 0.0259, ""elongation_factor"": 1.48}"
5999771,484,29052,"San José Teacalco",TLA,,7414532,san.jose.teacalco,MX-TLA-SanJoseTeacalco,,"{""area_sr"": 0.00309, ""area_km2"": 36, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 6, ""side_estim_deg"": 0.0556, ""elongation_factor"": 2.01}"
5999801,484,29053,"San Juan Huactzinco",TLA,,7414589,san.juan.huactzinco,MX-TLA-SanJuanHuactzinco,,"{""area_sr"": 0.00039, ""area_km2"": 4, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 2.1, ""side_estim_deg"": 0.0196, ""elongation_factor"": 1.99}"
5999831,484,29054,"San Lorenzo Axocomanitla",TLA,,6119229,san.lorenzo.axocomanitla,MX-TLA-SanLorenzoAxocomanitla,,"{""area_sr"": 0.00039, ""area_km2"": 4, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 2.1, ""side_estim_deg"": 0.0197, ""elongation_factor"": 2.12}"
5999840,484,29055,"San Lucas Tecopilco",TLA,,7414720,san.lucas.tecopilco,MX-TLA-SanLucasTecopilco,,"{""area_sr"": 0.00248, ""area_km2"": 29, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 5.4, ""side_estim_deg"": 0.0498, ""elongation_factor"": 2.25}"
5999909,484,29025,"San Pablo del Monte",TLA,,2194123,san.pablo.monte,MX-TLA-SanPabloMonte,,"{""area_sr"": 0.00506, ""area_km2"": 59, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 7.7, ""side_estim_deg"": 0.0711, ""elongation_factor"": 1.88}"
5999964,484,29020,"Sanctórum de Lázaro Cárdenas",TLA,,7415687,sanctorum.lazaro.cardenas,MX-TLA-SanctorumLazaroCardenas,,"{""area_sr"": 0.00854, ""area_km2"": 99, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 10, ""side_estim_deg"": 0.0924, ""elongation_factor"": 4.05}"
5999967,484,29056,"Santa Ana Nopalucan",TLA,,7419168,santa.ana.nopalucan,MX-TLA-SantaAnaNopalucan,,"{""area_sr"": 0.00079, ""area_km2"": 9, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 3, ""side_estim_deg"": 0.0281, ""elongation_factor"": 2.29}"
5999974,484,29057,"Santa Apolonia Teacalco",TLA,,7419202,santa.apolonia.teacalco,MX-TLA-SantaApoloniaTeacalco,,"{""area_sr"": 0.00068, ""area_km2"": 8, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 2.8, ""side_estim_deg"": 0.0262, ""elongation_factor"": 2.02}"
5999976,484,29058,"Santa Catarina Ayometla",TLA,,7419280,santa.catarina.ayometla,MX-TLA-SantaCatarinaAyometla,,"{""area_sr"": 0.00087, ""area_km2"": 10, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 3.2, ""side_estim_deg"": 0.0294, ""elongation_factor"": 1.76}"
5999996,484,29059,"Santa Cruz Quilehtla",TLA,,7419426,santa.cruz.quilehtla,MX-TLA-SantaCruzQuilehtla,,"{""area_sr"": 0.00047, ""area_km2"": 5, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 2.3, ""side_estim_deg"": 0.0216, ""elongation_factor"": 3.09}"
6000000,484,29026,"Santa Cruz Tlaxcala",TLA,,7419435,santa.cruz.tlaxcala,MX-TLA-SantaCruzTlaxcala,,"{""area_sr"": 0.00222, ""area_km2"": 26, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 5.1, ""side_estim_deg"": 0.0472, ""elongation_factor"": 2.5}"
6000009,484,29060,"Santa Isabel Xiloxoxtla",TLA,,7419630,santa.isabel.xiloxoxtla,MX-TLA-SantaIsabelXiloxoxtla,,"{""area_sr"": 0.00052, ""area_km2"": 6, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 2.5, ""side_estim_deg"": 0.0228, ""elongation_factor"": 2.48}"
6000173,484,29027,Tenancingo,TLA,,3890858,tenancingo,MX-TLA-Tenancingo,,"{""area_sr"": 0.00114, ""area_km2"": 13, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 3.6, ""side_estim_deg"": 0.0337, ""elongation_factor"": 2.07}"
6000176,484,29028,Teolocholco,TLA,,3891337,teolocholco,MX-TLA-Teolocholco,,"{""area_sr"": 0.00658, ""area_km2"": 77, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 8.8, ""side_estim_deg"": 0.0811, ""elongation_factor"": 2.84}"
6000182,484,29019,"Tepetitla de Lardizábal",TLA,,4455217,tepetitla.lardizabal,MX-TLA-TepetitlaLardizabal,,"{""area_sr"": 0.00199, ""area_km2"": 23, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 4.8, ""side_estim_deg"": 0.0446, ""elongation_factor"": 1.54}"
6000183,484,29029,Tepeyanco,TLA,,3892089,tepeyanco,MX-TLA-Tepeyanco,,"{""area_sr"": 0.00141, ""area_km2"": 16, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 4.1, ""side_estim_deg"": 0.0376, ""elongation_factor"": 2.54}"
6000184,484,29030,Terrenate,TLA,,20264370,terrenate,MX-TLA-Terrenate,,"{""area_sr"": 0.01331, ""area_km2"": 155, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 12.4, ""side_estim_deg"": 0.1154, ""elongation_factor"": 2.27}"
6000185,484,29031,"Tetla de la Solidaridad",TLA,,3846648,tetla.la.solidaridad,MX-TLA-TetlaLaSolidaridad,,"{""area_sr"": 0.01461, ""area_km2"": 170, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 13, ""side_estim_deg"": 0.1209, ""elongation_factor"": 2.52}"
