osm_id,jurisd_base_id,jurisd_local_id,name,parent_abbrev,abbrev,wikidata_id,lexlabel,isolabel_ext,ddd,info
6037570,484,30001,Acajete,VER,,4671655,acajete,MX-VER-Acajete,,"{""area_sr"": 0.00839, ""area_km2"": 97, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 9.9, ""side_estim_deg"": 0.0916, ""elongation_factor"": 2.08}"
6037572,484,30002,Acatlán,VER,,8186764,acatlan,MX-VER-Acatlan,,"{""area_sr"": 0.00157, ""area_km2"": 18, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 4.3, ""side_estim_deg"": 0.0397, ""elongation_factor"": 1.8}"
6037573,484,30003,Acayucan,VER,,11150581,acayucan,MX-VER-Acayucan,,"{""area_sr"": 0.05595, ""area_km2"": 656, ""fat_deg_m"": 0.0000092, ""side_estim_km"": 25.6, ""side_estim_deg"": 0.2365, ""elongation_factor"": 3}"
6037575,484,30004,Actopan,VER,,20160851,actopan,MX-VER-Actopan,,"{""area_sr"": 0.07398, ""area_km2"": 859, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 29.3, ""side_estim_deg"": 0.272, ""elongation_factor"": 2.29}"
6037576,484,30005,Acula,VER,,3354618,acula,MX-VER-Acula,,"{""area_sr"": 0.01669, ""area_km2"": 195, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 14, ""side_estim_deg"": 0.1292, ""elongation_factor"": 2.26}"
6037578,484,30006,Acultzingo,VER,,286349,acultzingo,MX-VER-Acultzingo,,"{""area_sr"": 0.01447, ""area_km2"": 169, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 13, ""side_estim_deg"": 0.1203, ""elongation_factor"": 2.03}"
6037579,484,30204,"Agua Dulce",VER,,3891319,agua.dulce,MX-VER-AguaDulce,,"{""area_sr"": 0.03177, ""area_km2"": 372, ""fat_deg_m"": 0.0000092, ""side_estim_km"": 19.3, ""side_estim_deg"": 0.1782, ""elongation_factor"": 1.85}"
6037586,484,30008,Alpatláhuac,VER,,3365424,alpatlahuac,MX-VER-Alpatlahuac,,"{""area_sr"": 0.00608, ""area_km2"": 71, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 8.4, ""side_estim_deg"": 0.078, ""elongation_factor"": 1.71}"
6037588,484,30009,"Alto Lucero de Gutiérrez Barrios",VER,,2651826,alto.lucero.gutierrez.barrios,MX-VER-AltoLuceroGutierrezBarrios,,"{""area_sr"": 0.05587, ""area_km2"": 648, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 25.5, ""side_estim_deg"": 0.2364, ""elongation_factor"": 2.72}"
6037589,484,30010,Altotonga,VER,,2651628,altotonga,MX-VER-Altotonga,,"{""area_sr"": 0.02832, ""area_km2"": 328, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 18.1, ""side_estim_deg"": 0.1683, ""elongation_factor"": 3.3}"
6037590,484,30011,Alvarado,VER,,10732346,alvarado,MX-VER-Alvarado,,"{""area_sr"": 0.07086, ""area_km2"": 827, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 28.8, ""side_estim_deg"": 0.2662, ""elongation_factor"": 3.7}"
6037591,484,30012,Amatitlán,VER,,630287,amatitlan,MX-VER-Amatitlan,,"{""area_sr"": 0.01155, ""area_km2"": 135, ""fat_deg_m"": 0.0000092, ""side_estim_km"": 11.6, ""side_estim_deg"": 0.1075, ""elongation_factor"": 2.5}"
