osm_id,jurisd_base_id,jurisd_local_id,name,parent_abbrev,abbrev,wikidata_id,lexlabel,isolabel_ext,ddd,info
5961437,484,31001,Abalá,YUC,,2991303,abala,MX-YUC-Abala,,"{""area_sr"": 0.02537, ""area_km2"": 293, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 17.1, ""side_estim_deg"": 0.1593, ""elongation_factor"": 2.51}"
5961438,484,31002,Acanceh,YUC,,2672565,acanceh,MX-YUC-Acanceh,,"{""area_sr"": 0.01191, ""area_km2"": 137, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 11.7, ""side_estim_deg"": 0.1091, ""elongation_factor"": 3.47}"
5961439,484,31003,Akil,YUC,,2575611,akil,MX-YUC-Akil,,"{""area_sr"": 0.00661, ""area_km2"": 76, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 8.7, ""side_estim_deg"": 0.0813, ""elongation_factor"": 2.09}"
5961440,484,31004,Baca,YUC,,2575651,baca,MX-YUC-Baca,,"{""area_sr"": 0.00943, ""area_km2"": 108, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 10.4, ""side_estim_deg"": 0.0971, ""elongation_factor"": 2.92}"
5961444,484,31005,Bokobá,YUC,,2576175,bokoba,MX-YUC-Bokoba,,"{""area_sr"": 0.00623, ""area_km2"": 72, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 8.5, ""side_estim_deg"": 0.0789, ""elongation_factor"": 2.29}"
5961445,484,31006,Buctzotz,YUC,,2093664,buctzotz,MX-YUC-Buctzotz,,"{""area_sr"": 0.05693, ""area_km2"": 654, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 25.6, ""side_estim_deg"": 0.2386, ""elongation_factor"": 2.22}"
5961446,484,31007,Cacalchén,YUC,,2576145,cacalchen,MX-YUC-Cacalchen,,"{""area_sr"": 0.00881, ""area_km2"": 101, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 10.1, ""side_estim_deg"": 0.0939, ""elongation_factor"": 2.77}"
5961449,484,31008,Calotmul,YUC,,2575635,calotmul,MX-YUC-Calotmul,,"{""area_sr"": 0.02526, ""area_km2"": 291, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 17.1, ""side_estim_deg"": 0.1589, ""elongation_factor"": 2.5}"
5961452,484,31009,Cansahcab,YUC,,2669271,cansahcab,MX-YUC-Cansahcab,,"{""area_sr"": 0.0112, ""area_km2"": 129, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 11.3, ""side_estim_deg"": 0.1058, ""elongation_factor"": 2.53}"
5961453,484,31010,Cantamayec,YUC,,2575621,cantamayec,MX-YUC-Cantamayec,,"{""area_sr"": 0.03083, ""area_km2"": 356, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 18.9, ""side_estim_deg"": 0.1756, ""elongation_factor"": 2.29}"
