osm_id,jurisd_base_id,jurisd_local_id,name,parent_abbrev,abbrev,wikidata_id,lexlabel,isolabel_ext,ddd,info
5605522,484,32001,Apozol,ZAC,,2651802,apozol,MX-ZAC-Apozol,,"{""area_sr"": 0.02553, ""area_km2"": 293, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 17.1, ""side_estim_deg"": 0.1598, ""elongation_factor"": 2.42}"
5605523,484,32002,Apulco,ZAC,,2651744,apulco,MX-ZAC-Apulco,,"{""area_sr"": 0.01764, ""area_km2"": 202, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 14.2, ""side_estim_deg"": 0.1328, ""elongation_factor"": 2.43}"
5605556,484,32003,Atolinga,ZAC,,4817184,atolinga,MX-ZAC-Atolinga,,"{""area_sr"": 0.02456, ""area_km2"": 281, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 16.8, ""side_estim_deg"": 0.1567, ""elongation_factor"": 2.75}"
5605588,484,32004,"Benito Juárez",ZAC,,10739209,benito.juarez,MX-ZAC-BenitoJuarez,,"{""area_sr"": 0.02866, ""area_km2"": 329, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 18.1, ""side_estim_deg"": 0.1693, ""elongation_factor"": 2.12}"
5605606,484,32005,Calera,ZAC,,1997547,calera,MX-ZAC-Calera,,"{""area_sr"": 0.03411, ""area_km2"": 387, ""fat_deg_m"": 0.0000094, ""side_estim_km"": 19.7, ""side_estim_deg"": 0.1847, ""elongation_factor"": 2.64}"
5605627,484,32006,"Cañitas de Felipe Pescador",ZAC,,2991093,canitas.felipe.pescador,MX-ZAC-CanitasFelipePescador,,"{""area_sr"": 0.03975, ""area_km2"": 449, ""fat_deg_m"": 0.0000094, ""side_estim_km"": 21.2, ""side_estim_deg"": 0.1994, ""elongation_factor"": 2.05}"
5605634,484,32009,Chalchihuites,ZAC,,2652043,chalchihuites,MX-ZAC-Chalchihuites,,"{""area_sr"": 0.07959, ""area_km2"": 901, ""fat_deg_m"": 0.0000094, ""side_estim_km"": 30, ""side_estim_deg"": 0.2821, ""elongation_factor"": 1.98}"
5605690,484,32007,"Concepción del Oro",ZAC,,1919318,concepcion.oro,MX-ZAC-ConcepcionOro,,"{""area_sr"": 0.21533, ""area_km2"": 2418, ""fat_deg_m"": 0.0000094, ""side_estim_km"": 49.2, ""side_estim_deg"": 0.464, ""elongation_factor"": 1.41}"
5605718,484,32008,Cuauhtémoc,ZAC,,2447816,cuauhtemoc,MX-ZAC-Cuauhtemoc,,"{""area_sr"": 0.02846, ""area_km2"": 324, ""fat_deg_m"": 0.0000094, ""side_estim_km"": 18, ""side_estim_deg"": 0.1687, ""elongation_factor"": 2.7}"
5605771,484,32015,"El Plateado de Joaquín Amaro",ZAC,,3847453,el.plateado.joaquin.amaro,MX-ZAC-ElPlateadoJoaquinAmaro,,"{""area_sr"": 0.03092, ""area_km2"": 354, ""fat_deg_m"": 0.0000094, ""side_estim_km"": 18.8, ""side_estim_deg"": 0.1758, ""elongation_factor"": 2.47}"
