Instituto Nacional de Estadística y Geografía,,,,,,,,,,,,,,,,,,,,,,,,
Biblioteca digital de Mapas,,,,,,,,,,,,,,,,,,,,,,,,
Fecha de la consulta: 19/07/2023 18:46:33,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
upc,titulo,titulo_ing,url,entidad,formatos,clvcarta,datum,edicion,coordenadas,escala,cobertura,serie,resolucion,tipofoto,vuelo,iin,sensor,indice_esp,satelite,resolucion_sat,restriccion,fecha_toma,unidad_edo,contacto
702825272463,"Vectorial de localidades amanzanadas y números exteriores, Rurales. Cierre de planeación del Censo de Población y Vivienda 2010. Abasolo","Vectorial de localidades amanzanadas y números exteriores, Rurales. Cierre de planeación del Censo de Población y Vivienda 2010. Abasolo",/app/biblioteca/ficha.html?upc=702825272463, Coahuila de Zaragoza, SHP 436.66KB,,ITRF92 época 1988.0,2010,,,Localidad           ,,,,,False,,,No especificado,No especificado,,,,
702825281618,"Vectorial de localidades amanzanadas y números exteriores, Rurales. Cierre de planeación del Censo de Población y Vivienda 2010. Abasolo","Vectorial de localidades amanzanadas y números exteriores, Rurales. Cierre de planeación del Censo de Población y Vivienda 2010. Abasolo",/app/biblioteca/ficha.html?upc=702825281618, Nuevo León, SHP 426.44KB,,ITRF92 época 1988.0,2010,,,Localidad           ,,,,,False,,,No especificado,No especificado,,,,
702825291914,"Vectorial de localidades amanzanadas y números exteriores, Rurales. Cierre de planeación del Censo de Población y Vivienda 2010. Abasolo","Vectorial de localidades amanzanadas y números exteriores, Rurales. Cierre de planeación del Censo de Población y Vivienda 2010. Abasolo",/app/biblioteca/ficha.html?upc=702825291914, Tamaulipas, SHP 486.53KB,,ITRF92 época 1988.0,2010,,,Localidad           ,,,,,False,,,No especificado,No especificado,,,,
702825272944,"Vectorial de localidades amanzanadas y números exteriores, Rurales. Cierre de planeación del Censo de Población y Vivienda 2010. Acacoyagua","Vectorial de localidades amanzanadas y números exteriores, Rurales. Cierre de planeación del Censo de Población y Vivienda 2010. Acacoyagua",/app/biblioteca/ficha.html?upc=702825272944, Chiapas, SHP 520.65KB,,ITRF92 época 1988.0,2010,,,Localidad           ,,,,,False,,,No especificado,No especificado,,,,
702825287825,"Vectorial de localidades amanzanadas y números exteriores, Rurales. Cierre de planeación del Censo de Población y Vivienda 2010. Acajete","Vectorial de localidades amanzanadas y números exteriores, Rurales. Cierre de planeación del Censo de Población y Vivienda 2010. Acajete",/app/biblioteca/ficha.html?upc=702825287825, Puebla, SHP 601.58KB,,ITRF92 época 1988.0,2010,,,Localidad           ,,,,,False,,,No especificado,No especificado,,,,
702825272951,"Vectorial de localidades amanzanadas y números exteriores, Rurales. Cierre de planeación del Censo de Población y Vivienda 2010. Acala","Vectorial de localidades amanzanadas y números exteriores, Rurales. Cierre de planeación del Censo de Población y Vivienda 2010. Acala",/app/biblioteca/ficha.html?upc=702825272951, Chiapas, SHP 626.13KB,,ITRF92 época 1988.0,2010,,,Localidad           ,,,,,False,,,No especificado,No especificado,,,,
702825275358,"Vectorial de localidades amanzanadas y números exteriores, Rurales. Cierre de planeación del Censo de Población y Vivienda 2010. Acámbaro","Vectorial de localidades amanzanadas y números exteriores, Rurales. Cierre de planeación del Censo de Población y Vivienda 2010. Acámbaro",/app/biblioteca/ficha.html?upc=702825275358, Guanajuato, SHP 2.46MB,,ITRF92 época 1988.0,2010,,,Localidad           ,,,,,False,,,No especificado,No especificado,,,,
702825278700,"Vectorial de localidades amanzanadas y números exteriores, Rurales. Cierre de planeación del Censo de Población y Vivienda 2010. Acambay","Vectorial de localidades amanzanadas y números exteriores, Rurales. Cierre de planeación del Censo de Población y Vivienda 2010. Acambay",/app/biblioteca/ficha.html?upc=702825278700, México, SHP 489.28KB,,ITRF92 época 1988.0,2010,,,Localidad           ,,,,,False,,,No especificado,No especificado,,,,
702825272968,"Vectorial de localidades amanzanadas y números exteriores, Rurales. Cierre de planeación del Censo de Población y Vivienda 2010. Acapetahua","Vectorial de localidades amanzanadas y números exteriores, Rurales. Cierre de planeación del Censo de Población y Vivienda 2010. Acapetahua",/app/biblioteca/ficha.html?upc=702825272968, Chiapas, SHP 431.13KB,,ITRF92 época 1988.0,2010,,,Localidad           ,,,,,False,,,No especificado,No especificado,,,,
702825281410,"Vectorial de localidades amanzanadas y números exteriores, Rurales. Cierre de planeación del Censo de Población y Vivienda 2010. Acaponeta","Vectorial de localidades amanzanadas y números exteriores, Rurales. Cierre de planeación del Censo de Población y Vivienda 2010. Acaponeta",/app/biblioteca/ficha.html?upc=702825281410, Nayarit, SHP 1.01MB,,ITRF92 época 1988.0,2010,,,Localidad           ,,,,,False,,,No especificado,No especificado,,,,
