osm_id,jurisd_base_id,jurisd_local_id,name,parent_abbrev,abbrev,wikidata_id,lexlabel,isolabel_ext,ddd,info
2610002,484,1,Aguascalientes,MX,AGU,79952,aguascalientes,MX-AGU,,"{""area_sr"": 0.49114, ""area_km2"": 5616, ""fat_deg_m"": 0.0000094, ""side_estim_km"": 74.9, ""side_estim_deg"": 0.7008, ""elongation_factor"": 1.86}"
2589601,484,2,"Baja California",MX,BCN,58731,baja.california,MX-BCN,,"{""area_sr"": 6.8786, ""area_km2"": 73147, ""fat_deg_m"": 0.0000097, ""side_estim_km"": 270.5, ""side_estim_deg"": 2.6227}"
2589611,484,3,"Baja California Sur",MX,BCS,46508,baja.california.sur,MX-BCS,,"{""area_sr"": 6.72479, ""area_km2"": 74618, ""fat_deg_m"": 0.0000095, ""side_estim_km"": 273.2, ""side_estim_deg"": 2.5932}"
2568834,484,4,Campeche,MX,CAM,80908,campeche,MX-CAM,,"{""area_sr"": 4.92899, ""area_km2"": 57497, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 239.8, ""side_estim_deg"": 2.2201, ""elongation_factor"": 2.07}"
2556679,484,7,Chiapas,MX,CHP,60123,chiapas,MX-CHP,,"{""area_sr"": 6.2046, ""area_km2"": 73307, ""fat_deg_m"": 0.0000092, ""side_estim_km"": 270.8, ""side_estim_deg"": 2.4909, ""elongation_factor"": 2.14}"
1673425,484,8,Chihuahua,MX,CHH,655,chihuahua,MX-CHH,,"{""area_sr"": 22.87927, ""area_km2"": 247457, ""fat_deg_m"": 0.0000096, ""side_estim_km"": 497.5, ""side_estim_deg"": 4.7832, ""elongation_factor"": 1.86}"
1376330,484,9,"Ciudad de México",MX,CMX,1489,ciudad.mexico,MX-CMX,,"{""area_sr"": 0.12844, ""area_km2"": 1495, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 38.7, ""side_estim_deg"": 0.3584, ""elongation_factor"": 1.78}"
1661524,484,5,Coahuila,MX,COA,53079,coahuila,MX-COA,,"{""area_sr"": 13.82328, ""area_km2"": 151592, ""fat_deg_m"": 0.0000095, ""side_estim_km"": 389.3, ""side_estim_deg"": 3.718, ""elongation_factor"": 1.97}"
2340912,484,6,Colima,MX,COL,61309,colima,MX-COL,,"{""area_sr"": 0.49647, ""area_km2"": 5782, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 76, ""side_estim_deg"": 0.7046, ""elongation_factor"": 8.36}"
2399740,484,10,Durango,MX,DUR,79918,durango,MX-DUR,,"{""area_sr"": 11.02234, ""area_km2"": 123314, ""fat_deg_m"": 0.0000095, ""side_estim_km"": 351.2, ""side_estim_deg"": 3.32, ""elongation_factor"": 2.29}"
1376489,484,15,"Estado de México",MX,MEX,82112,estado.mexico,MX-MEX,,"{""area_sr"": 1.92186, ""area_km2"": 22351, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 149.5, ""side_estim_deg"": 1.3863, ""elongation_factor"": 3.06}"
2340909,484,11,Guanajuato,MX,GUA,46475,guanajuato,MX-GUA,,"{""area_sr"": 2.65734, ""area_km2"": 30607, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 174.9, ""side_estim_deg"": 1.6301, ""elongation_factor"": 2.52}"
2439316,484,12,Guerrero,MX,GRO,60158,guerrero,MX-GRO,,"{""area_sr"": 5.41601, ""area_km2"": 63597, ""fat_deg_m"": 0.0000092, ""side_estim_km"": 252.2, ""side_estim_deg"": 2.3272, ""elongation_factor"": 2.37}"
1376490,484,13,Hidalgo,MX,HID,80903,hidalgo,MX-HID,,"{""area_sr"": 1.80276, ""area_km2"": 20821, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 144.3, ""side_estim_deg"": 1.3427, ""elongation_factor"": 3.3}"
2340910,484,14,Jalisco,MX,JAL,13160,jalisco,MX-JAL,,"{""area_sr"": 6.8101, ""area_km2"": 78598, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 280.4, ""side_estim_deg"": 2.6096, ""elongation_factor"": 3.89}"
2340636,484,16,Michoacán,MX,MIC,79861,michoacan,MX-MIC,,"{""area_sr"": 5.03434, ""area_km2"": 58601, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 242.1, ""side_estim_deg"": 2.2437, ""elongation_factor"": 2.68}"
1376332,484,17,Morelos,MX,MOR,66117,morelos,MX-MOR,,"{""area_sr"": 0.41801, ""area_km2"": 4879, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 69.9, ""side_estim_deg"": 0.6465, ""elongation_factor"": 2.04}"
7695827,484,18,Nayarit,MX,NAY,79920,nayarit,MX-NAY,,"{""area_sr"": 2.45366, ""area_km2"": 28093, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 167.6, ""side_estim_deg"": 1.5664, ""elongation_factor"": 3.12}"
1661523,484,19,"Nuevo León",MX,NLE,15282,nuevo.leon,MX-NLE,,"{""area_sr"": 5.76469, ""area_km2"": 64156, ""fat_deg_m"": 0.0000095, ""side_estim_km"": 253.3, ""side_estim_deg"": 2.401, ""elongation_factor"": 2.72}"
2529822,484,20,Oaxaca,MX,OAX,34110,oaxaca,MX-OAX,,"{""area_sr"": 7.9544, ""area_km2"": 93753, ""fat_deg_m"": 0.0000092, ""side_estim_km"": 306.2, ""side_estim_deg"": 2.8204, ""elongation_factor"": 2.23}"
1376491,484,21,Puebla,MX,PUE,79923,puebla,MX-PUE,,"{""area_sr"": 2.94066, ""area_km2"": 34270, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 185.1, ""side_estim_deg"": 1.7148, ""elongation_factor"": 3.68}"
2340903,484,22,Querétaro,MX,QUE,79754,queretaro,MX-QUE,,"{""area_sr"": 1.01455, ""area_km2"": 11690, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 108.1, ""side_estim_deg"": 1.0072, ""elongation_factor"": 2.83}"
2614434,484,23,"Quintana Roo",MX,ROO,80245,quintana.roo,MX-ROO,,"{""area_sr"": 3.85671, ""area_km2"": 44783, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 211.6, ""side_estim_deg"": 1.9639, ""elongation_factor"": 3.31}"
4086617,484,24,"San Luis Potosí",MX,SLP,78980,san.luis.potosi,MX-SLP,,"{""area_sr"": 5.36936, ""area_km2"": 61139, ""fat_deg_m"": 0.0000094, ""side_estim_km"": 247.3, ""side_estim_deg"": 2.3172, ""elongation_factor"": 2.99}"
2455086,484,25,Sinaloa,MX,SIN,80252,sinaloa,MX-SIN,,"{""area_sr"": 5.08134, ""area_km2"": 56809, ""fat_deg_m"": 0.0000095, ""side_estim_km"": 238.3, ""side_estim_deg"": 2.2542}"
1673426,484,26,Sonora,MX,SON,46422,sonora,MX-SON,,"{""area_sr"": 16.8398, ""area_km2"": 180612, ""fat_deg_m"": 0.0000097, ""side_estim_km"": 425, ""side_estim_deg"": 4.1036, ""elongation_factor"": 2.61}"
2556680,484,27,Tabasco,MX,TAB,80914,tabasco,MX-TAB,,"{""area_sr"": 2.1094, ""area_km2"": 24734, ""fat_deg_m"": 0.0000092, ""side_estim_km"": 157.3, ""side_estim_deg"": 1.4524, ""elongation_factor"": 3.33}"
2415518,484,28,Tamaulipas,MX,TAM,80007,tamaulipas,MX-TAM,,"{""area_sr"": 7.13798, ""area_km2"": 80247, ""fat_deg_m"": 0.0000094, ""side_estim_km"": 283.3, ""side_estim_deg"": 2.6717, ""elongation_factor"": 3.01}"
1375274,484,29,Tlaxcala,MX,TLA,82681,tlaxcala,MX-TLA,,"{""area_sr"": 0.34384, ""area_km2"": 3997, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 63.2, ""side_estim_deg"": 0.5864, ""elongation_factor"": 2.3}"
2415761,484,30,Veracruz,MX,VER,60130,veracruz,MX-VER,,"{""area_sr"": 6.18257, ""area_km2"": 71866, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 268.1, ""side_estim_deg"": 2.4865, ""elongation_factor"": 4.27}"
2614435,484,31,Yucatán,MX,YUC,60176,yucatan,MX-YUC,,"{""area_sr"": 3.42808, ""area_km2"": 39525, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 198.8, ""side_estim_deg"": 1.8515, ""elongation_factor"": 2.13}"
